,Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_CS_0x1_Lay,IDMercado_Correct_Score
1,2024-08-04,05:30:00,AUSTRIA - BUNDESLIGA,Floridsdorfer AC,St. Polten,2.84,2.64,3.5,13.5,1.2312928
2,2024-08-04,06:00:00,JAPAN - J2 LEAGUE,Iwaki,Blaublitz,2.58,3.15,3.15,10.5,1.231173
3,2024-08-04,07:00:00,POLAND - DIVISION 1,S. Rzeszow,Legnica,3.05,2.16,3.8,17.0,1.2311757
4,2024-08-04,07:00:00,UKRAINE - PREMIER LEAGUE,LNZ Cherkasy,Livyi Bereh,1.71,5.0,3.85,1000.0,1.2313977
5,2024-08-04,08:00:00,SWEDEN - SUPERETTAN,Skovde AIK,Orgryte,3.15,2.42,3.6,11.5,1.2312086
6,2024-08-04,08:30:00,GERMANY - 2. BUNDESLIGA,Darmstadt,Dusseldorf,3.1,2.36,3.8,14.0,1.2304428
7,2024-08-04,08:30:00,GERMANY - 2. BUNDESLIGA,Ulm,Kaiserslautern,3.05,2.48,3.65,12.5,1.2304429
8,2024-08-04,08:30:00,GERMANY - 2. BUNDESLIGA,Greuther Furth,Preussen Munster,1.89,4.3,3.9,19.5,1.2304432
9,2024-08-04,08:30:00,BELGIUM - JUPILER PRO LEAGUE,Antwerp,Anderlecht,2.3,3.2,3.7,14.5,1.2311906
10,2024-08-04,08:30:00,GERMANY - 3. LIGA,Viktoria Koln,SG Dynamo Dresden,5.3,1.7,4.2,10.5,1.2306259
11,2024-08-04,08:35:00,CHINA - SUPER LEAGUE,Beijing Guoan,Shanghai Shenhua,3.55,2.1,3.85,11.5,1.2311836
12,2024-08-04,09:00:00,DENMARK - SUPERLIGA,Silkeborg,Viborg,2.64,2.76,3.6,14.5,1.231187
13,2024-08-04,09:00:00,SWEDEN - ALLSVENSKAN,Djurgarden,Goteborg,1.7,5.4,4.3,21.0,1.2311735
14,2024-08-04,09:00:00,SWEDEN - ALLSVENSKAN,Varnamo,Sirius,2.28,3.3,3.75,15.5,1.2311738
15,2024-08-04,09:00:00,CHINA - SUPER LEAGUE,Nantong Zhiyun,Henan Songshan Longmen,4.1,1.99,3.65,9.2,1.2311815
16,2024-08-04,09:15:00,SWITZERLAND - CHALLENGE LEAGUE,Vaduz,Wil,2.38,2.88,3.95,18.5,1.2311862
17,2024-08-04,09:15:00,SWITZERLAND - SUPER LEAGUE,Lausanne,St. Gallen,2.6,2.72,3.8,16.5,1.231184
18,2024-08-04,09:30:00,NORWAY - OBOS-LIGAEN,Lyn,Stabaek,2.02,3.15,4.6,28.0,1.2312614
19,2024-08-04,09:30:00,UKRAINE - PREMIER LEAGUE,Obolon,Kolos Kovalivka,2.92,2.96,2.82,8.8,1.2313454
20,2024-08-04,09:30:00,POLAND - DIVISION 1,Pruszkow,Wisla,3.05,2.46,3.4,12.5,1.2312845
21,2024-08-04,09:30:00,SCOTLAND - PREMIERSHIP,Dundee Utd,Dundee FC,2.5,3.1,3.5,13.0,1.2301918
22,2024-08-04,09:45:00,POLAND - EKSTRAKLASA,Motor Lublin,Korona Kielce,2.66,2.92,3.3,12.0,1.2313166
23,2024-08-04,10:00:00,SWEDEN - SUPERETTAN,Oster,Brage,1.72,5.2,4.1,22.0,1.2312084
24,2024-08-04,10:00:00,SWEDEN - SUPERETTAN,Trelleborg,Landskrona,3.35,2.2,3.85,12.5,1.2311836
25,2024-08-04,11:00:00,ROMANIA - LIGA 2,Csikszereda M. Ciuc,Ceahlaul,2.3,3.25,3.15,1000.0,1.2312517
26,2024-08-04,11:00:00,SCOTLAND - PREMIERSHIP,St. Mirren,Hibernian,2.6,3.0,3.45,12.0,1.230192
27,2024-08-04,11:00:00,DENMARK - SUPERLIGA,FC Copenhagen,Randers FC,1.5,6.6,5.1,32.0,1.231189
28,2024-08-04,11:00:00,ESTONIA - MEISTRILIIGA,Kuressaare,Paide,5.2,1.6,4.7,980.0,1.2313147
29,2024-08-04,11:00:00,BELGIUM - JUPILER PRO LEAGUE,Cercle Brugge KSV,Kortrijk,1.75,5.0,4.3,21.0,1.2311919
30,2024-08-04,11:30:00,SWEDEN - ALLSVENSKAN,Kalmar,Hammarby,3.3,2.28,3.65,12.5,1.2311739
