Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,MEXICO - LIGA DE EXPANSION MX,01/09/2023,00:05,Atlante,Dorados de Sinaloa,1.24,5.4,11.5
2,INDONESIA - LIGA 1,01/09/2023,09:00,FC Bhayangkara,Arema FC,1.75,3.75,3.9
3,AZERBAIJAN - PREMIER LEAGUE,01/09/2023,12:00,Sabah Baku,Turan,1.37,4.65,6.9
4,GEORGIA - CRYSTALBET EROVNULI LIGA,01/09/2023,13:00,Torpedo Kutaisi,Telavi,1.65,3.6,4.35
5,PORTUGAL - LIGA PORTUGAL 2,01/09/2023,14:00,Tondela,Os Belenenses,2.05,3.3,3.4
6,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,01/09/2023,14:00,Borac Banja Luka,Zvijezda 09,1.13,7.4,14.5
7,SPAIN - LALIGA2,01/09/2023,14:30,Alcorcon,Ferrol,2.25,3.1,3.5
8,AUSTRIA - 2. LIGA,01/09/2023,15:30,Grazer AK,Ried,1.9,3.5,3.75
9,ROMANIA - LIGA 1,01/09/2023,15:30,FC Rapid Bucuresti,Din. Bucuresti,1.5,4.2,5.75
10,VENEZUELA - LIGA FUTVE,01/09/2023,17:00,Carabobo,Angostura,1.44,3.9,7.4
11,BRAZIL - SERIE B,01/09/2023,19:15,Vitoria,Mirassol,1.88,3.15,4.3
12,VENEZUELA - LIGA FUTVE,01/09/2023,19:40,Universidad Central,Mineros,1.7,3.45,4.7
13,COLOMBIA - PRIMERA A,01/09/2023,20:05,Chico,Envigado,1.8,3.6,4.5
14,ARGENTINA - COPA DE LA LIGA PROFESIONAL,01/09/2023,21:00,Central Cordoba,Platense,2.3,2.8,3.75
15,MEXICO - LIGA MX,01/09/2023,22:06,Juarez,Mazatlan FC,1.83,3.6,3.75
