Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,05/11/2023,08:00,SPAIN - PRIMERA RFEF,Real Madrid B,Baleares,1.45,4.0,5.5,2.0,2.2,1.62,1.03,1.4,1.3,6.5,1.1
25,05/11/2023,09:00,NORTH MACEDONIA - 1. MFL,Shkupi,Vardar,1.18,6.1,13.0,1.52,2.32,1.47,14.0,1.25,1.19,3.55,1.21
24,05/11/2023,09:00,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Zrinjski,Tuzla City,1.23,5.4,11.0,1.47,1.93,1.7,1.01,1.24,1.14,3.25,1.24
23,05/11/2023,09:00,SERBIA - PRVA LIGA,OFK Beograd,Macva,1.32,4.25,8.5,1.98,2.6,1.47,1.03,1.44,1.32,8.0,1.05
22,05/11/2023,10:00,CAMEROON - ELITE ONE,Avion Academy,Victoria United,1.53,3.55,5.8,2.0,2.1,1.7,1.03,1.45,1.33,8.0,1.05
21,05/11/2023,10:15,SWITZERLAND - CHALLENGE LEAGUE,Vaduz,Baden,1.47,4.6,5.4,1.45,1.6,2.2,1.03,1.25,1.15,3.35,1.28
20,05/11/2023,10:15,SWITZERLAND - SUPER LEAGUE,Luzern,Grasshoppers,1.6,4.33,5.25,1.53,1.62,2.2,1.03,1.29,1.17,4.0,1.22
19,05/11/2023,10:30,NETHERLANDS - EERSTE DIVISIE,Groningen,Dordrecht,1.62,4.2,5.25,1.48,1.53,2.38,1.02,1.25,1.14,3.75,1.25
18,05/11/2023,10:30,INDIA - I-LEAGUE,Gokulam,Neroca FC,1.47,4.15,5.8,1.65,1.75,1.85,1.01,1.32,1.21,4.7,1.14
17,05/11/2023,11:00,SERBIA - SUPER LIGA,Vojvodina,Zeleznicar Pancevo,1.42,4.5,6.4,1.65,1.83,1.87,1.04,1.33,1.21,4.2,1.19
16,05/11/2023,11:00,POLAND - EKSTRAKLASA,Rakow,Zaglebie,1.57,3.8,6.5,1.7,1.75,2.0,1.04,1.33,1.2,5.0,1.17
15,05/11/2023,11:00,NORWAY - OBOS-LIGAEN,Kristiansund,Raufoss,1.65,4.33,4.75,1.44,1.5,2.5,1.02,1.25,1.13,3.5,1.29
26,05/11/2023,11:00,CAMEROON - ELITE ONE,Cotonsport,Yong Sports Academy,1.35,3.9,9.25,2.32,3.2,1.33,1.06,1.53,1.45,11.0,1.01
14,05/11/2023,11:30,MONTENEGRO - PRVA CRNOGORSKA LIGA,Sutjeska,Petrovac,1.55,3.65,5.8,2.0,2.05,1.6,1.04,1.44,1.34,7.7,1.05
12,05/11/2023,11:30,AZERBAIJAN - PREMIER LEAGUE,Sabah Baku,Zira,1.7,3.4,4.8,2.15,2.07,1.6,1.05,1.47,1.4,8.0,1.03
11,05/11/2023,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Taawon,Damac,1.62,4.0,4.5,1.73,1.8,1.91,1.01,1.33,1.22,5.0,1.14
10,05/11/2023,12:00,MOLDOVA - SUPER LIGA,Sheriff Tiraspol,Milsami,1.26,4.85,8.75,1.62,2.19,1.64,13.0,1.3,1.19,4.2,1.18
9,05/11/2023,12:15,ITALY - SERIE C,Mantova,Pergolettese,1.62,3.75,5.1,2.05,2.05,1.7,1.07,1.45,1.35,6.1,1.09
8,05/11/2023,12:30,ROMANIA - LIGA 1,Farul Constanta,FC Botosani,1.33,5.0,7.5,1.67,2.1,1.67,1.03,1.33,1.2,5.0,1.17
7,05/11/2023,12:45,NETHERLANDS - EREDIVISIE,Sparta Rotterdam,Almere City,1.67,4.0,5.0,1.7,1.75,2.0,1.03,1.33,1.22,5.0,1.17
6,05/11/2023,13:30,SWEDEN - ALLSVENSKAN,Elfsborg,Degerfors,1.25,6.5,10.0,1.4,1.8,1.95,1.02,1.22,1.11,3.4,1.3
5,05/11/2023,14:00,COSTA RICA - PRIMERA DIVISION,Cartagines,Liberia,1.57,4.0,4.75,1.57,1.62,2.2,1.03,1.29,1.17,4.0,1.22
4,05/11/2023,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ahli SC,Al Riyadh,1.25,5.5,9.0,1.44,1.83,1.83,19.0,1.25,1.13,3.5,1.29
3,05/11/2023,16:00,BRAZIL - SERIE A,Bragantino,Corinthians,1.6,4.2,5.5,2.03,2.0,1.75,1.06,1.4,1.33,7.0,1.1
2,05/11/2023,16:45,ITALY - SERIE C,Atalanta U23,Fiorenzuola,1.6,3.65,5.6,2.15,2.15,1.62,1.08,1.5,1.38,6.4,1.08
13,05/11/2023,17:00,JAMAICA - PREMIER LEAGUE,Humble Lions,Molynes,1.65,3.65,4.7,1.93,1.93,1.7,1.04,1.42,1.32,7.2,1.06
27,05/11/2023,18:30,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Racing Club,Central Cordoba,1.65,3.75,5.5,2.1,2.1,1.67,1.06,1.44,1.36,8.0,1.08
