,Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_CS_0x1_Lay,IDMercado_Correct_Score
1,2025-04-27,02:00:00,AUSTRALIA - A-LEAGUE,Auckland FC,Perth Glory,1.35,9.4,6.2,44.0,1.2423682
2,2025-04-27,02:00:00,SOUTH KOREA - K LEAGUE 1,Pohang,Seoul,3.25,2.4,3.3,10.5,1.242655
3,2025-04-27,02:00:00,SOUTH KOREA - K LEAGUE 2,Suwon Bluewings,Seongnam,1.62,5.9,3.9,1000.0,1.2426524
4,2025-04-27,02:00:00,SOUTH KOREA - K LEAGUE 2,Gimpo FC,Jeonnam,1.04,1.04,1.01,1000.0,1.2426554
5,2025-04-27,04:00:00,AUSTRALIA - A-LEAGUE,Western United,Sydney FC,2.4,2.72,4.2,28.0,1.2423682
6,2025-04-27,04:30:00,SOUTH KOREA - K LEAGUE 2,Busan,Hwaseong FC,1.87,4.7,3.65,18.5,1.2426567
7,2025-04-27,04:30:00,SOUTH KOREA - K LEAGUE 1,Gimcheon Sangmu,Ulsan HD,2.78,2.74,3.5,12.0,1.242662
8,2025-04-27,04:30:00,SOUTH KOREA - K LEAGUE 1,Daejeon,Gangwon,2.32,3.55,3.35,12.0,1.242655
9,2025-04-27,07:00:00,UKRAINE - PREMIER LEAGUE,Vorskla Poltava,Veres-Rivne,2.46,3.2,2.64,12.5,1.242681
10,2025-04-27,07:00:00,POLAND - DIVISION 1,Odra Opole,Leczna,2.7,2.72,3.3,11.0,1.2428433
11,2025-04-27,07:15:00,NETHERLANDS - EREDIVISIE,Sittard,Willem II,1.85,4.9,3.65,16.0,1.2420273
12,2025-04-27,07:30:00,ITALY - SERIE A,Como,Genoa,1.93,4.8,3.65,15.5,1.2423596
13,2025-04-27,07:30:00,ITALY - SERIE A,Venezia,AC Milan,5.5,1.7,4.2,11.0,1.24236
14,2025-04-27,08:00:00,CHINA - SUPER LEAGUE,Wuhan Three Towns,Tianjin Jinmen Tiger,2.6,2.88,3.4,14.5,1.2426639
15,2025-04-27,08:15:00,CROATIA - PRVA NL,Orijent,Sesvete,2.08,3.4,2.96,14.0,1.2429659
16,2025-04-27,08:30:00,GERMANY - 2. BUNDESLIGA,Hannover,FC Koln,3.25,2.34,3.7,14.0,1.2426606
17,2025-04-27,08:30:00,GERMANY - 2. BUNDESLIGA,Hamburger SV,Karlsruher SC,1.5,6.6,5.2,38.0,1.2426609
18,2025-04-27,08:30:00,GERMANY - 2. BUNDESLIGA,Kaiserslautern,Schalke,2.08,3.6,3.95,21.0,1.2426645
19,2025-04-27,08:35:00,CHINA - SUPER LEAGUE,Qingdao Hainiu,Meizhou Hakka,3.4,2.18,3.65,21.0,1.2426646
20,2025-04-27,09:00:00,DENMARK - SUPERLIGA,Sonderjyske,Viborg,3.0,2.42,3.8,14.0,1.2427163
21,2025-04-27,09:00:00,CHINA - SUPER LEAGUE,Zhejiang Professional,Qingdao West Coast,1.72,4.9,4.3,27.0,1.2426647
22,2025-04-27,09:00:00,DENMARK - SUPERLIGA,Lyngby,Silkeborg,3.35,2.26,3.65,11.0,1.2426676
23,2025-04-27,09:15:00,SWITZERLAND - CHALLENGE LEAGUE,Wil,Bellinzona,2.64,2.76,3.4,12.5,1.2427397
24,2025-04-27,09:15:00,SWITZERLAND - CHALLENGE LEAGUE,Vaduz,Etoile Carouge,2.86,2.42,3.7,16.5,1.2426666
25,2025-04-27,09:30:00,UKRAINE - PREMIER LEAGUE,Kolos Kovalivka,Zhytomyr,3.2,2.6,2.96,8.0,1.2426811
26,2025-04-27,09:30:00,POLAND - DIVISION 1,Ruch Chorzow,S. Rzeszow,1.93,3.55,3.85,22.0,1.2428434
27,2025-04-27,09:30:00,NORWAY - ELITESERIEN,Rosenborg,Molde,1.82,4.7,4.0,19.5,1.2426648
28,2025-04-27,09:30:00,NETHERLANDS - EREDIVISIE,Heerenveen,Nijmegen,2.08,3.7,3.75,17.0,1.2420272
29,2025-04-27,09:30:00,NETHERLANDS - EREDIVISIE,Ajax,Sparta Rotterdam,1.49,7.4,5.0,32.0,1.242027
30,2025-04-27,10:00:00,DENMARK - 1ST DIVISION,Fredericia,Esbjerg,1.68,4.7,4.4,29.0,1.2427666
31,2025-04-27,10:00:00,TURKEY - SUPER LIG,Trabzonspor,Alanyaspor,1.81,5.2,3.75,26.0,1.2427392
32,2025-04-27,10:00:00,TURKEY - SUPER LIG,Konyaspor,Adana Demirspor,1.21,15.5,8.8,75.0,1.2426676
33,2025-04-27,10:00:00,ITALY - SERIE A,Inter,AS Roma,1.85,4.9,3.85,17.0,1.2423594
34,2025-04-27,10:00:00,FRANCE - LIGUE 1,Angers,Lille,7.6,1.56,4.3,7.8,1.2423558
35,2025-04-27,10:00:00,ENGLAND - PREMIER LEAGUE,Bournemouth,Manchester Utd,1.8,4.8,4.1,20.0,1.2422802
36,2025-04-27,10:00:00,ENGLAND - LEAGUE ONE,Stevenage,Rotherham,2.26,3.55,3.35,12.5,1.2427378
37,2025-04-27,10:30:00,GERMANY - BUNDESLIGA,Bochum,Union Berlin,2.44,3.2,3.55,14.0,1.2423577
38,2025-04-27,10:30:00,HUNGARY - OTP BANK LIGA,MTK Budapest,Ferencvaros,5.1,1.63,4.4,13.0,1.2426686
39,2025-04-27,11:00:00,ENGLAND - LEAGUE ONE,Birmingham,Mansfield,1.48,7.6,4.8,29.0,1.2427377
40,2025-04-27,11:00:00,DENMARK - SUPERLIGA,Aarhus,FC Copenhagen,3.35,2.36,3.45,9.4,1.2426819
41,2025-04-27,11:15:00,SPAIN - LALIGA,Villarreal,Espanyol,1.49,7.4,5.1,27.0,1.2425385
42,2025-04-27,11:30:00,PORTUGAL - LIGA PORTUGAL,Moreirense,Nacional,2.32,3.75,3.25,12.5,1.242393
43,2025-04-27,11:45:00,NETHERLANDS - EREDIVISIE,Almere City,G.A. Eagles,2.58,2.7,3.95,16.5,1.2420275
44,2025-04-27,12:00:00,POLAND - DIVISION 1,Chrobry Glogow,Legnica,4.1,1.92,3.5,11.0,1.242741
45,2025-04-27,12:00:00,NORWAY - OBOS-LIGAEN,Lyn,Lillestrom,4.1,1.98,3.65,9.4,1.242877
46,2025-04-27,12:00:00,NORWAY - ELITESERIEN,Haugesund,Fredrikstad,4.3,2.0,3.6,8.2,1.2426853
47,2025-04-27,12:00:00,NORWAY - ELITESERIEN,Sandefjord,HamKam,1.72,5.1,4.1,21.0,1.2426856
48,2025-04-27,12:00:00,NORWAY - ELITESERIEN,Brann,Bryne,1.35,10.0,5.7,36.0,1.2427005
49,2025-04-27,12:00:00,NORWAY - ELITESERIEN,Bodo/Glimt,KFUM Oslo,1.26,14.0,7.0,70.0,1.2426858
50,2025-04-27,12:00:00,NORWAY - ELITESERIEN,Sarpsborg 08,Stromsgodset,1.79,4.4,4.4,25.0,1.2426852
51,2025-04-27,12:00:00,NORWAY - ELITESERIEN,Kristiansund,Valerenga,3.65,2.08,3.95,12.5,1.2426854
52,2025-04-27,12:00:00,UKRAINE - PREMIER LEAGUE,Shakhtar Donetsk,Dyn. Kyiv,2.36,3.25,3.35,15.0,1.242682
53,2025-04-27,12:15:00,FRANCE - LIGUE 1,Montpellier,Reims,3.95,2.04,3.85,11.5,1.242356
54,2025-04-27,12:15:00,FRANCE - LIGUE 1,Lens,Auxerre,1.58,6.4,4.7,26.0,1.2423556
55,2025-04-27,12:15:00,FRANCE - LIGUE 1,Nantes,Toulouse,3.1,2.54,3.4,10.5,1.2423562
56,2025-04-27,12:30:00,ENGLAND - PREMIER LEAGUE,Liverpool,Tottenham,1.31,11.0,6.6,55.0,1.24228
57,2025-04-27,13:00:00,URUGUAY - PRIMERA DIVISION,Boston River,Miramar,1.95,4.5,3.3,17.0,1.24266
58,2025-04-27,13:00:00,SLOVAKIA - NIKE LIGA,Skalica,KFC Komarno,1.91,4.5,3.3,17.0,1.2426821
59,2025-04-27,13:00:00,HUNGARY - OTP BANK LIGA,Zalaegerszegi,Kecskemeti TE,1.99,4.3,3.15,13.5,1.2427434
60,2025-04-27,13:00:00,TURKEY - SUPER LIG,Eyupspor,Galatasaray,6.6,1.51,5.0,12.0,1.2426767
61,2025-04-27,13:00:00,ITALY - SERIE A,Juventus,Monza,1.21,21.0,7.8,60.0,1.2423595
62,2025-04-27,13:00:00,DENMARK - SUPERLIGA,Midtjylland,Nordsjaelland,2.2,3.15,4.1,21.0,1.2426765
