,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,13/10/2024,07:00,SPAIN - PRIMERA RFEF,Ceuta,CF Intercity,1.62,3.6,4.5,2.0,2.0,1.73
2,13/10/2024,13:00,SERBIA - PRVA LIGA,Vozdovac,Graficar Beograd,1.72,3.45,4.15,1.98,1.92,1.84
