,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,BANGLADESH - PREMIER LEAGUE,17/05/2024,07:00,Abahani Limited,Brothers U.,1.07,8.25,18.5
2,BANGLADESH - PREMIER LEAGUE,17/05/2024,07:00,Sheikh Russel,Chittagong Abahani,1.85,3.25,3.8
3,BANGLADESH - PREMIER LEAGUE,17/05/2024,07:00,Mohammedan,Rahmatgonj MFS,1.11,6.8,16.5
4,VIETNAM - V.LEAGUE 1,17/05/2024,08:00,Hong Linh Ha Tinh,Ho Chi Minh,2.07,3.15,3.5
5,GHANA - PREMIER LEAGUE,17/05/2024,12:00,Nations FC,Accra Lions,1.72,3.05,5.0
6,AUSTRIA - 2. LIGA,17/05/2024,13:10,Ried,Sturm Graz (Am),1.19,6.9,10.5
7,SWEDEN - SUPERETTAN,17/05/2024,14:00,Gefle,Sundsvall,2.25,3.25,3.2
8,BRAZIL - BRASILEIRO WOMEN,17/05/2024,15:00,Botafogo RJ W,Avai Kindermann W,1.35,4.25,7.3
9,BOLIVIA - DIVISION PROFESIONAL,17/05/2024,21:00,Blooming,SA Bulo Bulo,2.15,3.5,2.88
10,BRAZIL - SERIE B,17/05/2024,21:30,Novorizontino,Coritiba,2.2,3.0,3.6
11,USA - USL CHAMPIONSHIP,17/05/2024,22:00,Colorado Springs,Rhode Island,2.0,3.45,3.45
