Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_Over25,FT_Odd_BTTS_Yes
1,27/07/2023,14:00,EUROPE - EUROPA CONFERENCE LEAGUE,Ferencvaros (Hun),Shamrock Rovers (Irl),1.33,5.25,5.5,1.7,2.1,1.7,2.1
2,27/07/2023,14:30,EUROPE - EUROPA CONFERENCE LEAGUE,Basel (Sui),Tobol (Kaz),1.22,5.75,8.5,1.57,2.2,1.57,2.2
3,27/07/2023,17:00,PERU - LIGA 1,Sporting Cristal,Binacional,1.18,7.0,17.0,1.48,2.2,1.48,2.2
