,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,INDIA - I-LEAGUE,23/03/2024,05:30,Real Kashmir,Mohammedan,2.57,3.3,2.52
2,NORTHERN IRELAND - NIFL CHAMPIONSHIP,23/03/2024,12:00,Newington,Dundela,2.85,3.6,2.15
3,SCOTLAND - CHAMPIONSHIP,23/03/2024,12:00,Arbroath,Partick Thistle,5.0,4.2,1.5
4,NORTHERN IRELAND - NIFL CHAMPIONSHIP,23/03/2024,12:00,Ballinamallard,Annagh,2.6,3.65,2.32
5,NORTHERN IRELAND - NIFL PREMIERSHIP,23/03/2024,12:00,Newry City,Crusaders,8.25,5.2,1.3
6,URUGUAY - PRIMERA DIVISION,23/03/2024,13:30,Rampla Juniors,Miramar,2.8,3.2,2.4
7,ARGENTINA - PRIMERA NACIONAL,23/03/2024,15:30,Defensores Unidos,Deportivo Moron,2.88,2.88,2.8
8,USA - USL CHAMPIONSHIP,23/03/2024,20:00,North Carolina,Tampa Bay,3.05,3.45,2.18
9,USA - USL CHAMPIONSHIP,23/03/2024,21:00,Las Vegas Lights,El Paso,2.62,3.45,2.42
10,URUGUAY - PRIMERA DIVISION,23/03/2024,21:00,Maldonado,Defensor Sp.,3.8,3.4,1.95
