Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,PHILIPPINES - PFL,04/05/2024,04:00,Manila Digger,Loyola,2.0,4.0,2.75
2,SOUTH KOREA - K LEAGUE 1,04/05/2024,04:30,Pohang,Jeonbuk,2.38,3.0,2.75
3,ROMANIA - LIGA 2,04/05/2024,06:00,Unirea Slobozia,Hunedoara,2.15,3.35,3.15
4,AUSTRALIA - A-LEAGUE,04/05/2024,06:45,Sydney FC,Macarthur FC,1.44,5.0,6.5
5,HONG KONG - PREMIER LEAGUE,04/05/2024,07:00,Eastern AA,Hong Kong FC,1.14,6.7,15.0
6,VIETNAM - V.LEAGUE 1,04/05/2024,08:00,Binh Duong,Khanh Hoa,1.7,3.4,4.9
7,ENGLAND - CHAMPIONSHIP,04/05/2024,08:30,Coventry,QPR,2.2,3.4,3.3
8,ENGLAND - CHAMPIONSHIP,04/05/2024,08:30,Middlesbrough,Watford,1.67,4.0,5.0
9,ROMANIA - LIGA 1,04/05/2024,08:30,FC Botosani,FC Voluntari,2.2,3.25,3.25
10,BANGLADESH - PREMIER LEAGUE,04/05/2024,08:45,Bashundara Kings,Abahani Limited,1.38,4.3,6.5
11,FINLAND - VEIKKAUSLIIGA,04/05/2024,09:00,Ilves,AC Oulu,1.67,4.0,4.5
12,MALTA - PREMIER LEAGUE,04/05/2024,09:00,Hamrun,Hibernians,1.39,4.45,6.9
13,CHINA - SUPER LEAGUE,04/05/2024,09:00,Henan Songshan Longmen,Tianjin Jinmen Tiger,2.38,3.6,2.8
14,VIETNAM - V.LEAGUE 1,04/05/2024,09:15,Cong An,Nam Dinh,2.18,3.45,2.95
15,VIETNAM - V.LEAGUE 1,04/05/2024,09:15,Hai Phong,Ho Chi Minh,1.85,3.3,4.0
16,SAN MARINO - CAMPIONATO SAMMARINESE,04/05/2024,10:00,La Fiorita,Murata,1.72,3.83,4.17
17,SWEDEN - SUPERETTAN,04/05/2024,10:00,Oster,Gefle,1.36,4.33,7.5
18,SWEDEN - SUPERETTAN,04/05/2024,10:00,Utsikten,Skovde AIK,1.53,3.75,5.0
19,UZBEKISTAN - SUPER LEAGUE,04/05/2024,10:30,Andijan,Sogdiana,2.4,3.3,2.72
20,NORWAY - OBOS-LIGAEN,04/05/2024,11:00,Stabaek,Kongsvinger,2.2,3.5,3.2
21,NORWAY - OBOS-LIGAEN,04/05/2024,11:00,Egersund,Lyn,2.05,4.0,3.2
22,SCOTLAND - LEAGUE ONE,04/05/2024,11:00,Falkirk,Alloa,1.22,6.5,8.5
23,SCOTLAND - LEAGUE ONE,04/05/2024,11:00,Cove Rangers,Edinburgh City,1.25,5.0,9.0
24,ALBANIA - SUPERLIGA,04/05/2024,11:00,Partizani,Skenderbeu,1.65,3.83,4.66
25,SCOTLAND - LEAGUE TWO,04/05/2024,11:00,Bonnyrigg Rose,Forfar Athletic,2.4,3.2,2.8
26,RUSSIA - PREMIER LEAGUE,04/05/2024,11:00,Orenburg,Krylya Sovetov,2.26,3.82,3.21
27,NORTH MACEDONIA - 1. MFL,04/05/2024,12:00,Voska Sport,Sileks,2.12,3.0,3.3
28,AUSTRIA - BUNDESLIGA,04/05/2024,12:00,BW Linz,Tirol,2.25,3.2,3.4
29,NORTH MACEDONIA - 1. MFL,04/05/2024,12:00,Brera Strumica,Bregalnica Stip,1.57,3.5,5.2
30,MOLDOVA - SUPER LIGA,04/05/2024,12:00,Sheriff Tiraspol,Milsami,1.36,4.25,7.3
31,SPAIN - PRIMERA RFEF,04/05/2024,13:00,Teruel,Unionistas,2.1,2.7,3.75
32,ENGLAND - PREMIER LEAGUE,04/05/2024,13:30,Manchester City,Wolves,1.08,12.0,21.0
33,SENEGAL - LIGUE 1,04/05/2024,14:00,Dakar SC,Linguere,2.14,3.0,3.56
34,SPAIN - PRIMERA RFEF,04/05/2024,14:00,R. Union,Cultural Leonesa,2.45,3.1,2.6
35,PORTUGAL - LIGA PORTUGAL,04/05/2024,14:00,Sporting CP,Portimonense,1.09,12.0,19.0
36,CROATIA - HNL,04/05/2024,14:30,Osijek,Lok. Zagreb,1.91,3.6,3.8
37,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,04/05/2024,15:00,Al Nassr,Al Wehda,1.25,6.0,8.5
38,PERU - LIGA 1,04/05/2024,15:00,Los Chankas,Cusco,2.1,3.2,3.2
39,ARGENTINA - PRIMERA NACIONAL,04/05/2024,15:30,Arsenal Sarandi,Agropecuario,2.5,2.9,3.25
40,ARGENTINA - PRIMERA NACIONAL,04/05/2024,15:30,San Miguel,Club A. Guemes,1.95,3.25,4.2
41,PERU - LIGA 1,04/05/2024,17:30,Comerciantes Unidos,Union Comercio,1.7,3.6,5.0
42,BRAZIL - SERIE B,04/05/2024,18:00,Vila Nova FC,Operario,2.02,3.15,3.85
43,DOMINICAN REPUBLIC - LDF,04/05/2024,19:00,Universidad O&M,Atlantico,1.8,3.4,3.85
44,ARGENTINA - PRIMERA NACIONAL,04/05/2024,19:40,San Martin T.,All Boys,1.55,3.4,8.5
45,USA - USL CHAMPIONSHIP,04/05/2024,20:00,North Carolina,Rhode Island,1.98,3.4,3.6
46,USA - MLS,04/05/2024,20:30,Charlotte,Portland Timbers,1.91,3.8,3.6
47,BRAZIL - SERIE A,04/05/2024,21:00,Corinthians,Fortaleza,2.05,3.3,3.75
48,BRAZIL - SERIE A,04/05/2024,21:00,Cruzeiro,Internacional,2.35,3.1,3.2
49,COLOMBIA - PRIMERA A,04/05/2024,21:15,Junior,Millonarios,2.0,3.4,3.8
