Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,28/10/2023,01:30,SOUTH KOREA - K LEAGUE 2,Gyeongnam,Ansan Greeners,1.5,4.0,5.25,1.6,1.67,2.1,1.03,1.29,1.18,4.33,1.2
26,28/10/2023,05:00,ROMANIA - LIGA 2,Chindia Targoviste,CSM Resita,1.57,3.8,5.7,1.98,2.02,1.72,1.07,1.44,1.33,5.7,1.11
27,28/10/2023,05:00,ROMANIA - LIGA 2,Unirea Dej,Progresul Spartac,1.52,3.9,6.0,1.9,1.98,1.75,1.06,1.42,1.3,5.3,1.12
28,28/10/2023,06:30,SOUTH KOREA - K LEAGUE 2,Anyang,Seoul E-Land,1.67,3.5,4.75,1.98,1.83,1.83,1.05,1.4,1.29,7.0,1.1
29,28/10/2023,08:30,ENGLAND - CHAMPIONSHIP,Southampton,Birmingham,1.57,4.0,5.75,1.75,1.8,1.91,1.04,1.33,1.25,5.5,1.14
30,28/10/2023,08:30,ENGLAND - CHAMPIONSHIP,Leeds,Huddersfield,1.36,5.0,9.0,1.62,1.83,1.83,1.03,1.29,1.2,4.5,1.2
31,28/10/2023,08:30,ENGLAND - PREMIER LEAGUE,Chelsea,Brentford,1.62,4.0,5.25,1.8,1.8,1.95,1.05,1.36,1.25,5.5,1.14
32,28/10/2023,09:00,ALBANIA - SUPERLIGA,KF Tirana,Dinamo Tirana,1.6,3.95,4.4,1.6,1.65,2.18,12.6,1.29,1.17,4.3,1.18
33,28/10/2023,09:00,INDONESIA - LIGA 1,Persib Bandung,PSS Sleman,1.44,4.5,5.8,1.55,1.72,1.9,1.02,1.26,1.14,3.65,1.2
34,28/10/2023,09:00,INDONESIA - LIGA 1,Borneo,Dewa United,1.55,4.0,5.1,1.65,1.75,1.85,1.01,1.31,1.22,3.5,1.21
36,28/10/2023,09:00,SERBIA - PRVA LIGA,Jedinstvo U.,Radnicki Beograd,1.57,3.65,5.1,1.93,2.03,1.75,1.03,1.42,1.31,7.5,1.05
46,28/10/2023,10:00,NETHERLANDS - TWEEDE DIVISIE,Spakenburg,Jong Almere City,1.5,4.4,5.0,1.42,1.53,2.18,1.01,1.21,1.12,3.1,1.27
