,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_Under,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SCOTLAND - PREMIERSHIP,13/08/2023,08:00,Aberdeen,Celtic,7.5,5.5,1.33,1.44,2.75,1.75,1.3,2.0,1.6,0.7,2.6,0.8,0.13333334,0.18181819,0.7518797,0.6944444,0.36363637,0.769,0.78963745,-1.0,-0.1,0,0.6451
2,BELGIUM - CHALLENGER PRO LEAGUE,13/08/2023,08:30,Genk U23,Beveren,4.33,4.0,1.57,1.48,2.6,1.53,1.29,2.38,1.2,1.7,2.0,1.3,0.23094688,0.25,0.6369427,0.6756757,0.3846154,0.775,0.5019973,-0.8,0.4,0,0.5914
3,BELGIUM - JUPILER PRO LEAGUE,13/08/2023,08:30,St. Truiden,Anderlecht,3.2,3.4,2.05,1.98,1.88,1.8,1.11,1.95,1.3,1.0,1.1,1.2,0.3125,0.29411766,0.4878049,0.5050505,0.5319149,0.901,0.2392918,0.2,-0.2,0,0.5626
4,SWEDEN - ALLSVENSKAN,13/08/2023,10:00,Goteborg,Djurgarden,3.6,3.5,2.05,2.05,1.8,1.8,1.1,1.95,1.0,1.1,1.2,1.8,0.2777778,0.2857143,0.4878049,0.4878049,0.5555556,0.909,0.27734625,-0.2,-0.7,0,0.5196
5,SWEDEN - ALLSVENSKAN,13/08/2023,10:00,Sirius,Kalmar,2.2,3.4,3.25,1.93,1.93,1.75,1.11,2.0,1.4,1.8,1.0,1.4,0.45454547,0.29411766,0.30769232,0.5181347,0.5181347,0.901,0.20629002,0.4,0.4,0,0.5957
6,SWEDEN - SUPERETTAN,13/08/2023,10:00,Vasteras SK,Helsingborg,1.55,4.2,5.25,1.73,2.08,1.8,1.14,1.95,1.9,0.4,0.6,1.4,0.6451613,0.23809524,0.1904762,0.5780347,0.48076922,0.877,0.5700997,1.3,-1.0,0,0.7401
7,BELGIUM - CHALLENGER PRO LEAGUE,13/08/2023,11:00,Oostende,Lommel SK,1.6,3.8,4.33,1.57,2.35,1.62,1.2,2.2,1.2,1.6,1.5,1.5,0.625,0.2631579,0.23094688,0.6369427,0.42553192,0.833,0.47891185,-0.3,0.1,0,0.6722
8,BELGIUM - JUPILER PRO LEAGUE,13/08/2023,11:00,Eupen,Club Brugge KV,5.25,4.0,1.5,1.57,2.35,1.67,1.2,2.1,1.4,1.9,1.2,1.8,0.1904762,0.25,0.6666667,0.6369427,0.42553192,0.833,0.5740365,0.2,0.1,0,0.5742
9,SCOTLAND - PREMIERSHIP,13/08/2023,11:00,Hearts,Kilmarnock,1.83,3.5,4.5,1.88,1.98,1.75,1.13,2.0,2.3,1.0,0.7,2.2,0.5464481,0.2857143,0.22222222,0.5319149,0.5050505,0.885,0.3991665,1.6,-1.2,0,0.6016
10,AUSTRIA - BUNDESLIGA,13/08/2023,12:00,Salzburg,Austria Vienna,1.4,5.0,7.5,1.48,2.6,1.67,1.25,2.1,1.9,0.8,1.5,1.9,0.71428573,0.2,0.13333334,0.6756757,0.3846154,0.8,0.74334514,0.4,-1.1,0,0.7897
11,SWEDEN - ALLSVENSKAN,13/08/2023,12:30,Hammarby,Elfsborg,3.1,3.5,2.25,1.67,2.15,1.57,1.17,2.25,2.4,1.2,2.3,0.6,0.32258064,0.2857143,0.44444445,0.5988024,0.4651163,0.855,0.1932887,0.1,0.6,0,0.6559
12,SWEDEN - ALLSVENSKAN,13/08/2023,12:30,Halmstad,Norrkoping,2.75,3.4,2.55,2.03,1.83,1.75,1.1,2.0,0.8,0.6,1.8,1.4,0.36363637,0.29411766,0.39215687,0.49261084,0.5464481,0.909,0.117651045,-1.0,-0.8,0,0.7337
13,BELGIUM - JUPILER PRO LEAGUE,13/08/2023,13:30,Charleroi,St. Liege,1.95,3.5,3.4,1.73,2.08,1.62,1.14,2.2,1.2,1.3,1.4,2.1,0.51282054,0.2857143,0.29411766,0.5780347,0.48076922,0.877,0.28865775,-0.2,-0.8,0,0.592
14,SPAIN - LALIGA2,13/08/2023,17:00,Leganes,Andorra,2.3,3.1,3.5,2.5,1.5,2.1,1.05,1.67,1.0,0.9,1.2,1.2,0.4347826,0.32258064,0.2857143,0.4,0.6666667,0.952,0.18232924,-0.2,-0.3,0,0.5009
