,Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_CS_0x1_Lay,IDMercado_Correct_Score
1,2025-04-09,07:30:00,SOUTH KOREA - K LEAGUE 1,Gwangju FC,Daegu,2.26,3.6,3.4,12.5,1.241954
2,2025-04-09,09:00:00,ARMENIA - PREMIER LEAGUE,Noah,BKMA,1.17,17.5,7.4,85.0,1.2420954
3,2025-04-09,13:00:00,POLAND - DIVISION 1,Wisla,Chrobry Glogow,1.3,10.0,5.7,110.0,1.2419499
4,2025-04-09,14:00:00,NORWAY - ELITESERIEN,Fredrikstad,Valerenga,2.42,3.35,3.35,11.5,1.2420269
5,2025-04-09,15:30:00,POLAND - DIVISION 1,Polonia Warszawa,Pogon Siedlce,1.76,4.8,4.0,42.0,1.241998
6,2025-04-09,15:30:00,POLAND - DIVISION 1,Stal Stalowa Wola,Tychy,3.75,2.1,3.45,9.6,1.2419837
7,2025-04-09,16:00:00,EUROPE - CHAMPIONS LEAGUE,Barcelona,Dortmund,1.32,10.5,6.6,48.0,1.2408121
8,2025-04-09,16:00:00,EUROPE - CHAMPIONS LEAGUE,PSG,Aston Villa,1.5,7.0,5.1,32.0,1.2408184
