League,Date,Time,Home,Away,Odd_H,Odd_A,Odd_D,Odd_Under05_HT,Odd_Over05_HT,Odd_Under15_HT,Odd_Over15_HT,Odd_Under25_HT,Odd_Over25_HT,Odd_Under05,Odd_Over05,Odd_Under15,Odd_Over15,Odd_Under25,Odd_Over25,Odd_Under45,Odd_Over45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_CS_0x0,Odd_CS_0x1,Odd_CS_0x2,Odd_CS_0x3,Odd_CS_1x0,Odd_CS_1x1,Odd_CS_1x2,Odd_CS_1x3,Odd_CS_2x0,Odd_CS_2x1,Odd_CS_2x2,Odd_CS_2x3,Odd_CS_3x0,Odd_CS_3x1,Odd_CS_3x2,Odd_CS_3x3,Odd_CS_Goleada_H,Odd_CS_Goleada_A,Odd_CS_Goleada_D,p_H,p_D,p_A,p_Over,p_Under,p_BTTS_Y,p_BTTS_N,p_H__p_D,p_H__p_A,p_D__p_H,p_D__p_A,p_A__p_H,p_A__p_D,p_D__p_Over,p_D__p_Under,CV_HDA,CV_HD,CV_HA,CV_DA,CV_DO,H_A,A_D,H_D,H_O,A_O,O_D,O_S,Odd_Sum,HO_D,AO_D,ADJ_H,ADJ_A,CV_MO,DP_MO,CV_MO_OV,Euc_Dist_MO,Angle_MO,Euc_Dist_OV,Angle_OV,Distancia_E_Geral,DE,DE_Casa,prediction_label,prediction_score
Mexican Liga MX,2024-02-11,00:10:00,Santos Laguna,Tigres,3.35,2.28,3.6,3.4,1.4,1.51,2.8,1.13,7.6,14.0,1.07,4.2,1.29,2.08,1.88,1.16,6.6,1.7,2.26,13.5,10.0,13.5,26.0,13.0,7.6,10.0,21.0,22.0,13.0,15.5,30.0,46.0,32.0,40.0,50.0,23.0,14.5,12.5,0.29850745,0.2777778,0.4385965,0.5319149,0.48076922,0.5882353,0.44247788,1.0746269,0.680597,0.9305556,0.6333333,1.4692982,1.5789474,0.5222222,0.5777778,0.21114111,0.035971224,0.19005328,0.2244898,0.3138686,1.4692982,0.6333333,0.9305556,1.781915,1.2127659,0.5222222,1.1058824,9.23,-0.027085591,-0.14301191,0.3629469,0.24702059,0.22789784,0.7011657,0.2981477,1.7174982,7.125016,0.28284273,-5.710593,1.7174982,1.32,0.25,1,1.0
Mexican Liga MX,2024-02-11,00:10:00,Monterrey,Pachuca,1.73,5.0,4.1,3.8,1.33,1.6,2.54,1.16,6.4,17.5,1.05,5.0,1.23,2.34,1.72,1.21,5.4,1.76,2.24,17.0,19.5,34.0,75.0,9.8,9.0,18.0,50.0,10.5,9.4,16.5,46.0,16.0,15.5,26.0,65.0,7.6,44.0,22.0,0.5780347,0.24390244,0.2,0.5813953,0.42735043,0.5681818,0.44642857,2.3699422,2.8901734,0.42195123,1.2195122,0.346,0.82,0.41951218,0.5707317,0.49556917,0.406518,0.4858841,0.0989011,0.4089347,0.346,1.2195122,0.42195123,1.005814,2.9069767,0.41951218,0.97727275,10.83,-0.21883656,0.083102494,0.15974146,0.46168053,0.46791452,1.6891714,0.53287417,4.137608,49.83959,0.8768124,-17.223436,4.137608,0.9,2.37,1,1.0
Turkish 1 Lig,2024-02-11,07:30:00,Adanaspor,Tuzlaspor,2.34,3.2,3.2,2.56,1.5,1.35,3.3,1.09,9.6,8.0,1.08,3.0,1.39,1.69,2.16,1.08,8.8,1.9,1.94,8.8,9.2,6.0,6.8,7.6,6.2,11.5,6.6,12.0,10.0,5.7,6.8,6.4,6.2,6.6,7.2,6.0,6.6,7.6,0.42735043,0.3125,0.3125,0.46296296,0.591716,0.5263158,0.5154639,1.3675214,1.3675214,0.73125,1.0,0.73125,1.0,0.675,0.528125,0.1543431,0.15523465,0.15523465,0.0,0.19402985,0.73125,1.0,0.73125,1.0833334,1.4814814,0.675,1.1368421,8.74,-0.09839817,0.0,0.26773456,0.36613274,0.17043063,0.49652123,0.20307653,1.2162237,23.267704,0.66468036,13.224551,1.2162237,0.0,0.86,1,1.0
Turkish Super League,2024-02-11,07:30:00,Sivasspor,Rizespor,2.4,3.25,3.45,3.05,1.45,1.45,2.84,1.1,8.4,11.5,1.07,3.6,1.31,1.88,1.96,1.11,7.0,1.78,2.12,12.0,11.5,20.0,40.0,9.6,7.2,12.5,29.0,13.5,10.5,16.0,36.0,28.0,23.0,34.0,70.0,12.0,11.5,16.0,0.41666666,0.28985506,0.30769232,0.5102041,0.5319149,0.56179774,0.4716981,1.4375,1.3541666,0.6956522,0.942029,0.73846155,1.0615385,0.56811595,0.54492754,0.16579439,0.17948718,0.15044248,0.029850746,0.2754159,0.73846155,0.942029,0.6956522,1.2244898,1.6581633,0.56811595,1.1011236,9.1,-0.115384616,-0.021978023,0.26373628,0.35714287,0.18379922,0.55752426,0.2545129,1.36565,27.699472,0.11313708,2.29061,1.36565,0.2,1.05,1,1.0
Polish Ekstraklasa,2024-02-11,08:30:00,Warta Poznan,Rakow Czestochowa,5.1,1.83,3.5,2.78,1.44,1.38,3.1,1.08,9.4,8.0,1.08,2.96,1.37,1.68,2.16,1.07,8.8,2.02,1.81,9.8,6.6,9.0,17.5,13.5,7.2,9.2,19.0,32.0,18.5,20.0,38.0,10.0,9.8,10.5,10.0,10.0,12.5,10.5,0.19607843,0.2857143,0.5464481,0.46296296,0.5952381,0.4950495,0.5524862,0.6862745,0.35882354,1.4571428,0.5228571,2.7868853,1.9125683,0.61714286,0.48,0.43359742,0.18604651,0.47186148,0.31332082,0.23674911,2.7868853,0.5228571,1.4571428,2.3611112,0.8472222,0.61714286,1.069307,10.43,0.15340364,-0.16011505,0.48897412,0.17545542,0.47031397,1.6351249,0.4729356,4.0052214,-38.65981,0.6788225,13.495733,4.0052214,1.67,1.6,1,1.0
German 3 Liga,2024-02-11,09:30:00,Hallescher FC,Erzgebirge,2.56,2.74,3.75,3.1,1.34,1.47,2.54,1.12,1.01,10.0,1.05,3.95,1.25,2.08,1.76,1.13,2.88,1.74,2.18,13.0,11.0,15.5,6.4,10.5,7.4,10.5,6.0,14.5,10.0,13.0,6.4,6.2,6.0,6.2,6.8,5.5,5.7,7.4,0.390625,0.26666668,0.3649635,0.5681818,0.48076922,0.57471263,0.4587156,1.4648438,1.0703125,0.68266666,0.73066664,0.93430656,1.3686131,0.46933332,0.55466664,0.15678075,0.18858954,0.033962265,0.15562403,0.36116153,0.93430656,0.73066664,0.68266666,1.4545455,1.5568181,0.46933332,1.0114943,9.05,-0.1314917,-0.11160221,0.28287292,0.30276242,0.21262896,0.6414307,0.3026754,1.571178,30.752645,0.45254833,-9.090277,1.571178,1.01,1.19,1,1.0
Belgian First Division A,2024-02-11,09:30:00,Molenbeek,Antwerp,5.5,1.65,4.5,3.55,1.32,1.55,2.58,1.15,6.2,15.5,1.05,4.7,1.24,2.3,1.73,1.18,5.3,1.78,2.18,17.0,9.6,10.0,15.0,20.0,9.2,9.2,14.5,40.0,19.5,18.0,27.0,22.0,36.0,36.0,28.0,18.5,6.0,22.0,0.18181819,0.22222222,0.6060606,0.5780347,0.4347826,0.56179774,0.4587156,0.8181818,0.3,1.2222222,0.36666667,3.3333333,2.7272727,0.38444445,0.51111114,0.5678028,0.1,0.53846157,0.46341464,0.44462278,3.3333333,0.36666667,1.2222222,3.1791906,0.9537572,0.38444445,0.9719101,11.65,0.08583691,-0.2446352,0.472103,0.1416309,0.514431,1.997707,0.58428174,4.893363,-26.565052,0.80610174,-15.907552,4.893363,2.85,1.0,1,1.0
German Bundesliga 2,2024-02-11,09:30:00,VfL Osnabruck,Hansa Rostock,2.3,3.25,3.55,3.1,1.41,1.46,2.84,1.11,7.6,10.0,1.07,3.7,1.29,1.92,1.88,1.12,5.7,1.76,2.12,12.5,12.5,20.0,12.5,9.6,7.4,13.0,32.0,13.5,10.0,15.5,40.0,26.0,21.0,32.0,14.0,15.0,17.5,15.5,0.4347826,0.28169015,0.30769232,0.5319149,0.5208333,0.5681818,0.4716981,1.5434783,1.4130435,0.64788735,0.91549295,0.7076923,1.0923077,0.5295775,0.5408451,0.1959277,0.21367522,0.17117117,0.04411765,0.30755064,0.7076923,0.91549295,0.64788735,1.2234043,1.7287234,0.5295775,1.0681819,9.1,-0.13736264,-0.032967035,0.25274727,0.35714287,0.21512936,0.65255904,0.28602284,1.5984367,32.005383,0.05656854,-1.1457628,1.5984367,0.3,1.25,1,1.0
Spanish La Liga,2024-02-11,10:00:00,Getafe,Celta Vigo,2.36,3.7,3.15,2.44,1.6,1.28,3.6,1.06,12.5,8.0,1.13,2.74,1.56,1.56,2.74,1.07,14.0,2.2,1.78,8.2,9.6,21.0,70.0,6.8,6.8,15.5,50.0,12.0,11.5,23.0,70.0,29.0,30.0,50.0,120.0,30.0,34.0,1000.0,0.42372882,0.31746033,0.27027026,0.3649635,0.64102566,0.45454547,0.56179774,1.3347458,1.5677966,0.74920636,1.1746032,0.6378378,0.8513514,0.8698413,0.4952381,0.19035287,0.14337568,0.22112212,0.08029197,0.06960951,0.6378378,1.1746032,0.74920636,0.8613139,1.3503649,0.8698413,1.2454545,9.21,-0.08577633,0.0597177,0.2562432,0.40173724,0.21940474,0.67357254,0.19219676,1.6499091,21.55402,1.668772,30.540606,1.6499091,0.55,0.79,1,1.0
Spanish Segunda Division,2024-02-11,10:00:00,Villarreal B,Tenerife,3.25,2.62,3.0,2.48,1.54,1.3,3.75,1.06,1.01,2.68,1.01,2.68,1.47,1.56,2.44,1.04,2.44,2.04,1.83,8.0,7.8,14.0,34.0,8.8,6.4,11.5,30.0,17.5,13.0,19.5,34.0,14.0,36.0,13.5,15.0,34.0,25.0,16.5,0.30769232,0.33333334,0.3816794,0.40983605,0.64102566,0.49019608,0.5464481,0.9230769,0.80615383,1.0833334,0.87333333,1.240458,1.1450381,0.81333333,0.52,0.0899835,0.04,0.10732538,0.06761566,0.10294118,1.240458,0.87333333,1.0833334,1.3319672,1.0737705,0.81333333,1.1960784,8.87,0.028184893,-0.042841036,0.3664036,0.29537767,0.1072923,0.31722757,0.12937966,0.77704567,-7.125016,1.2445079,23.749495,0.77704567,0.38,0.25,1,1.0
