,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,Lay Away New,09/12/2023,05:45,AUSTRALIA - A-LEAGUE,Sydney FC,Macarthur FC,1.73,4.33,4.0,1.44,2.7,1.53,2.38,H,D,H
2,Lay Away New,09/12/2023,08:00,PORTUGAL - LIGA PORTUGAL 2,Porto B,AVS,2.25,3.4,3.1,2.08,1.73,1.83,1.83,H,D,A
3,Lay Away New,09/12/2023,10:00,BULGARIA - PARVA LIGA,Cherno More,Slavia Sofia,1.73,3.4,5.5,2.4,1.53,2.25,1.57,A,H,A
4,Lay Away New,09/12/2023,12:00,SCOTLAND - PREMIERSHIP,Aberdeen,Hearts,2.63,3.5,2.63,1.95,1.9,1.75,2.0,A,H,D
5,Lay Away New,09/12/2023,12:00,SCOTLAND - PREMIERSHIP,St Mirren,Ross Co,2.15,3.3,3.5,2.4,1.53,2.0,1.75,A,H,D
6,Lay Away New,09/12/2023,12:00,SCOTLAND - LEAGUE TWO,Bonnyrigg Rose,Peterhead,2.63,3.3,2.3,1.8,2.0,1.67,2.1,D,H,A
7,Lay Away New,09/12/2023,14:00,SWITZERLAND - SUPER LEAGUE,Basel,Grasshoppers,2.15,3.6,3.25,1.67,2.15,1.62,2.2,A,D,H
8,Lay Away New,09/12/2023,16:30,SWITZERLAND - SUPER LEAGUE,Lausanne,Servette,2.3,3.5,3.0,1.7,2.1,1.53,2.38,A,D,H
9,Lay Away New,09/12/2023,17:00,SPAIN - LALIGA2,Burgos,Mirandes,2.1,3.25,3.75,2.35,1.57,2.0,1.73,H,H,H
10,Lay Away New,09/12/2023,18:00,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Godoy Cruz,CA Platense,2.63,3.0,3.0,2.6,1.48,2.1,1.67,H,A,H
