Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,INDIA - I-LEAGUE,23/12/2023,05:30,Lajong,Namdhari,1.72,3.85,3.95
2,AUSTRALIA - A-LEAGUE,23/12/2023,05:45,Melbourne City,Melbourne Victory,2.38,3.6,2.9
3,VIETNAM - V.LEAGUE 1,23/12/2023,08:00,Nam Dinh,Gia Lai,1.5,4.05,5.8
4,VIETNAM - V.LEAGUE 1,23/12/2023,08:00,Binh Dinh,Viettel,2.6,3.05,2.62
5,AUSTRALIA - A-LEAGUE,23/12/2023,08:30,Perth Glory,Macarthur FC,2.45,3.6,2.7
6,CAMEROON - ELITE ONE,23/12/2023,09:30,Avion Academy,Yong Sports Academy,2.52,2.75,2.87
7,CAMEROON - ELITE ONE,23/12/2023,11:00,Bamboutos FC,Union Douala,1.5,3.8,5.7
8,INDIA - ISL,23/12/2023,11:30,Mohun Bagan,Goa,2.25,3.3,2.8
9,SCOTLAND - LEAGUE ONE,23/12/2023,12:00,Cove Rangers,Edinburgh City,1.08,9.25,30.0
10,SCOTLAND - LEAGUE TWO,23/12/2023,12:00,Dumbarton,Clyde,1.4,4.33,6.5
11,NORTHERN IRELAND - NIFL CHAMPIONSHIP,23/12/2023,12:00,Bangor FC,Dergview,1.52,4.15,5.2
12,SCOTLAND - CHAMPIONSHIP,23/12/2023,12:00,Partick Thistle,Inverness,1.75,4.0,4.0
13,SCOTLAND - PREMIERSHIP,23/12/2023,12:00,Kilmarnock,St Johnstone,1.73,3.6,5.25
14,ENGLAND - CHAMPIONSHIP,23/12/2023,12:00,Middlesbrough,West Brom,2.38,3.2,3.2
15,GHANA - PREMIER LEAGUE,23/12/2023,12:00,Berekum Chelsea,Bofoakwa Tano,1.98,2.87,3.9
16,SENEGAL - LIGUE 1,23/12/2023,13:30,Teungueth,Jaraaf,2.32,2.7,3.25
17,MOROCCO - BOTOLA PRO,23/12/2023,14:00,Wydad,Youssoufia Berrechid,1.36,5.0,6.0
18,ENGLAND - PREMIER LEAGUE,23/12/2023,14:30,Liverpool,Arsenal,2.45,3.6,2.7
19,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,23/12/2023,15:00,Al Ittihad,Al Raed,1.36,5.25,6.0
20,ITALY - SERIE C,23/12/2023,16:45,Virtus Francavilla,Potenza,2.45,2.95,3.0
21,ITALY - SERIE C,23/12/2023,16:45,Giugliano,Audace Cerignola,2.35,3.0,3.1
