Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,18/02/2024,07:00,MALTA - PREMIER LEAGUE,Hamrun,Sirens,1.22,5.5,11.25,1.6,2.25,1.5,1.01,1.29,1.19,3.75,1.19
28,18/02/2024,08:00,SPAIN - PRIMERA RFEF,Malaga,Recreativo Huelva,1.55,3.6,6.0,2.35,2.5,1.5,1.08,1.5,1.44,8.0,1.06
27,18/02/2024,08:00,PORTUGAL - LIGA PORTUGAL 2,Academico Viseu,Oliveirense,1.57,3.75,5.25,2.05,2.0,1.73,1.06,1.4,1.33,8.0,1.08
26,18/02/2024,08:15,NETHERLANDS - EREDIVISIE,Twente,Utrecht,1.57,4.0,6.0,1.83,1.8,1.95,1.04,1.36,1.25,6.0,1.13
25,18/02/2024,09:00,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,FK Sarajevo,Siroki Brijeg,1.35,4.25,8.75,1.93,2.25,1.5,1.03,1.42,1.3,6.8,1.07
24,18/02/2024,09:15,VIETNAM - V.LEAGUE 1,Cong An,Ho Chi Minh,1.47,4.05,6.0,1.9,2.02,1.62,1.02,1.39,1.29,6.0,1.08
23,18/02/2024,10:15,SWITZERLAND - SUPER LEAGUE,Young Boys,Lausanne Ouchy,1.36,5.5,7.5,1.48,1.73,2.0,1.02,1.25,1.14,3.75,1.25
22,18/02/2024,10:30,NETHERLANDS - EREDIVISIE,Ajax,Nijmegen,1.45,5.25,5.5,1.36,1.53,2.38,1.01,1.2,1.1,3.0,1.36
21,18/02/2024,11:00,POLAND - EKSTRAKLASA,Legia,Puszcza,1.33,5.5,7.5,1.7,2.1,1.67,1.03,1.33,1.22,5.0,1.17
20,18/02/2024,11:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Hilal,Al Raed,1.18,7.5,10.0,1.36,1.91,1.8,1.01,1.2,1.1,3.0,1.36
19,18/02/2024,11:00,POLAND - DIVISION 1,Termalica B-B.,Chrobry Glogow,1.55,4.0,5.75,1.83,1.83,1.83,1.05,1.36,1.25,6.0,1.13
18,18/02/2024,11:00,INDIA - ISL,Mumbai City,Bengaluru FC,1.65,4.0,5.0,1.73,1.73,2.0,1.04,1.33,1.22,5.5,1.14
17,18/02/2024,11:30,CAMEROON - ELITE ONE,Stade Renard,APEJES Academy,1.55,3.35,6.1,2.32,2.4,1.54,1.07,1.52,1.46,10.0,1.02
16,18/02/2024,12:15,ITALY - SERIE C,Arezzo,Recanatese,1.65,3.6,5.0,2.07,2.02,1.7,1.07,1.47,1.36,6.2,1.09
15,18/02/2024,12:45,NETHERLANDS - EREDIVISIE,Feyenoord,Waalwijk,1.13,10.0,17.0,1.3,2.1,1.67,1.01,1.18,1.08,2.75,1.4
14,18/02/2024,13:00,SERBIA - SUPER LIGA,TSC,Radnik,1.37,4.55,7.6,1.7,1.98,1.75,1.04,1.35,1.23,4.45,1.17
13,18/02/2024,13:10,CROATIA - HNL,D. Zagreb,Varazdin,1.17,6.5,13.0,1.57,2.38,1.53,1.03,1.29,1.17,4.33,1.2
