,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,06/01/2024,03:30,AUSTRALIA - A-LEAGUE,WS Wanderers,Central Coast Mariners,2.3,3.8,2.75,1.5,1.44,2.63,1.03,1.25,1.14,4.0,1.25
2,06/01/2024,05:45,AUSTRALIA - A-LEAGUE,Brisbane Roar,Sydney FC,2.63,4.0,2.38,1.5,1.44,2.63,1.02,1.25,1.17,4.0,1.25
3,06/01/2024,07:45,AUSTRALIA - A-LEAGUE,Perth Glory,Melbourne Victory,4.2,4.33,1.7,1.53,1.57,2.25,1.03,1.29,1.17,4.33,1.22
4,06/01/2024,09:30,ENGLAND - FA CUP,Maidstone,Stevenage,6.0,4.33,1.53,1.75,1.91,1.91,1.04,1.33,1.25,5.5,1.14
5,06/01/2024,09:45,ENGLAND - FA CUP,Sunderland,Newcastle,4.0,4.33,1.73,1.67,1.67,2.1,1.03,1.3,1.2,5.0,1.17
6,06/01/2024,10:00,ENGLAND - LEAGUE TWO,Harrogate,Doncaster,2.4,3.5,2.8,2.03,1.8,1.91,1.05,1.4,1.3,7.0,1.1
12,06/01/2024,12:00,ENGLAND - LEAGUE ONE,Bristol Rovers,Cambridge Utd,1.93,3.4,3.81,1.91,1.75,1.95,1.03,1.36,1.29,7.0,1.07
19,06/01/2024,12:00,ENGLAND - FA CUP,Southampton,Walsall,1.29,6.5,8.0,1.44,1.8,1.95,1.02,1.25,1.13,3.5,1.29
18,06/01/2024,12:00,ENGLAND - FA CUP,Plymouth,Sutton,1.3,6.5,7.5,1.4,1.75,2.0,1.02,1.22,1.11,3.4,1.3
17,06/01/2024,12:00,ENGLAND - FA CUP,Blackburn,Cambridge Utd,1.44,5.25,6.0,1.53,1.8,1.95,1.03,1.29,1.17,4.0,1.22
16,06/01/2024,12:00,ENGLAND - LEAGUE TWO,Swindon,Colchester,2.05,4.0,3.2,1.5,1.44,2.63,1.02,1.25,1.14,3.75,1.25
15,06/01/2024,12:00,ENGLAND - LEAGUE TWO,Salford,Forest Green,2.38,3.5,2.9,1.83,1.62,2.2,1.04,1.36,1.25,6.0,1.13
11,06/01/2024,12:00,SCOTLAND - LEAGUE ONE,Annan,Montrose,2.38,3.4,2.63,1.65,1.53,2.38,1.01,1.3,1.2,4.5,1.17
10,06/01/2024,12:00,SCOTLAND - LEAGUE ONE,Cove Rangers,Kelty Hearts,1.5,4.0,5.0,1.62,1.73,2.0,1.03,1.3,1.2,4.33,1.2
9,06/01/2024,12:00,SCOTLAND - CHAMPIONSHIP,Partick Thistle,Arbroath,1.45,4.33,5.5,1.5,1.67,2.1,1.02,1.25,1.14,3.75,1.25
8,06/01/2024,12:00,SCOTLAND - LEAGUE ONE,Falkirk,Queen of South,1.29,4.75,9.0,1.53,1.91,1.8,1.01,1.25,1.17,4.0,1.22
7,06/01/2024,12:00,SCOTLAND - LEAGUE TWO,Clyde,Bonnyrigg Rose,2.75,3.8,2.1,1.88,1.8,1.91,1.04,1.36,1.29,5.5,1.13
13,06/01/2024,12:00,SCOTLAND - LEAGUE TWO,Peterhead,Spartans,2.45,3.6,2.45,1.8,1.67,2.1,1.01,1.36,1.25,5.0,1.14
14,06/01/2024,12:00,ENGLAND - LEAGUE TWO,Notts Co,Sutton,1.51,4.33,5.54,1.5,1.57,2.25,13.0,1.25,1.12,4.0,1.2
20,06/01/2024,12:15,ITALY - SERIE C,Benevento,Turris,1.55,3.8,5.8,1.93,1.98,1.75,1.06,1.42,1.31,5.5,1.11
21,06/01/2024,12:30,PORTUGAL - LIGA PORTUGAL,SC Farense,Gil Vicente,2.15,3.4,3.3,1.83,1.67,2.1,1.04,1.36,1.25,6.0,1.13
22,06/01/2024,14:15,SAN MARINO - CAMPIONATO SAMMARINESE,Faetano,Fiorentino,1.93,3.85,3.0,1.44,1.4,2.85,17.0,1.22,1.11,3.8,1.22
23,06/01/2024,14:30,ENGLAND - FA CUP,Swansea,Morecambe,1.36,5.25,7.0,1.5,1.75,2.0,1.02,1.25,1.14,3.75,1.25
24,06/01/2024,14:30,ENGLAND - FA CUP,Sheffield Wed,Cardiff,2.25,3.2,3.3,2.15,1.91,1.91,1.07,1.44,1.36,9.0,1.07
