,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_Under,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SOUTH KOREA - K LEAGUE 2,26/08/2023,07:30,Gyeongnam,Seongnam,2.15,3.4,3.0,1.83,1.98,1.67,1.13,2.1,1.4,1.5,1.5,1.4,0.4651163,0.29411766,0.33333334,0.5464481,0.5050505,0.885,0.20082976,-0.1,0.1,0,0.5629
2,SOUTH KOREA - K LEAGUE 2,26/08/2023,07:30,Gimpo FC,Busan,3.1,3.1,2.2,2.5,1.5,2.1,1.04,1.67,0.7,0.8,1.5,0.9,0.32258064,0.32258064,0.45454547,0.4,0.6666667,0.962,0.16970563,-0.8,-0.1,0,0.6695
3,SCOTLAND - PREMIERSHIP,26/08/2023,08:30,Ross County,Rangers,7.5,5.5,1.36,1.57,2.38,1.91,1.22,1.91,1.7,1.2,1.2,1.6,0.13333334,0.18181819,0.7352941,0.6369427,0.42016807,0.82,0.7798331,0.5,-0.4,0,0.6311
4,SWEDEN - SUPERETTAN,26/08/2023,10:00,Orebro,Vasteras SK,3.1,3.3,2.15,1.9,1.95,1.7,1.13,2.05,0.9,0.6,2.0,0.8,0.32258064,0.3030303,0.4651163,0.5263158,0.51282054,0.885,0.19869931,-1.1,-0.2,0,0.6957
5,SCOTLAND - LEAGUE TWO,26/08/2023,11:00,Elgin City,East Fife,2.55,3.3,2.38,1.8,2.0,1.67,1.14,2.1,0.8,1.2,0.9,1.3,0.39215687,0.3030303,0.42016807,0.5555556,0.5,0.877,0.13433507,-0.1,-0.1,0,0.719
6,ARGENTINA - PRIMERA NACIONAL,26/08/2023,11:00,Deportivo Madryn,CA Estudiantes,2.1,3.0,4.0,2.7,1.44,2.38,1.03,1.53,1.1,0.9,0.9,1.7,0.47619048,0.33333334,0.25,0.37037036,0.6944444,0.971,0.26446298,0.2,-0.8,0,0.575
7,SCOTLAND - PREMIERSHIP,26/08/2023,11:00,Motherwell,Kilmarnock,2.45,3.2,3.0,2.1,1.73,1.91,1.08,1.91,1.7,1.2,0.9,1.9,0.40816328,0.3125,0.33333334,0.47619048,0.5780347,0.926,0.11691447,0.8,-0.7,0,0.5419
8,SCOTLAND - LEAGUE TWO,26/08/2023,11:00,Stranraer,Clyde,1.83,3.6,3.5,1.8,2.0,1.73,1.14,2.0,1.2,1.1,0.5,1.6,0.5464481,0.2777778,0.2857143,0.5555556,0.5,0.877,0.3373798,0.7,-0.5,0,0.6957
9,SCOTLAND - LEAGUE TWO,26/08/2023,11:00,Forfar Athletic,Bonnyrigg Rose,2.05,3.3,3.0,2.03,1.83,1.8,1.1,1.91,1.1,0.7,0.5,0.7,0.4878049,0.3030303,0.33333334,0.49261084,0.5464481,0.909,0.21592604,0.6,0.0,0,0.6013
10,SCOTLAND - LEAGUE TWO,26/08/2023,11:00,Peterhead,Spartans,2.15,3.4,2.8,1.8,2.0,1.73,1.13,2.0,0.6,1.5,2.0,1.5,0.4651163,0.29411766,0.35714287,0.5555556,0.5,0.885,0.1897457,-1.4,0.0,0,0.8272
11,SCOTLAND - LEAGUE TWO,26/08/2023,11:00,Stenhousemuir,Dumbarton,2.63,3.2,2.4,1.8,2.0,1.62,1.14,2.2,1.2,0.9,1.0,1.7,0.38022813,0.3125,0.41666666,0.5555556,0.5,0.877,0.11671399,0.2,-0.8,0,0.6779
12,SWITZERLAND - SUPER LEAGUE,26/08/2023,13:00,Yverdon,Servette,4.33,4.0,1.75,1.57,2.35,1.53,1.22,2.38,1.5,0.7,1.7,1.6,0.23094688,0.25,0.5714286,0.6369427,0.42553192,0.82,0.4452998,-0.2,-0.9,0,0.5218
13,SWITZERLAND - SUPER LEAGUE,26/08/2023,13:00,Zurich,St. Gallen,2.45,3.5,2.8,1.57,2.35,1.5,1.2,2.5,1.6,1.2,1.1,1.4,0.40816328,0.2857143,0.35714287,0.6369427,0.42553192,0.833,0.1433478,0.5,-0.2,0,0.5636
