Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,ROMANIA - LIGA 2,21/10/2023,05:00,Progresul Spartac,Metaloglobus Bucharest,4.85,3.5,1.7
2,AZERBAIJAN - PREMIER LEAGUE,21/10/2023,08:00,Kapaz,Zira,3.5,3.35,1.98
3,SLOVENIA - PRVA LIGA,21/10/2023,10:00,Rogaska,Celje,5.5,3.85,1.57
4,BULGARIA - PARVA LIGA,21/10/2023,10:30,Lok. Sofia,CSKA 1948 Sofia,5.5,3.8,1.62
5,PORTUGAL - TAÇA DE PORTUGAL,21/10/2023,11:30,Vila Mea,Estrela,23.0,11.0,1.04
6,IVORY COAST - LIGUE 1,21/10/2023,12:30,Bouake,Academie de FAD,3.5,2.87,2.1
7,IVORY COAST - LIGUE 1,21/10/2023,12:30,Mouna,ASEC Mimosas,8.25,3.9,1.36
8,PORTUGAL - TAÇA DE PORTUGAL,21/10/2023,12:30,Malveira,AD Marco 09,7.0,3.6,1.44
9,QATAR - QSL,21/10/2023,13:30,Umm-Salal,Al Rayyan,3.95,3.65,1.82
10,ANDORRA - PRIMERA DIVISIÓ,21/10/2023,15:30,Atletic America,Pas de la Casa,4.0,3.9,1.65
11,BRAZIL - SERIE B,21/10/2023,17:00,Botafogo SP,Novorizontino,3.2,2.95,2.35
