,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_Over25,FT_Odd_BTTS_Yes
1,30/06/2023,07:00,JAPAN - J1 LEAGUE,Cerezo Osaka,Avispa Fukuoka,1.95,3.3,4.2,2.2,2.0,2.2,2.0
2,30/06/2023,15:45,IRELAND - PREMIER DIVISION,Cork City,Drogheda,2.3,3.3,3.1,1.95,1.7,1.95,1.7
