,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,SPAIN - PRIMERA RFEF,2024-03-24,08:00,Alcoyano,Baleares,1.5,3.8,5.75,2.25,2.5,1.5
2,SPAIN - PRIMERA RFEF,2024-03-24,08:00,CF Intercity,Antequera,2.2,3.3,2.8,2.35,2.1,1.67
3,INDIA - I-LEAGUE,2024-03-24,08:00,Sreenidi Deccan,Churchill Brothers,1.53,3.85,5.6,1.62,1.65,1.98
4,SPAIN - PRIMERA RFEF,2024-03-24,08:00,Linares,Melilla,2.0,2.9,4.0,2.5,2.2,1.62
5,SPAIN - PRIMERA RFEF,2024-03-24,08:00,Recreativo Huelva,Merida AD,1.85,3.2,4.0,2.63,2.5,1.5
6,SPAIN - PRIMERA RFEF,2024-03-24,08:00,UD Ibiza,Ceuta,1.6,3.3,5.5,2.1,2.1,1.67
7,INDIA - I-LEAGUE,2024-03-24,10:30,TRAU FC,Neroca FC,2.1,3.65,2.95,1.4,1.36,2.65
8,SERBIA - PRVA LIGA,2024-03-24,11:00,Mladost GAT,RFK Novi Sad,1.62,3.3,5.4,2.27,1.86,1.9
9,SPAIN - LALIGA2,2024-03-24,12:15,Valladolid,Eibar,2.2,3.2,3.5,2.4,2.0,1.73
10,ITALY - SERIE C,2024-03-24,12:15,Audace Cerignola,Potenza,2.15,3.05,3.5,2.3,1.95,1.75
11,SPAIN - PRIMERA RFEF,2024-03-24,12:30,Barcelona B,Cornella,1.8,3.0,4.33,2.35,2.2,1.62
12,SERBIA - PRVA LIGA,2024-03-24,13:00,Kolubara,Tekstilac Odzaci,2.42,3.15,2.62,2.12,1.88,1.88
13,SPAIN - LALIGA2,2024-03-24,14:30,Mirandes,Zaragoza,2.7,2.8,3.1,2.88,2.2,1.62
14,MEXICO - LIGA DE EXPANSION MX,2024-03-24,15:00,Atlante,Atl. Morelia,1.57,3.8,5.7,2.15,2.18,1.6
15,SPAIN - PRIMERA RFEF,2024-03-24,15:00,Lugo,Sestao,1.85,3.25,3.6,2.5,2.25,1.57
16,URUGUAY - PRIMERA DIVISION,2024-03-24,16:00,Danubio,Wanderers,1.83,3.4,4.33,2.4,2.2,1.62
17,SPAIN - PRIMERA RFEF,2024-03-24,16:00,Gimnastic,Unionistas,1.73,3.3,4.33,2.5,2.5,1.5
18,VENEZUELA - LIGA FUTVE,2024-03-24,16:00,La Guaira,Zamora,1.8,3.2,4.45,2.05,1.88,1.72
19,SPAIN - LALIGA2,2024-03-24,17:00,Racing Santander,Eldense,2.0,3.4,3.8,2.15,2.0,1.73
20,ECUADOR - LIGA PRO,2024-03-24,17:30,Tecnico U.,Macara,2.38,3.25,2.8,2.3,2.0,1.73
21,COLOMBIA - PRIMERA A,2024-03-24,18:00,Bucaramanga,Envigado,1.67,3.6,5.75,2.1,2.0,1.73
22,ECUADOR - LIGA PRO,2024-03-24,20:00,Ind. del Valle,Aucas,1.65,3.75,4.75,1.9,1.83,1.83
23,ECUADOR - LIGA PRO,2024-03-24,20:00,Barcelona SC,LDU Quito,2.3,3.55,2.82,1.75,1.6,2.18
24,COLOMBIA - PRIMERA A,2024-03-24,22:20,Aguilas,Santa Fe,2.5,3.1,3.1,2.4,2.1,1.67
