,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,ROMANIA - LIGA 2,30/09/2023,05:00,Progresul Spartac,Tunari,3.45,3.5,1.98
2,ENGLAND - FA CUP,30/09/2023,08:30,Leek,South Shields,5.8,4.6,1.42
3,ENGLAND - FA CUP,30/09/2023,11:00,Salisbury,Slough,2.52,3.7,2.37
4,ENGLAND - FA CUP,30/09/2023,11:00,Rushall,Boston Utd,2.67,3.55,2.3
5,ENGLAND - FA CUP,30/09/2023,11:00,Billericay,St. Albans,3.55,3.65,1.88
6,ENGLAND - FA CUP,30/09/2023,11:00,Braintree,Brackley Town,2.65,3.25,2.5
7,ENGLAND - FA CUP,30/09/2023,11:00,Bromsgrove,Chelmsford,3.35,3.7,1.91
8,ENGLAND - FA CUP,30/09/2023,11:00,Gorleston,Hemel Hempstead,5.4,4.5,1.47
9,ENGLAND - FA CUP,30/09/2023,11:00,Gosport,Welling,2.7,3.4,2.35
10,ENGLAND - FA CUP,30/09/2023,11:00,Lewes,Hampton & Richmond,2.8,3.4,2.27
11,INDIA - ISL,30/09/2023,11:30,East Bengal,Hyderabad,3.1,3.4,2.05
12,BELARUS - VYSSHAYA LIGA,30/09/2023,12:00,Zhodino,BATE,2.7,3.26,2.53
13,NICARAGUA - LIGA PRIMERA,30/09/2023,20:00,Masachapa,Sport Sebaco,2.82,3.35,2.27
