Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,31/03/2024,01:00,AUSTRALIA - A-LEAGUE,Melbourne Victory,Perth Glory,1.4,5.5,6.5,1.4,1.67,2.1,1.02,1.22,1.13,3.5,1.3
18,31/03/2024,07:30,THAILAND - THAI LEAGUE 1,Buriram,Chiangrai Utd,1.33,5.1,7.6,1.45,1.75,1.98,1.03,1.26,1.15,3.35,1.28
17,31/03/2024,08:00,INDIA - I-LEAGUE,Sreenidi Deccan,Rajasthan United,1.22,5.9,10.0,1.38,1.83,1.78,1.02,1.2,1.09,2.9,1.31
16,31/03/2024,08:00,THAILAND - THAI LEAGUE 1,Muang Thong Utd,Police Tero,1.42,4.65,6.2,1.47,1.65,2.12,1.03,1.27,1.15,3.4,1.27
15,31/03/2024,08:30,THAILAND - THAI LEAGUE 1,Bangkok Utd,Chonburi,1.42,4.5,6.5,1.7,1.93,1.78,1.04,1.34,1.23,4.5,1.17
14,31/03/2024,09:00,BELARUS - VYSSHAYA LIGA,Zhodino,Slutsk,1.32,5.2,9.9,1.81,2.25,1.61,1.01,1.35,1.23,5.2,1.11
13,31/03/2024,09:30,NETHERLANDS - EREDIVISIE,Feyenoord,Utrecht,1.3,5.5,10.0,1.6,1.95,1.8,1.03,1.29,1.18,4.33,1.2
12,31/03/2024,09:30,AUSTRIA - BUNDESLIGA,LASK,A. Klagenfurt,1.62,4.0,5.5,1.98,1.95,1.8,1.05,1.36,1.29,6.5,1.11
11,31/03/2024,10:00,NORTH MACEDONIA - 1. MFL,Shkendija,Bregalnica Stip,1.36,4.45,7.7,1.85,2.15,1.55,1.01,1.33,1.27,7.0,1.07
10,31/03/2024,10:00,ENGLAND - PREMIER LEAGUE,Liverpool,Brighton,1.36,5.5,7.5,1.33,1.53,2.38,1.01,1.2,1.1,2.75,1.44
9,31/03/2024,11:00,INDIA - ISL,Mohun Bagan,Chennaiyin,1.53,4.0,5.5,1.7,1.8,1.91,1.04,1.33,1.22,5.0,1.17
8,31/03/2024,11:00,SPAIN - PRIMERA RFEF,Malaga,Linares,1.45,3.6,6.5,1.98,2.1,1.67,1.04,1.4,1.29,6.0,1.11
7,31/03/2024,11:45,NETHERLANDS - EREDIVISIE,Almere City,FC Volendam,1.45,4.75,6.5,1.73,1.95,1.8,1.03,1.33,1.22,5.5,1.14
6,31/03/2024,12:30,SLOVAKIA - NIKE LIGA,Trnava,Zilina,1.6,3.9,5.4,1.95,1.95,1.75,1.06,1.44,1.31,5.7,1.12
5,31/03/2024,15:00,SPAIN - PRIMERA RFEF,Murcia,Granada CF B,1.57,3.3,6.0,2.38,2.38,1.53,1.1,1.53,1.44,8.5,1.05
4,31/03/2024,16:00,BOLIVIA - DIVISION PROFESIONAL,Always Ready,Independiente,1.44,4.33,8.0,1.65,1.83,1.83,1.04,1.3,1.18,4.5,1.18
3,31/03/2024,16:30,USA - MLS,Atlanta Utd,Chicago Fire,1.7,4.0,4.75,1.53,1.57,2.25,1.03,1.29,1.17,4.0,1.22
2,31/03/2024,18:30,BOLIVIA - DIVISION PROFESIONAL,Bolivar,Oriente Petrolero,1.22,6.0,13.0,1.5,2.0,1.73,1.03,1.25,1.14,3.75,1.25
19,31/03/2024,20:30,BOLIVIA - DIVISION PROFESIONAL,Aurora,Blooming,1.4,4.33,8.5,1.67,1.83,1.83,1.04,1.3,1.2,5.0,1.17
20,31/03/2024,22:00,COSTA RICA - PRIMERA DIVISION,Alajuelense,San Carlos,1.57,3.8,5.0,1.73,1.8,1.91,1.04,1.33,1.22,5.5,1.14
