Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 1,30/09/2023,04:30,Jeonbuk,Daegu,1.95,3.5,3.75
2,ROMANIA - LIGA 2,30/09/2023,05:00,Concordia,CSM Slatina,1.65,3.5,5.3
3,SOUTH KOREA - K LEAGUE 1,30/09/2023,07:00,Incheon,Suwon Bluewings,1.91,3.6,3.75
4,THAILAND - THAI LEAGUE 1,30/09/2023,08:00,Port MTI FC,Khonkaen Utd.,1.36,4.9,7.1
5,ENGLAND - FA CUP,30/09/2023,11:00,Worthing,Whitehawk,1.45,4.35,5.8
6,ENGLAND - FA CUP,30/09/2023,11:00,Merthyr Town,Sheppey United,1.5,4.3,5.3
7,ENGLAND - FA CUP,30/09/2023,11:00,Alfreton,Emley,1.34,4.9,7.2
8,SPAIN - PRIMERA RFEF,30/09/2023,11:00,Real Madrid B,Recreativo Huelva,1.8,3.4,3.8
9,SPAIN - PRIMERA RFEF,30/09/2023,11:00,Leonesa,SD Logrones,1.73,3.25,4.33
10,ENGLAND - FA CUP,30/09/2023,11:00,Chester,Nantwich,1.44,4.4,6.0
11,ENGLAND - FA CUP,30/09/2023,11:00,Chesham,Margate,1.37,4.8,6.5
12,ENGLAND - FA CUP,30/09/2023,11:00,Horsham FC,Hanworth,1.5,4.1,5.7
13,ENGLAND - FA CUP,30/09/2023,11:00,Carshalton,Cray Valley,1.42,4.45,6.3
14,SPAIN - LALIGA2,30/09/2023,11:15,Eibar,Tenerife,2.05,3.2,4.0
15,ITALY - SERIE C,30/09/2023,11:15,Lucchese,Pineto,1.72,3.3,5.1
16,NETHERLANDS - EREDIVISIE,30/09/2023,11:30,Feyenoord,G.A. Eagles,1.14,8.0,17.0
17,NIGERIA - NPFL,30/09/2023,12:00,Shooting,Plateau United,1.78,3.1,4.8
18,MOROCCO - BOTOLA PRO,30/09/2023,12:00,Olympique de Safi,Chabab Mohammedia,1.57,3.3,5.5
19,NIGERIA - NPFL,30/09/2023,12:00,Bayelsa United,Akwa United,1.6,3.3,6.3
20,RUSSIA - PREMIER LEAGUE,30/09/2023,13:00,CSKA Moscow,Baltika,1.72,4.08,5.33
21,ARGENTINA - PRIMERA NACIONAL,30/09/2023,13:30,Def. de Belgrano,All Boys,1.7,3.5,5.25
22,NETHERLANDS - EREDIVISIE,30/09/2023,13:45,PSV,FC Volendam,1.06,12.0,26.0
23,MOLDOVA - SUPER LIGA,30/09/2023,14:00,Sheriff Tiraspol,Balti,1.21,5.2,11.0
24,ECUADOR - LIGA PRO,30/09/2023,15:00,Mushuc Runa,Cumbaya,1.62,3.6,4.75
25,SPAIN - PRIMERA RFEF,30/09/2023,15:00,Cordoba,Granada CF B,1.67,3.5,4.5
26,BRAZIL - SERIE B,30/09/2023,15:30,Juventude,Criciuma,2.0,2.95,4.1
27,ARGENTINA - PRIMERA NACIONAL,30/09/2023,15:30,Club A. Guemes,Temperley,2.45,3.0,3.2
28,ITALY - SERIE C,30/09/2023,15:45,L.R. Vicenza,Atalanta U23,1.65,3.55,5.1
29,VENEZUELA - LIGA FUTVE,30/09/2023,16:30,Dep. Tachira,Hermanos Colmenarez,1.38,4.3,7.7
30,ARGENTINA - PRIMERA NACIONAL,30/09/2023,16:30,San Martin S.J.,Defensores Unidos,1.6,3.75,6.5
31,BRAZIL - SERIE B,30/09/2023,17:00,Guarani,Novorizontino,2.57,2.8,3.0
32,BRAZIL - SERIE B,30/09/2023,17:00,Ituano,Botafogo SP,1.95,2.9,4.45
33,PANAMA - LPF,30/09/2023,18:00,Tauro,Herrera,1.75,3.4,4.55
34,CANADA - CANADIAN PREMIER LEAGUE,30/09/2023,18:00,Pacific FC,Vancouver FC,1.3,5.3,8.75
35,BRAZIL - SERIE A,30/09/2023,18:30,Sao Paulo,Corinthians,1.6,3.75,6.0
36,USA - USL CHAMPIONSHIP,30/09/2023,20:00,Miami FC,Hartford Athletic,1.5,4.4,5.5
37,CHILE - PRIMERA DIVISION,30/09/2023,20:00,U. Espanola,Curico Unido,1.8,3.8,4.5
38,COLOMBIA - PRIMERA A,30/09/2023,20:10,Atl. Nacional,Envigado,1.45,4.75,7.0
39,USA - MLS,30/09/2023,20:30,New England Revolution,Charlotte,1.83,3.8,4.0
40,USA - MLS,30/09/2023,21:30,Houston Dynamo,FC Dallas,1.8,3.8,4.2
41,MEXICO - LIGA MX,30/09/2023,21:45,Club America,U.N.A.M.- Pumas,1.75,3.6,4.75
42,PANAMA - LPF,30/09/2023,22:30,Miguelito,Chiriqui,1.38,4.5,6.9
