,Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_CS_0x1_Lay,IDMercado_Correct_Score
1,2026-05-26,12:00:00,ARMENIA - PREMIER LEAGUE,Ararat Yerevan,BKMA,2.26,3.1,3.45,24.0,1.2586104
2,2026-05-26,12:00:00,ARMENIA - PREMIER LEAGUE,Alashkert,Shirak Gyumri,1.32,12.5,5.4,950.0,1.2585877
