Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
5,23/06/2024,13:00,EGYPT - PREMIER LEAGUE,Pyramids,Arab Contractors,1.31,4.4,9.75,1.78,2.07,1.6,10.2,1.39,1.24,5.15,1.11
6,23/06/2024,16:15,ICELAND - BESTA DEILD KARLA,Hafnarfjordur,Fylkir,1.53,4.4,4.9,1.37,1.45,2.55,1.02,1.22,1.12,2.9,1.36
7,23/06/2024,16:15,ICELAND - BESTA DEILD KARLA,Breidablik,Akranes,1.42,4.8,5.8,1.35,1.5,2.42,1.02,1.21,1.11,2.82,1.38
8,23/06/2024,17:00,CANADA - CANADIAN PREMIER LEAGUE,Forge,Valour,1.53,4.05,5.9,1.8,1.87,1.83,1.05,1.4,1.26,5.1,1.15
9,23/06/2024,18:30,BRAZIL - SERIE A,Atletico-MG,Fortaleza,1.7,3.75,5.0,2.1,2.05,1.7,1.07,1.44,1.36,8.0,1.08
10,23/06/2024,18:30,BRAZIL - SERIE A,Bragantino,Vitoria,1.6,3.8,5.75,2.05,1.95,1.8,1.06,1.4,1.3,6.5,1.11
11,23/06/2024,18:30,BRAZIL - SERIE A,Palmeiras,Juventude,1.33,5.0,9.5,1.84,2.2,1.62,1.05,1.33,1.25,5.5,1.14
1,22/06/2024,20:30,USA - MLS,New York Red Bulls,Toronto FC,1.65,4.2,4.75,1.67,1.7,2.05,1.03,1.3,1.2,5.0,1.17
2,22/06/2024,22:30,USA - MLS,Colorado Rapids,CF Montreal,1.36,5.25,7.5,1.4,1.62,2.2,1.02,1.22,1.11,3.4,1.3
3,22/06/2024,23:30,USA - MLS,Los Angeles FC,San Jose Earthquakes,1.3,6.25,7.5,1.36,1.62,2.2,1.01,1.2,1.1,3.0,1.36
4,22/06/2024,23:30,USA - MLS,Seattle Sounders,FC Dallas,1.57,4.1,5.75,1.88,1.95,1.8,1.05,1.36,1.25,6.0,1.13
