,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SWITZERLAND - CHALLENGE LEAGUE,23/04/2024,14:30,Bellinzona,Schaffhausen,2.42,3.4,2.7
2,SOUTH AMERICA - COPA SUDAMERICANA,23/04/2024,19:00,Union La Calera (Chi),Cruzeiro (Bra),4.0,3.4,1.91
3,SOUTH AMERICA - COPA LIBERTADORES,23/04/2024,19:00,Estudiantes L.P. (Arg),Gremio (Bra),2.02,3.35,3.9
4,SOUTH AMERICA - COPA LIBERTADORES,23/04/2024,19:00,Caracas (Ven),Rosario Central (Arg),5.0,3.3,1.83
5,SOUTH AMERICA - COPA SUDAMERICANA,23/04/2024,21:00,Deportivo Garcilaso (Per),Cuiaba (Bra),2.05,3.25,3.75
6,SOUTH AMERICA - COPA SUDAMERICANA,23/04/2024,21:00,Sportivo Trinidense (Par),Nacional Potosi (Bol),1.45,4.33,7.0
7,SOUTH AMERICA - COPA SUDAMERICANA,23/04/2024,21:30,Argentinos Jrs (Arg),Corinthians (Bra),2.3,3.2,3.1
8,SOUTH AMERICA - COPA LIBERTADORES,23/04/2024,21:30,Colo Colo (Chi),Alianza Lima (Per),1.6,3.85,6.1
9,SOUTH AMERICA - COPA LIBERTADORES,23/04/2024,23:00,Junior (Col),LDU Quito (Ecu),2.1,3.4,3.6
10,SOUTH AMERICA - COPA SUDAMERICANA,23/04/2024,23:00,Alianza (Col),U. Catolica (Ecu),3.1,3.4,2.25
