Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,14/10/2023,09:00,ITALY - SERIE C,Triestina,Lumezzane,1.57,3.45,6.4,2.32,2.3,1.55,1.1,1.55,1.44,7.1,1.07
2,14/10/2023,11:00,ENGLAND - FA CUP,FC Halifax,Marine,1.31,4.75,8.5,1.5,1.78,1.83,1.02,1.26,1.14,3.4,1.22
3,14/10/2023,11:00,ENGLAND - FA CUP,Chesterfield,Kettering,1.35,4.3,8.5,1.44,1.6,2.07,1.01,1.23,1.1,3.1,1.27
4,14/10/2023,11:00,SPAIN - PRIMERA RFEF,Alcoyano,Linares,1.65,3.4,4.75,2.35,2.38,1.53,1.08,1.5,1.44,8.0,1.06
5,14/10/2023,11:00,ENGLAND - FA CUP,Boreham Wood,Welling,1.38,4.5,6.9,1.65,1.91,1.7,1.01,1.32,1.21,4.75,1.13
6,14/10/2023,11:00,ENGLAND - LEAGUE TWO,Swindon,Newport,1.7,3.75,5.0,1.6,1.57,2.25,1.03,1.29,1.17,4.33,1.2
7,14/10/2023,13:00,SPAIN - PRIMERA RFEF,Cordoba,Merida AD,1.55,3.5,5.5,2.08,2.1,1.67,1.05,1.44,1.33,7.0,1.08
8,14/10/2023,17:00,BRAZIL - SERIE B,Novorizontino,Tombense,1.45,3.85,7.7,2.07,2.25,1.57,1.08,1.5,1.36,6.1,1.09
9,14/10/2023,21:00,USA - USL CHAMPIONSHIP,Rio Grande,Loudoun,1.47,4.55,5.5,1.52,1.7,2.05,1.03,1.28,1.17,3.65,1.24
10,14/10/2023,21:30,USA - MLS,Nashville SC,New England Revolution,1.73,3.8,4.75,1.67,1.67,2.1,1.04,1.3,1.2,5.0,1.17
11,14/10/2023,21:30,USA - USL CHAMPIONSHIP,San Antonio,Indy Eleven,1.65,3.9,4.65,1.75,1.75,1.95,1.05,1.36,1.24,4.65,1.15
12,14/10/2023,23:00,USA - USL CHAMPIONSHIP,Sacramento Republic,Miami FC,1.62,4.05,4.55,1.7,1.72,2.0,1.04,1.34,1.22,4.4,1.17
