,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,AI_LAY_AWAY_RETORNOS,24/10/2023,14:00,SWEDEN - SUPERETTAN,Orebro,Sundsvall,1.62,3.8,5.25,1.62,2.25,1.67,2.1,D,H,A
2,AI_LAY_AWAY_RETORNOS,24/10/2023,15:45,SCOTLAND - PREMIERSHIP,Dundee FC,Ross Co,2.15,3.4,3.4,2.05,1.8,1.8,1.95,A,H,H
3,AI_LAY_AWAY_RETORNOS,24/10/2023,16:00,ENGLAND - CHAMPIONSHIP,West Brom,QPR,1.6,4.2,5.5,1.95,1.9,1.91,1.8,H,D,D
4,AI_LAY_AWAY_RETORNOS,24/10/2023,16:00,ENGLAND - CHAMPIONSHIP,Leicester,Sunderland,1.57,4.33,5.75,1.65,2.2,1.73,2.0,H,D,D
5,AI_LAY_AWAY_RETORNOS,24/10/2023,19:00,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Racing Club,Boca Juniors,2.05,3.3,4.0,2.35,1.57,2.1,1.67,A,D,H
6,AI_LAY_AWAY_RETORNOS,24/10/2023,21:30,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Instituto,Rosario Central,2.1,3.1,3.8,2.5,1.5,2.2,1.62,A,D,H
7,AI_LAY_AWAY_RETORNOS,24/10/2023,21:30,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Argentinos Juniors,Huracan,2.05,3.2,4.0,2.88,1.4,2.38,1.53,A,D,H
