,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,AUSTRALIA - A-LEAGUE,15/03/2024,05:45,Newcastle Jets,Adelaide United,2.2,4.0,2.9,1.36,1.36,3.0
2,ARMENIA - PREMIER LEAGUE,15/03/2024,10:00,Ararat Yerevan,Shirak Gyumri,2.05,3.4,3.05,1.87,1.75,2.03
3,INDONESIA - LIGA 1,15/03/2024,10:30,Barito Putera,PSM Makassar,2.25,3.3,2.95,1.8,1.62,2.05
4,ARMENIA - PREMIER LEAGUE,15/03/2024,12:00,Ararat-Armenia,Noah,2.02,3.55,3.0,1.7,1.64,2.2
5,ROMANIA - LIGA 1,15/03/2024,12:30,U. Cluj,FC Botosani,1.7,3.1,5.5,2.2,2.1,1.67
6,CROATIA - HNL,15/03/2024,13:00,Osijek,Varazdin,1.62,3.6,5.0,1.98,1.91,1.8
7,SLOVAKIA - NIKE LIGA,15/03/2024,13:30,Michalovce,Kosice,2.1,3.25,3.5,2.05,1.8,1.9
8,POLAND - EKSTRAKLASA,15/03/2024,14:00,Zaglebie,Stal Mielec,1.8,3.5,4.5,2.0,1.91,1.91
9,ROMANIA - LIGA 1,15/03/2024,15:30,FC Rapid Bucuresti,Farul Constanta,1.6,3.75,5.0,1.93,1.83,1.83
10,SWITZERLAND - CHALLENGE LEAGUE,15/03/2024,15:30,Schaffhausen,Bellinzona,2.22,3.35,3.0,2.0,1.78,1.93
11,AUSTRIA - BUNDESLIGA,15/03/2024,15:30,SK Rapid,LASK,2.2,3.5,3.2,1.93,1.75,2.0
12,SWITZERLAND - CHALLENGE LEAGUE,15/03/2024,16:15,Sion,Thun,1.65,3.9,4.65,1.75,1.75,1.95
13,POLAND - EKSTRAKLASA,15/03/2024,16:30,Lech Poznan,Warta Poznan,1.73,3.75,4.75,2.3,2.1,1.67
14,POLAND - DIVISION 1,15/03/2024,16:30,Wisla,Legnica,1.65,3.8,4.75,1.7,1.73,2.0
15,SPAIN - LALIGA2,15/03/2024,16:30,Eldense,FC Cartagena SAD,2.0,3.1,4.33,2.7,2.25,1.57
16,ITALY - SERIE C,15/03/2024,16:45,Catania,Audace Cerignola,1.87,3.25,4.25,2.22,2.0,1.72
17,ITALY - SERIE C,15/03/2024,16:45,Entella,Lucchese,2.18,2.92,3.6,2.42,2.05,1.7
18,PORTUGAL - LIGA PORTUGAL,15/03/2024,17:15,Estoril,Portimonense,1.7,3.75,5.0,1.73,1.75,2.0
19,ECUADOR - LIGA PRO,15/03/2024,18:30,Macara,Libertad,1.75,3.5,4.5,2.05,1.91,1.8
20,MOROCCO - BOTOLA PRO,15/03/2024,19:00,Union Touarga,Maghreb Fez,2.2,3.1,3.0,2.25,1.91,1.8
21,COLOMBIA - PRIMERA A,15/03/2024,20:00,Alianza,Dep. Pasto,2.0,3.3,4.0,2.35,2.1,1.67
22,VENEZUELA - LIGA FUTVE,15/03/2024,20:00,Universidad Central,La Guaira,2.25,2.9,3.3,2.37,2.0,1.65
23,BOLIVIA - DIVISION PROFESIONAL,15/03/2024,21:00,Blooming,Royal Pari,2.3,3.4,3.0,1.75,1.57,2.25
24,ARGENTINA - COPA DE LA LIGA PROFESIONAL,15/03/2024,21:00,Newells Old Boys,Platense,1.95,3.2,4.5,2.7,2.38,1.53
25,ARGENTINA - PRIMERA NACIONAL,15/03/2024,21:30,San Martin S.J.,Quilmes,2.15,3.1,3.75,2.7,2.25,1.57
26,MEXICO - LIGA MX,15/03/2024,22:00,Queretaro,Juarez,2.2,3.4,3.3,2.05,1.8,1.95
