,League,Date,Home,Away,Goals_H,Goals_A,Odd_H,Odd_D,Odd_A,Odd_CS_0x1_Lay_x,Lay_0x1,Predictions,Profit,Profit_acu
1,BOLIVIA - DIVISION PROFESIONAL,2024-04-14,Nacional Potosi,Universitario de Vinto,0.0,1.0,1.95,3.1,5.6,11.0,0,1,-10.0,-10.0
2,PERU - LIGA 1,2024-04-14,Alianza Lima,Grau,2.0,0.0,1.4,5.2,10.0,32.0,1,1,0.94,-9.06
3,VENEZUELA - LIGA FUTVE,2024-04-14,Caracas,Universidad Central,2.0,2.0,4.0,3.1,2.26,7.2,1,1,0.94,-8.120000000000001
4,COLOMBIA - PRIMERA A,2024-04-14,Alianza,La Equidad,0.0,3.0,3.95,3.1,2.24,7.8,1,1,0.94,-7.1800000000000015
