,League,Date,Time,Home,Away,Goals_H,Goals_A,Odd_H,Odd_D,Odd_A,Odd_CS_0x1_Lay_x,IDMercado_Correct_Score,Lay_0x1,Predictions,Profit,Profit_acu
1,BULGARIA - PARVA LIGA,2024-05-23,09:15:00,Arda,CSKA 1948 Sofia,0.0,0.0,2.46,2.96,2.48,1000.0,1.2291249,1,1,0.94,0.94
2,BULGARIA - PARVA LIGA,2024-05-23,11:45:00,CSKA 1948 Sofia,Botev Plovdiv,2.0,1.0,1.79,3.9,4.5,21.0,1.2291249,1,1,0.94,1.88
3,ESTONIA - MEISTRILIIGA,2024-05-23,12:00:00,Nomme Utd,Narva,1.0,3.0,3.05,3.65,2.28,32.0,1.2291652,1,1,0.94,2.82
4,FINLAND - YKKONEN,2024-05-23,12:30:00,KuPS Akatemia,OLS Oulu,1.0,3.0,5.9,4.6,1.54,32.0,1.2292325,1,1,0.94,3.76
5,EGYPT - PREMIER LEAGUE,2024-05-23,13:00:00,Zamalek,Future FC,1.0,1.0,2.06,3.4,4.2,15.0,1.2290229,1,1,0.94,4.699999999999999
6,SERBIA - SUPER LIGA,2024-05-23,13:30:00,TSC,Napredak,6.0,0.0,1.28,6.8,9.4,980.0,1.2292155,1,1,0.94,5.639999999999999
7,NETHERLANDS - EREDIVISIE,2024-05-23,13:45:00,Nijmegen,G.A. Eagles,1.0,2.0,1.98,4.0,3.95,21.0,1.2291704,1,1,0.94,6.579999999999998
8,NORWAY - OBOS-LIGAEN,2024-05-23,14:00:00,Lyn,Sandnes,5.0,0.0,1.64,4.5,5.0,980.0,1.2290646,1,1,0.94,7.519999999999998
9,SWEDEN - SUPERETTAN,2024-05-23,14:00:00,Varberg,Oddevold,2.0,1.0,2.96,3.3,2.64,10.5,1.2291359,1,1,0.94,8.459999999999997
10,ITALY - SERIE B,2024-05-23,15:30:00,Ternana,Bari,0.0,0.0,2.84,3.25,2.92,11.0,1.2290354,1,1,0.94,9.399999999999997
11,BOLIVIA - DIVISION PROFESIONAL,2024-05-23,16:00:00,SA Bulo Bulo,Royal Pari,0.0,3.0,1.7,4.2,5.0,980.0,1.2292359,1,1,0.94,10.339999999999996
12,URUGUAY - PRIMERA DIVISION,2024-05-23,20:00:00,Penarol,Progreso,3.0,1.0,1.77,3.95,5.3,19.5,1.2291181,1,1,0.94,11.279999999999996
13,BOLIVIA - DIVISION PROFESIONAL,2024-05-23,21:00:00,The Strongest,Guabira,3.0,2.0,1.29,6.2,10.0,44.0,1.229236,1,1,0.94,12.219999999999995
14,COLOMBIA - PRIMERA A,2024-05-23,22:30:00,Santa Fe,Once Caldas,1.0,0.0,1.84,3.2,5.3,17.0,1.2291167,1,1,0.94,13.159999999999995
