Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,BANGLADESH - PREMIER LEAGUE,22/12/2023,05:30,Abahani Limited,Rahmatgonj MFS,1.35,4.55,6.8
2,BANGLADESH - PREMIER LEAGUE,22/12/2023,05:30,Bangladesh Police,Chittagong Abahani,1.5,3.85,5.4
3,BANGLADESH - PREMIER LEAGUE,22/12/2023,07:30,Bashundara Kings,Brothers U.,1.05,8.75,25.0
4,VIETNAM - V.LEAGUE 1,22/12/2023,09:15,Hanoi FC,Hong Linh Ha Tinh,1.34,4.75,7.6
5,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,22/12/2023,12:00,Al Nassr,Al Ettifaq,1.29,5.25,8.0
6,IVORY COAST - LIGUE 1,22/12/2023,12:30,ASEC Mimosas,Zoman,1.69,3.34,4.96
7,ITALY - SERIE C,22/12/2023,14:30,Torres,Pineto,1.65,3.6,5.0
8,ITALY - SERIE C,22/12/2023,14:30,Picerno,Juve Stabia,2.47,2.82,3.1
9,ITALY - SERIE C,22/12/2023,14:30,Atalanta U23,Arzignano,1.83,3.25,4.45
10,GHANA - PREMIER LEAGUE,22/12/2023,15:00,Great Olympics,Hearts of Oak,2.45,2.82,2.87
11,SCOTLAND - LEAGUE TWO,22/12/2023,16:30,East Fife,Bonnyrigg Rose,1.91,3.4,3.6
12,ITALY - SERIE C,22/12/2023,16:45,L.R. Vicenza,Alessandria,1.47,3.75,7.3
