Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,PHILIPPINES - PFL,27/04/2024,04:00,Loyola,Don Bosco Garelli,1.21,5.8,9.25
2,SOUTH KOREA - K LEAGUE 1,27/04/2024,04:30,Gimcheon Sangmu,Gangwon,2.3,3.0,3.3
3,BANGLADESH - PREMIER LEAGUE,27/04/2024,08:45,Bashundara Kings,Sheikh Jamal,1.1,7.0,18.0
4,FINLAND - YKKONEN,27/04/2024,10:00,Jazz Pori,KuPS Akatemia,1.25,5.0,8.5
5,BULGARIA - PARVA LIGA,27/04/2024,10:15,CSKA Sofia,Levski Sofia,1.85,3.4,4.5
6,ENGLAND - PREMIER LEAGUE,27/04/2024,11:00,Newcastle,Sheffield Utd,1.22,7.0,11.0
7,NIGERIA - NPFL,27/04/2024,11:00,Doma United,Kwara,1.65,3.25,5.8
8,FINLAND - YKKONEN,27/04/2024,11:00,Atlantis,Rovaniemi,1.36,5.0,5.75
9,SERBIA - PRVA LIGA,27/04/2024,11:00,Jedinstvo U.,FK Indjija,2.05,3.0,3.5
10,SERBIA - PRVA LIGA,27/04/2024,11:00,Radnicki S. Mitrovica,Macva,2.22,3.0,3.1
11,AZERBAIJAN - PREMIER LEAGUE,27/04/2024,11:00,Sabah Baku,Sabail,1.91,3.4,3.65
12,SPAIN - LALIGA2,27/04/2024,11:15,Leganes,Zaragoza,2.05,3.1,4.2
13,SPAIN - LALIGA2,27/04/2024,11:15,Burgos CF,Amorebieta,1.8,3.5,4.75
14,SPAIN - PRIMERA RFEF,27/04/2024,11:30,Celta Vigo B,SD Logrones,1.22,4.75,11.0
15,NIGERIA - NPFL,27/04/2024,12:00,Bendel,Heartland,1.42,3.55,9.5
16,GHANA - PREMIER LEAGUE,27/04/2024,12:00,Bechem United,Heart of Lions,2.32,2.72,3.2
17,GHANA - PREMIER LEAGUE,27/04/2024,12:00,Nations FC,Bibiani Gold Stars,1.39,3.85,7.8
18,MONTENEGRO - PRVA CRNOGORSKA LIGA,27/04/2024,13:00,Petrovac,Jezero,2.47,2.82,3.0
19,MOROCCO - BOTOLA PRO,27/04/2024,13:00,Chabab Mohammedia,Union Touarga,1.91,2.9,4.0
20,BAHRAIN - PREMIER LEAGUE,27/04/2024,13:00,Al-Muharraq,Al-Hala,1.42,4.5,6.4
21,SPAIN - PRIMERA RFEF,27/04/2024,13:00,Lugo,Rayo Majadahonda,1.67,3.2,5.0
22,ITALY - SERIE C,27/04/2024,13:30,Monopoli,ACR Messina,1.47,3.7,6.2
23,IVORY COAST - LIGUE 1,27/04/2024,14:45,Stade d'Abidjan,Bouake,1.65,3.35,4.8
24,BRAZIL - BRASILEIRO WOMEN,27/04/2024,15:00,Botafogo RJ W,Atletico-MG W,1.23,5.1,9.75
25,ARGENTINA - PRIMERA NACIONAL,27/04/2024,15:30,Almagro,Almirante Brown,2.15,3.0,4.0
26,MOROCCO - BOTOLA PRO,27/04/2024,17:00,Olympique de Safi,IR Tanger,2.15,2.8,3.4
27,BRAZIL - SERIE B,27/04/2024,17:00,Paysandu PA,Botafogo SP,1.95,3.2,4.05
28,USA - MLS,27/04/2024,20:30,New York City,Charlotte,1.8,3.8,4.2
29,USA - MLS,27/04/2024,20:30,Philadelphia Union,Real Salt Lake,1.8,3.8,4.2
30,USA - USL CHAMPIONSHIP,27/04/2024,20:30,Louisville City,Hartford Athletic,1.53,4.45,4.9
31,ARGENTINA - PRIMERA NACIONAL,27/04/2024,20:40,Def. de Belgrano,Atletico Atlanta,2.15,3.1,4.0
32,VENEZUELA - LIGA FUTVE,27/04/2024,21:00,Metropolitanos,Inter de Barinas,1.6,3.5,5.6
33,PANAMA - LPF,27/04/2024,22:00,Tauro,Alianza,1.8,3.35,4.25
34,MEXICO - LIGA MX,27/04/2024,22:00,U.A.N.L.- Tigres,Club Tijuana,1.5,4.33,6.5
35,USA - USL CHAMPIONSHIP,27/04/2024,23:00,Sacramento Republic,Loudoun,1.35,4.65,8.0
36,USA - MLS,27/04/2024,23:30,Los Angeles FC,Portland Timbers,1.5,4.33,6.5
