,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,NIGERIA - NPFL,13/03/2024,10:00,Plateau United,Gombe,1.28,4.7,10.25
2,NIGERIA - NPFL,13/03/2024,12:00,Niger Tornadoes,Sporting Lagos,1.6,3.4,5.9
3,GHANA - PREMIER LEAGUE,13/03/2024,12:00,Samartex,Nsoatreman,,,
4,NIGERIA - NPFL,13/03/2024,12:00,Remo Stars,Enyimba,1.65,3.35,5.5
5,GHANA - PREMIER LEAGUE,13/03/2024,12:00,Berekum Chelsea,Aduana,,,
6,SERBIA - SUPER LIGA,13/03/2024,15:00,Radnicki Nis,Crvena zvezda,10.0,5.6,1.25
7,MOROCCO - BOTOLA PRO,13/03/2024,19:00,Youssoufia Berrechid,Berkane,6.5,3.6,1.5
8,BRAZIL - COPA DO BRASIL,13/03/2024,19:00,Sport Recife,Murici,1.17,6.0,12.0
9,BRAZIL - COPA DO BRASIL,13/03/2024,21:30,Sampaio Correa,Ferroviario,2.15,2.9,3.25
10,SOUTH AMERICA - COPA LIBERTADORES,13/03/2024,21:30,Colo Colo (Chi),Sportivo Trinidense (Par),1.29,5.25,10.0
