Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,ENGLAND - LEAGUE ONE,29/03/2024,12:00,Lincoln,Leyton Orient,2.0,3.4,4.0
2,ENGLAND - LEAGUE ONE,29/03/2024,12:00,Barnsley,Cambridge Utd,1.55,4.33,6.0
3,BULGARIA - PARVA LIGA,29/03/2024,14:00,Levski Sofia,Slavia Sofia,1.5,4.0,7.0
4,SERBIA - SUPER LIGA,29/03/2024,14:00,IMT Novi Beograd,Zeleznicar Pancevo,2.0,3.35,3.55
5,ARGENTINA - PRIMERA NACIONAL,29/03/2024,15:00,Guillermo Brown,Talleres (R.E),2.38,3.0,3.4
6,ALBANIA - SUPERLIGA,29/03/2024,15:00,KF Tirana,Teuta,1.87,3.35,3.65
7,PORTUGAL - LIGA PORTUGAL,29/03/2024,15:00,Benfica,Chaves,1.11,10.0,21.0
8,NETHERLANDS - EERSTE DIVISIE,29/03/2024,16:00,NAC Breda,Maastricht,1.4,5.5,6.0
9,NETHERLANDS - EERSTE DIVISIE,29/03/2024,16:00,De Graafschap,Jong AZ,1.67,4.2,4.75
10,BRAZIL - BRASILEIRO WOMEN,29/03/2024,19:00,Santos W,Bragantino W,1.7,3.7,3.9
11,PERU - LIGA 1,29/03/2024,21:00,Cusco,Union Comercio,1.45,4.0,8.5
12,MEXICO - LIGA MX,29/03/2024,23:00,Club America,Atl. San Luis,1.4,5.25,7.5
