,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,03/08/2023,05:00,INDONESIA - LIGA 1,PSM Makassar,Persik Kediri,1.46,4.33,6.12,1.68,1.68,1.78,1.99
2,03/08/2023,09:00,INDONESIA - LIGA 1,Persib Bandung,Bali United,2.15,3.8,2.85,1.42,1.42,1.39,2.89
