,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A
1,SOUTH KOREA - K LEAGUE 2,2024-01-03,02:00,Anyang,Seongnam,1.950000047683716,3.5,3.799999952316284
2,ARGENTINA - COPA DE LA LIGA PROFESIONAL,2024-01-03,21:15,Platense,Racing Club,3.75,3.0,2.2
3,ARGENTINA - COPA DE LA LIGA PROFESIONAL,2024-01-03,21:15,Banfield,Dep. Riestra,2.049999952316284,2.900000095367432,4.75
4,ARGENTINA - COPA DE LA LIGA PROFESIONAL,2024-01-03,19:00,Tigre,Central Cordoba,2.3,3.1,3.5
5,PORTUGAL - LIGA PORTUGAL,2024-01-03,17:15,Chaves,Arouca,3.4,3.4,2.15
6,IRELAND - PREMIER DIVISION,2024-01-03,17:00,Shamrock Rovers,Drogheda,1.22,5.5,11.0
7,BELGIUM - JUPILER PRO LEAGUE,2024-01-03,16:45,Westerlo,Charleroi,2.0,3.4,3.5
8,IRELAND - PREMIER DIVISION,2024-01-03,16:45,Sligo Rovers,Shelbourne,2.88,3.1,2.4
9,IRELAND - PREMIER DIVISION,2024-01-03,16:45,Galway,Waterford,1.91,3.3,3.8
10,IRELAND - PREMIER DIVISION,2024-01-03,16:45,Derry City,St. Patricks,1.6,3.6,5.25
11,IRELAND - PREMIER DIVISION,2024-01-03,16:45,Bohemians,Dundalk,1.85,3.4,3.8
12,POLAND - EKSTRAKLASA,2024-01-03,16:30,Ruch Chorzow,Piast Gliwice,3.6,3.0,2.05
13,SPAIN - LALIGA2,2024-01-03,16:30,Gijon,Albacete,2.25,3.25,3.4
14,ROMANIA - LIGA 1,2024-01-03,15:00,Poli Iasi,Din. Bucuresti,2.3,3.1,3.0
15,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,2024-01-03,14:00,Al Hilal,Al Ittihad,1.44,4.75,6.0
16,ESTONIA - MEISTRILIIGA,2024-01-03,14:00,Flora,Nomme Utd,1.42,4.4,5.6
17,EGYPT - PREMIER LEAGUE,2024-01-03,14:00,Ceramica Cleopatra,Arab Contractors,1.78,3.15,4.7
18,POLAND - EKSTRAKLASA,2024-01-03,14:00,Cracovia,Warta Poznan,1.75,3.3,4.5
19,BULGARIA - PARVA LIGA,2024-01-03,12:30,Cherno More,Botev Vratsa,1.25,5.5,13.0
20,EGYPT - PREMIER LEAGUE,2024-01-03,11:00,Pharco,National Bank Egypt,2.95,2.82,2.52
21,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,2024-01-03,11:00,Abha,Al Taee,2.150000095367432,3.599999904632568,3.099999904632568
22,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,2024-01-03,11:00,Al Akhdoud,Al Riyadh,1.57,4.0,5.25
23,CHINA - SUPER LEAGUE,2024-01-03,09:00,Shanghai Port,Wuhan Three Towns,1.549999952316284,4.199999809265137,6.0
24,CHINA - SUPER LEAGUE,2024-01-03,07:00,Shandong Taishan,Changchun Yatai,1.36,5.25,7.5
25,AUSTRALIA - A-LEAGUE,2024-01-03,05:45,Macarthur FC,Melbourne City,2.88,4.2,2.15
26,SOUTH KOREA - K LEAGUE 2,2024-01-03,02:00,Ansan Greeners,Gyeongnam,4.0,3.4,1.91
27,MEXICO - LIGA MX,2024-01-03,22:00,Atl. San Luis,Puebla,1.91,3.6,3.8
28,MEXICO - LIGA MX,2024-01-03,22:00,Queretaro,Santos Laguna,2.6,3.25,2.7
