,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,bZIfo7mD,19/08/2023,05:00,ROMANIA - LIGA 2,Metaloglobus Bucharest,CSM Slatina,ROUND 3,2.46,3.02,2.93,1.53,2.34,1.07,6.7,1.46,2.45,2.49,1.52,4.65,1.14,10.0,1.02,2.03,1.75,,,,,6.0,7.5,13.0,36.0,6.0,5.5,10.0,26.0,9.0,8.5,13.0,51.0,19.0,19.0,34.0,76.0,101.0
2,GQa8pqkS,19/08/2023,05:00,HONG KONG - PREMIER LEAGUE,Kitchee,Tai Po,ROUND 1,1.03,13.0,36.0,1.12,5.5,55.0,41.0,1.04,9.5,1.2,3.84,1.61,2.28,2.23,1.55,2.42,1.53,,,,,46.0,101.0,201.0,201.0,10.0,23.0,101.0,201.0,6.0,10.0,41.0,201.0,5.0,9.0,26.0,176.0,201.0
3,QuBt9AuK,19/08/2023,05:00,ROMANIA - LIGA 2,CSM Alexandria,Selimbar,ROUND 3,2.48,3.22,2.69,1.43,2.62,1.03,8.9,1.33,2.93,2.09,1.72,3.56,1.23,7.0,1.07,1.79,1.98,,,,,8.0,7.5,11.0,23.0,7.5,5.5,8.5,19.0,11.0,8.5,12.0,26.0,23.0,17.0,26.0,61.0,101.0
4,CInD7c4F,19/08/2023,06:00,ROMANIA - LIGA 2,Corvinul Hunedoara,Csikszereda M. Ciuc,ROUND 3,2.44,3.14,2.79,1.46,2.53,1.05,7.7,1.37,2.75,2.23,1.64,3.95,1.19,8.4,1.04,1.87,1.89,,,,,7.0,7.0,12.0,23.0,7.0,5.5,9.0,21.0,11.0,9.0,12.0,31.0,23.0,19.0,31.0,67.0,101.0
5,MD1asa55,19/08/2023,10:00,NORWAY - OBOS-LIGAEN,Hodd,Skeid,ROUND 19,2.1,3.4,3.6,1.36,3.0,1.05,11.0,1.25,3.75,1.9,1.95,3.25,1.33,6.0,1.13,1.73,2.0,2.0,1.8,1.28,3.55,11.0,12.0,19.0,41.0,8.0,6.5,13.0,29.0,10.0,9.0,13.0,34.0,19.0,17.0,26.0,41.0,201.0
6,Uqn3fcFm,19/08/2023,10:00,THAILAND - THAI LEAGUE 1,Chiangrai Utd,Uthai Thani,ROUND 2,1.44,4.55,6.41,1.3,3.32,12.6,1.04,1.17,4.2,1.65,2.23,2.5,1.44,4.4,1.16,1.77,2.0,,,,,11.0,17.0,36.0,91.0,6.0,7.0,17.0,51.0,6.0,6.0,13.0,51.0,8.0,9.0,17.0,61.0,201.0
7,lM8wALrQ,19/08/2023,11:00,ROMANIA - LIGA 1,FC Botosani,Otelul,ROUND 6,2.05,3.2,3.75,1.53,2.38,1.08,8.0,1.44,2.63,2.35,1.57,4.33,1.2,10.0,1.06,2.1,1.67,2.05,1.75,1.28,3.55,7.0,9.0,17.0,41.0,6.0,6.0,13.0,34.0,8.5,9.5,19.0,41.0,19.0,19.0,34.0,67.0,201.0
8,Q33JVgL7,19/08/2023,11:00,ENGLAND - PREMIER LEAGUE,Liverpool,Bournemouth,ROUND 2,1.2,7.0,13.0,1.2,4.33,1.01,23.0,1.1,7.0,1.33,3.4,1.91,1.91,3.0,1.4,1.75,2.0,1.21,4.25,,,26.0,41.0,51.0,151.0,12.0,15.0,34.0,67.0,9.0,10.0,23.0,51.0,9.5,11.0,23.0,51.0,251.0
9,tMl7rnHI,19/08/2023,11:30,PORTUGAL - LIGA PORTUGAL 2,Tondela,Academico Viseu,ROUND 2,2.2,3.25,3.0,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,3.75,1.25,8.0,1.08,1.83,1.83,2.3,1.6,1.4,2.85,9.5,9.0,15.0,34.0,7.5,6.5,11.0,26.0,11.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,251.0
10,Ym9Veet2,19/08/2023,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Abha,Al Raed,ROUND 2,1.91,3.5,4.0,1.33,3.25,1.04,9.0,1.22,4.0,1.75,2.05,2.75,1.4,5.0,1.14,1.67,2.1,1.95,1.85,1.28,3.55,12.0,13.0,21.0,41.0,9.0,7.0,13.0,29.0,10.0,9.0,13.0,34.0,17.0,15.0,23.0,41.0,151.0
