,League,Date,Time,Home,Away,Goals_H,Goals_A,Odd_H,Odd_D,Odd_A,Odd_CS_0x1_Lay_x,IDMercado_Correct_Score,Lay_0x1,Predictions,Profit,Profit_acu
1,UKRAINE - PREMIER LEAGUE,2024-05-24,09:30:00,LNZ Cherkasy,Vorskla Poltava,0.0,0.0,2.26,3.15,3.0,13.5,1.2291281,1,1,0.94,0.94
2,TURKEY - 1. LIG,2024-05-24,10:00:00,Bodrumspor,Corum,0.0,0.0,1.86,3.5,4.3,19.0,1.2291938,1,1,0.94,1.88
3,FINLAND - VEIKKAUSLIIGA,2024-05-24,12:00:00,Haka,AC Oulu,4.0,3.0,2.26,3.7,3.35,16.0,1.2290652,1,1,0.94,2.82
4,CROATIA - HNL,2024-05-24,13:00:00,Gorica,Istra 1961,2.0,0.0,3.0,3.3,2.64,11.0,1.2291353,1,1,0.94,3.76
5,EGYPT - PREMIER LEAGUE,2024-05-24,13:00:00,Enppi,Ceramica Cleopatra,3.0,2.0,3.6,2.8,2.5,7.8,1.2292185,1,1,0.94,4.699999999999999
6,SERBIA - SUPER LIGA,2024-05-24,13:30:00,Javor,Zeleznicar Pancevo,1.0,1.0,3.2,2.4,3.3,1000.0,1.2292163,1,1,0.94,5.639999999999999
7,SERBIA - SUPER LIGA,2024-05-24,13:30:00,Vozdovac,Radnik,3.0,2.0,1.36,5.3,8.4,38.0,1.2292162,1,1,0.94,6.579999999999998
8,SERBIA - SUPER LIGA,2024-05-24,13:30:00,IMT Novi Beograd,Radnicki Nis,3.0,1.0,2.8,3.1,2.8,12.0,1.2292161,1,1,0.94,7.519999999999998
9,TURKEY - SUPER LIG,2024-05-24,14:00:00,Alanyaspor,Antalyaspor,0.0,0.0,1.7,4.8,4.8,36.0,1.2291366,1,1,0.94,8.459999999999997
10,SWEDEN - ALLSVENSKAN,2024-05-24,14:00:00,Elfsborg,Halmstad,2.0,0.0,1.38,5.6,9.2,36.0,1.2291781,1,1,0.94,9.399999999999997
11,SWEDEN - ALLSVENSKAN,2024-05-24,14:00:00,Malmo FF,Kalmar,5.0,0.0,1.23,7.6,15.5,55.0,1.2291782,1,1,0.94,10.339999999999996
12,DENMARK - 1ST DIVISION,2024-05-24,14:00:00,Vendsyssel,Fredericia,0.0,0.0,2.14,4.3,3.15,27.0,1.2290654,1,1,0.94,11.279999999999996
13,DENMARK - 1ST DIVISION,2024-05-24,14:00:00,Hillerod,Horsens,0.0,0.0,1.83,4.0,4.4,20.0,1.2291712,1,1,0.94,12.219999999999995
14,DENMARK - 1ST DIVISION,2024-05-24,14:00:00,Hobro,Sonderjyske,0.0,0.0,4.7,4.2,1.75,13.0,1.2290654,1,1,0.94,13.159999999999995
15,DENMARK - 1ST DIVISION,2024-05-24,14:00:00,Kolding IF,Aalborg,0.0,0.0,2.78,3.95,2.5,14.5,1.2290653,1,1,0.94,14.099999999999994
16,NORWAY - ELITESERIEN,2024-05-24,14:00:00,Bodo/Glimt,KFUM Oslo,2.0,2.0,1.26,7.0,13.0,55.0,1.2292365,1,1,0.94,15.039999999999994
17,URUGUAY - PRIMERA DIVISION,2024-05-24,15:00:00,Racing Montevideo,Boston River,1.0,2.0,2.52,3.15,3.25,11.5,1.229191,1,1,0.94,15.979999999999993
18,FRANCE - LIGUE 2,2024-05-24,15:30:00,St Etienne,Rodez,0.0,0.0,1.83,3.95,4.8,21.0,1.2292366,1,1,0.94,16.919999999999995
19,ITALY - SERIE B,2024-05-24,15:30:00,Venezia,Palermo,0.0,0.0,2.24,3.5,3.65,14.5,1.2291932,1,1,0.94,17.859999999999996
20,IRELAND - PREMIER DIVISION,2024-05-24,15:45:00,Derry City,Sligo Rovers,2.0,2.0,1.43,4.7,9.6,980.0,1.2291327,1,1,0.94,18.799999999999997
21,IRELAND - PREMIER DIVISION,2024-05-24,15:45:00,Galway,Dundalk,2.0,0.0,1.99,3.4,4.6,13.5,1.2290705,1,1,0.94,19.74
22,IRELAND - PREMIER DIVISION,2024-05-24,15:45:00,Bohemians,St. Patricks,2.0,2.0,2.76,3.35,2.86,10.5,1.2291327,1,1,0.94,20.68
23,ITALY - SERIE A,2024-05-24,15:45:00,Genoa,Bologna,0.0,0.0,3.55,3.4,2.32,8.8,1.2291322,1,1,0.94,21.62
