,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,Lay Away New,26/12/2023,09:30,ENGLAND - LEAGUE TWO,Mansfield,Grimsby,1.5,4.33,6.5,1.7,2.1,1.8,1.91,A,H,D
2,Lay Away New,26/12/2023,09:30,ENGLAND - PREMIER LEAGUE,Newcastle,Nottm Forest,1.45,4.75,6.0,1.75,2.05,1.95,1.8,H,H,A
3,Lay Away New,26/12/2023,09:30,BELGIUM - JUPILER PRO LEAGUE,Genk,Antwerp,2.15,3.5,3.3,1.62,2.25,1.53,2.38,D,H,A
4,Lay Away New,26/12/2023,11:30,INDIA - ISL,Punjab,Odisha FC,3.5,3.4,1.95,1.7,2.1,1.62,2.2,H,D,H
5,Lay Away New,26/12/2023,12:00,ENGLAND - LEAGUE TWO,MK Dons,Colchester,1.62,4.0,5.25,1.67,2.15,1.73,2.0,A,H,D
6,Lay Away New,26/12/2023,12:00,ENGLAND - LEAGUE TWO,Newport,Forest Green,2.05,3.6,3.4,1.85,2.0,1.67,2.1,A,H,D
7,Lay Away New,26/12/2023,12:00,ENGLAND - LEAGUE TWO,AFC Wimbledon,Sutton,1.5,4.33,6.5,1.73,2.08,1.83,1.83,A,H,D
8,Lay Away New,26/12/2023,12:00,ENGLAND - CHAMPIONSHIP,West Brom,Norwich,1.95,3.6,3.8,1.98,1.88,1.8,1.91,H,H,A
9,Lay Away New,26/12/2023,12:00,ENGLAND - LEAGUE ONE,Stevenage,Northampton,1.7,3.6,5.5,2.05,1.75,1.95,1.8,D,A,H
10,Lay Away New,26/12/2023,12:00,ENGLAND - LEAGUE ONE,Oxford Utd,Cambridge Utd,1.73,3.8,4.75,2.03,1.83,1.95,1.8,D,A,H
11,Lay Away New,26/12/2023,12:00,ENGLAND - LEAGUE ONE,Peterborough,Reading,1.5,4.5,6.0,1.57,2.35,1.7,2.05,D,A,H
12,Lay Away New,26/12/2023,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ittihad (EGY),Al Nassr,4.5,4.0,1.6,1.44,2.63,1.5,2.5,H,H,D
