,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes
1,29/06/2023,08:35,CHINA - SUPER LEAGUE,Beijing Guoan,Shanghai Port,3.4,3.6,2.15,1.57,1.5
2,29/06/2023,21:00,SOUTH AMERICA - COPA SUDAMERICANA,Penarol (Uru),America MG (Bra),3.1,3.3,2.38,2.0,1.8
