Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,24/02/2024,04:00,HONG KONG - PREMIER LEAGUE,Lee Man Warriors,Tai Po,1.47,4.45,5.3,1.36,1.47,2.35,1.01,1.19,1.09,2.8,1.33
26,24/02/2024,06:00,ROMANIA - LIGA 2,Mioveni,Alexandria,1.5,4.0,6.3,2.02,2.18,1.6,1.07,1.44,1.34,5.9,1.1
27,24/02/2024,06:00,ROMANIA - LIGA 2,Hunedoara,CSM Slatina,1.72,3.35,4.9,2.2,2.05,1.7,1.08,1.5,1.39,6.6,1.08
28,24/02/2024,07:45,BULGARIA - PARVA LIGA,Lok. Plovdiv,Hebar,1.57,4.0,6.0,2.05,2.1,1.67,1.06,1.4,1.33,8.0,1.08
29,24/02/2024,08:00,THAILAND - THAI LEAGUE 1,Buriram,Police Tero,1.18,6.7,11.5,1.32,1.83,1.87,1.01,1.2,1.1,2.67,1.42
30,24/02/2024,08:30,THAILAND - THAI LEAGUE 1,Prachuap,Khonkaen Utd.,1.62,3.85,5.0,1.72,1.75,1.98,1.05,1.37,1.24,4.55,1.16
31,24/02/2024,09:00,THAILAND - THAI LEAGUE 1,Port MTI FC,Trat FC,1.22,6.3,10.0,1.34,1.8,1.91,1.02,1.21,1.1,2.8,1.39
32,24/02/2024,09:15,VIETNAM - V.LEAGUE 1,Hanoi FC,Ho Chi Minh,1.5,4.0,5.9,1.85,1.93,1.7,1.01,1.38,1.27,5.7,1.09
33,24/02/2024,10:30,IRAQ - SUPER LEAGUE,Al Zawraa,Al Karkh,1.67,3.26,5.23,2.35,2.19,1.64,1.06,1.52,1.42,8.3,1.04
34,24/02/2024,10:30,AUSTRIA - 2. LIGA,Grazer AK,Dornbirn,1.28,5.4,8.5,1.5,1.88,1.82,1.03,1.27,1.16,3.5,1.26
37,24/02/2024,11:00,POLAND - EKSTRAKLASA,Jagiellonia,Ruch Chorzow,1.44,4.33,6.5,1.67,1.91,1.91,1.03,1.33,1.2,5.0,1.17
46,24/02/2024,11:00,SLOVAKIA - NIKE LIGA,Zilina,Michalovce,1.5,4.35,5.7,1.6,1.7,2.05,1.03,1.31,1.19,4.05,1.22
36,24/02/2024,11:00,PORTUGAL - LIGA PORTUGAL 2,Santa Clara,Oliveirense,1.36,4.5,7.5,1.93,2.2,1.62,1.05,1.36,1.29,6.5,1.11
38,24/02/2024,11:00,MONTENEGRO - PRVA CRNOGORSKA LIGA,Sutjeska,Arsenal Tivat,1.5,3.85,6.3,2.07,2.25,1.5,1.05,1.45,1.37,8.0,1.05
43,24/02/2024,12:00,SCOTLAND - LEAGUE ONE,Hamilton,Alloa,1.36,4.75,6.5,1.65,1.91,1.8,1.03,1.29,1.2,4.5,1.17
25,24/02/2024,12:00,SPAIN - PRIMERA RFEF,Celta Vigo B,Sestao,1.62,3.4,5.5,2.25,2.2,1.62,1.08,1.5,1.4,7.5,1.07
