,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,MEXICO - LIGA MX,01/12/2023,00:05,Guadalajara Chivas,U.N.A.M.- Pumas,2.2,3.5,3.1,1.9,1.9,1.75,2.0,1.3,1.4177446,0.984,1.1,1.3,0.84,0.45454547,0.2857143,0.32258064,0.5263158,0.5263158,0.20457879,0.2,2.718,1,0.893
2,BULGARIA - PARVA LIGA,01/12/2023,10:00,Arda,Botev Plovdiv,2.05,3.4,3.75,2.15,1.67,1.91,1.8,2.4,0.9165151,0.812,1.2,1.2489996,1.011,0.4878049,0.29411766,0.26666668,0.4651163,0.5988024,0.2815653,1.2,2.166,1,0.5112
3,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,01/12/2023,12:00,Al Feiha,Damac,2.1,3.4,3.1,1.98,1.83,1.83,1.83,1.0,1.0954452,1.428,0.8,1.1661904,0.715,0.47619048,0.29411766,0.32258064,0.5050505,0.5464481,0.21951881,0.2,2.262,1,0.6679
4,PORTUGAL - LIGA PORTUGAL 2,01/12/2023,15:00,Academico Viseu,Os Belenenses,1.8,3.6,4.33,1.98,1.88,1.8,1.91,1.5,1.2845232,0.582,1.1666666,1.3437096,0.935,0.5555556,0.2777778,0.23094688,0.5050505,0.5319149,0.40383705,0.333,2.628,1,0.7026
5,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,01/12/2023,15:00,Al Hilal,Al Nassr,2.1,3.6,3.0,1.44,2.63,1.4,2.75,2.6666667,0.74535596,0.829,2.5,1.118034,0.69,0.47619048,0.2777778,0.33333334,0.6944444,0.38022813,0.23059225,0.167,1.863,1,0.5039
6,NETHERLANDS - EERSTE DIVISIE,01/12/2023,16:00,Groningen,Venlo,1.5,4.5,6.0,1.53,2.4,1.67,2.1,0.9,1.1357816,1.605,1.2,0.9797959,0.706,0.6666667,0.22222222,0.16666667,0.6535948,0.41666666,0.6359498,-0.3,2.116,1,0.8197
7,NETHERLANDS - EERSTE DIVISIE,01/12/2023,16:00,Den Bosch,Jong Ajax,2.15,4.0,3.0,1.48,2.6,1.44,2.63,0.8,1.1661904,0.903,0.3,0.9,0.81,0.4651163,0.25,0.33333334,0.6756757,0.3846154,0.25340334,0.5,2.066,1,0.6197
8,NETHERLANDS - EERSTE DIVISIE,01/12/2023,16:00,Cambuur,Eindhoven FC,1.55,4.33,5.5,1.53,2.4,1.67,2.1,1.6,1.4282857,0.933,1.8,1.2489996,0.469,0.6451613,0.23094688,0.18181819,0.6535948,0.41666666,0.5893012,-0.2,2.677,1,0.7642
9,NETHERLANDS - EERSTE DIVISIE,01/12/2023,16:00,Jong Utrecht,Jong PSV,2.15,3.6,3.2,1.6,2.3,1.5,2.5,1.9,1.1357816,0.863,0.9,1.3747727,1.263,0.4651163,0.2777778,0.3125,0.625,0.4347826,0.23130406,1.0,2.511,1,0.7624
10,BOLIVIA - DIVISION PROFESIONAL,01/12/2023,16:00,Universitario de Vinto,Guabira,1.91,3.5,3.6,1.98,1.83,1.83,1.83,1.0,1.0954452,1.092,0.0,0.0,2.049,0.5235602,0.2857143,0.2777778,0.5050505,0.5464481,0.31471807,1.0,1.095,1,0.6
11,BELGIUM - CHALLENGER PRO LEAGUE,01/12/2023,16:00,Lommel SK,Genk U23,1.53,4.2,5.0,1.53,2.4,1.57,2.25,2.5,1.024695,0.738,1.2,1.2489996,0.927,0.6535948,0.23809524,0.2,0.6535948,0.41666666,0.56454766,1.3,2.274,1,0.5225
12,NETHERLANDS - EERSTE DIVISIE,01/12/2023,16:00,Willem II,FC Emmen,2.2,3.6,3.1,1.75,2.05,1.62,2.2,2.5,1.024695,0.673,1.6,1.2,0.81,0.45454547,0.2777778,0.32258064,0.5714286,0.4878049,0.21338186,0.9,2.225,1,0.637
13,ENGLAND - CHAMPIONSHIP,01/12/2023,17:00,Preston,QPR,2.1,3.4,3.6,2.25,1.62,2.0,1.73,1.7,1.3453624,0.623,1.1,1.3,1.002,0.47619048,0.29411766,0.2777778,0.44444445,0.61728394,0.2574094,0.6,2.645,1,0.6
14,CHILE - PRIMERA DIVISION,01/12/2023,20:00,Coquimbo,Union La Calera,2.2,3.4,3.3,1.88,1.98,1.67,2.1,1.9,1.3747727,0.734,1.6,1.2,0.592,0.45454547,0.29411766,0.3030303,0.5319149,0.5050505,0.20999172,0.3,2.575,1,0.768
