,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,04/08/2023,05:00,INDONESIA - LIGA 1,Persebaya,Persikabo 1973,1.76,3.74,4.11,1.76,1.67,2.15
2,04/08/2023,08:35,CHINA - SUPER LEAGUE,Beijing Guoan,Henan Songshan Longmen,1.5,4.2,6.5,1.7,1.8,1.95
3,04/08/2023,08:35,CHINA - SUPER LEAGUE,Shandong Taishan,Meizhou Hakka,1.22,6.5,13.0,1.53,2.1,1.67
4,04/08/2023,08:35,CHINA - SUPER LEAGUE,Zhejiang Professional,Wuhan Three Towns,3.3,3.8,2.0,1.57,1.53,2.38
5,04/08/2023,09:00,INDONESIA - LIGA 1,Borneo,RANS Nusantara,1.36,4.85,7.27,1.52,1.77,2.0
6,04/08/2023,12:30,FINLAND - YKKONEN,HIFK,KaPa,1.55,4.2,4.5,1.44,1.53,2.38
7,04/08/2023,15:00,CROATIA - HNL,Lok. Zagreb,Varazdin,1.95,3.5,3.5,1.85,1.73,2.0
8,04/08/2023,15:30,ROMANIA - LIGA 1,Univ. Craiova,FC Hermannstadt,1.65,3.6,5.0,2.3,2.25,1.57
9,04/08/2023,16:00,BOLIVIA - DIVISION PROFESIONAL,Universitario de Vinto,Libertad Gran Mamore,1.44,4.33,8.0,1.85,2.1,1.67
10,04/08/2023,20:00,BOLIVIA - DIVISION PROFESIONAL,Bolivar,Blooming,1.25,6.0,13.0,1.48,2.0,1.73
11,04/08/2023,20:00,PARAGUAY - PRIMERA DIVISION,Libertad Asuncion,General Caballero JLM,1.36,4.5,6.5,1.67,1.83,1.83
12,04/08/2023,20:15,COLOMBIA - PRIMERA A,Huila,Petrolera,2.25,3.3,3.25,2.05,1.8,1.91
13,04/08/2023,21:00,ECUADOR - LIGA PRO,Libertad,Emelec,2.63,3.2,2.45,1.95,1.73,2.0
14,04/08/2023,21:30,BRAZIL - SERIE B,Mirassol,Sampaio Correa,1.57,3.88,6.25,2.23,2.25,1.61
15,04/08/2023,22:30,COLOMBIA - PRIMERA A,Aguilas,Once Caldas,1.85,3.6,4.33,2.0,1.83,1.83
