,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,25/02/2024,04:00,Kitchee,HK U23,1.01,14.5,29.0
2,INDIA - I-LEAGUE,25/02/2024,08:00,Sreenidi Deccan,Namdhari,1.22,5.8,10.25
3,BULGARIA - PARVA LIGA,25/02/2024,09:30,Lok. Sofia,Krumovgrad,2.15,3.2,3.6
4,NIGERIA - NPFL,25/02/2024,11:00,Gombe,Sporting Lagos,1.7,3.2,5.4
5,NIGERIA - NPFL,25/02/2024,11:00,Plateau United,Shooting,1.28,4.45,12.0
6,AZERBAIJAN - PREMIER LEAGUE,25/02/2024,12:00,Qarabag,Sumqayit,1.28,5.1,9.0
7,IVORY COAST - LIGUE 1,25/02/2024,12:30,Stade d'Abidjan,SOL,1.78,3.25,4.2
8,MOROCCO - BOTOLA PRO,25/02/2024,14:00,FAR Rabat,Union Touarga,1.29,4.0,11.0
9,MEXICO - LIGA MX,25/02/2024,15:00,Toluca,Club Tijuana,1.62,4.2,5.0
10,JAMAICA - PREMIER LEAGUE,25/02/2024,17:30,Mount Pleasant,Montego Bay,1.55,3.75,5.4
11,COSTA RICA - PRIMERA DIVISION,25/02/2024,18:00,Liberia,Sporting San Jose,1.75,3.6,3.75
12,BOLIVIA - DIVISION PROFESIONAL,25/02/2024,20:30,Blooming,Oriente Petrolero,2.0,3.5,3.2
