Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,28/07/2024,08:30,BELGIUM - JUPILER PRO LEAGUE,Genk,St. Liege,1.55,3.75,5.75,1.57,1.62,2.2,1.03,1.29,1.17,4.0,1.22
15,28/07/2024,09:30,POLAND - DIVISION 1,Wisla,Polonia Warszawa,1.6,4.0,4.75,1.53,1.57,2.25,1.03,1.25,1.14,4.0,1.22
14,28/07/2024,10:00,SWEDEN - SUPERETTAN,Landskrona,Gefle,1.48,4.0,5.75,1.6,1.7,2.05,1.03,1.29,1.18,4.33,1.2
13,28/07/2024,11:30,SWITZERLAND - SUPER LEAGUE,Zurich,Winterthur,1.67,3.9,5.0,1.67,1.67,2.1,1.03,1.3,1.2,5.0,1.17
12,28/07/2024,12:30,FINLAND - VEIKKAUSLIIGA,VPS,Mariehamn,1.53,4.0,5.25,1.9,1.95,1.8,1.04,1.36,1.29,6.5,1.11
11,28/07/2024,12:30,POLAND - EKSTRAKLASA,Piast Gliwice,Slask Wroclaw,1.7,3.3,5.0,2.5,2.25,1.57,1.1,1.53,1.5,11.0,1.05
10,28/07/2024,13:00,ROMANIA - LIGA 1,Farul Constanta,FC Botosani,1.57,3.8,5.5,1.83,1.83,1.83,1.05,1.36,1.25,6.0,1.13
16,28/07/2024,14:00,COSTA RICA - PRIMERA DIVISION,Cartagines,AD Santos,1.57,3.6,5.25,1.7,1.73,2.0,1.04,1.33,1.2,5.0,1.17
9,28/07/2024,15:15,BULGARIA - PARVA LIGA,Botev Plovdiv,Lok. Plovdiv,1.7,3.6,5.0,2.05,1.91,1.8,1.06,1.4,1.3,7.0,1.1
7,28/07/2024,16:00,BOLIVIA - DIVISION PROFESIONAL,Guabira,GV San Jose,1.6,3.8,5.5,1.8,1.8,1.91,1.04,1.33,1.22,5.5,1.14
6,28/07/2024,16:00,BRAZIL - SERIE A,Flamengo RJ,Atletico GO,1.29,5.25,11.0,1.7,2.1,1.67,1.04,1.3,1.22,5.0,1.17
5,28/07/2024,17:00,COLOMBIA - PRIMERA A,Bucaramanga,Jaguares de Cordoba,1.73,3.5,5.0,2.6,2.5,1.5,1.1,1.57,1.53,13.0,1.04
4,28/07/2024,17:15,ARGENTINA - LIGA PROFESIONAL,Racing Club,Union de Santa Fe,1.7,3.4,6.0,2.4,2.38,1.53,1.1,1.53,1.44,11.0,1.05
3,28/07/2024,18:30,ARGENTINA - LIGA PROFESIONAL,River Plate,Sarmiento Junin,1.3,5.0,11.0,1.8,2.1,1.67,1.04,1.33,1.22,5.5,1.14
2,28/07/2024,19:00,BRAZIL - SERIE A,Atletico-MG,Corinthians,1.73,3.5,5.25,2.1,2.0,1.75,1.07,1.44,1.36,8.0,1.08
8,28/07/2024,19:30,PARAGUAY - PRIMERA DIVISION,Libertad Asuncion,Nacional Asuncion,1.65,4.0,5.0,1.88,1.83,1.83,1.05,1.36,1.29,6.5,1.11
17,28/07/2024,20:30,BOLIVIA - DIVISION PROFESIONAL,Always Ready,Universitario de Vinto,1.48,4.2,6.5,1.8,1.91,1.8,1.04,1.36,1.25,6.0,1.13
