Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,ROMANIA - LIGA 2,07/10/2023,05:00,Alexandria,Ceahlaul,2.95,3.2,2.35
2,SOUTH KOREA - K LEAGUE 2,07/10/2023,06:30,Gimpo FC,Anyang,2.7,3.2,2.63
3,THAILAND - THAI LEAGUE 1,07/10/2023,08:00,Sukhothai,Pathum United,3.35,3.7,1.95
4,ESTONIA - MEISTRILIIGA,07/10/2023,08:30,Tallinna Kalev,Levadia,7.0,4.65,1.33
5,FINLAND - YKKONEN,07/10/2023,10:00,Mikkeli,TPS,2.88,3.6,2.15
6,MONTENEGRO - PRVA CRNOGORSKA LIGA,07/10/2023,10:00,Arsenal Tivat,Sutjeska,4.0,3.3,1.85
7,BELGIUM - CHALLENGER PRO LEAGUE,07/10/2023,11:00,Genk U23,Beerschot VA,3.0,3.8,1.95
8,ENGLAND - LEAGUE TWO,07/10/2023,11:00,Tranmere,Grimsby,2.7,3.3,2.6
9,BULGARIA - PARVA LIGA,07/10/2023,11:45,Slavia Sofia,Arda,4.0,3.5,1.91
10,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,07/10/2023,12:00,Al Akhdoud,Al Hilal,15.0,7.0,1.13
11,SAN MARINO - CAMPIONATO SAMMARINESE,07/10/2023,13:15,Pennarossa,Juvenes/Dogana,4.75,3.75,1.57
12,MONTENEGRO - PRVA CRNOGORSKA LIGA,07/10/2023,14:00,Petrovac,Decic,3.15,2.92,2.32
13,POLAND - EKSTRAKLASA,07/10/2023,15:00,Ruch Chorzow,Pogon Szczecin,3.4,3.6,2.0
14,MOROCCO - BOTOLA PRO,07/10/2023,16:30,IR Tanger,Wydad,4.75,3.3,1.65
15,PARAGUAY - PRIMERA DIVISION,07/10/2023,18:00,Guairena,Libertad Asuncion,5.5,4.2,1.5
