,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,CHINA - SUPER LEAGUE,20/10/2023,04:30,Dalian Pro,Wuhan Three Towns,3.0,3.75,2.2,1.62,2.25,1.53,2.38,1.1,1.0440307,0.984,1.3,1.1874342,0.687,0.33333334,0.26666668,0.45454547,0.61728394,0.44444445,0.2212457,-0.2,2.231,1,0.5659
2,AUSTRALIA - A-LEAGUE,20/10/2023,05:45,Adelaide United,Central Coast Mariners,2.45,3.75,2.7,1.53,2.4,1.44,2.63,1.8,1.2489996,0.853,1.6,1.4282857,0.643,0.40816328,0.26666668,0.37037036,0.6535948,0.41666666,0.17169423,0.2,2.677,1,0.6
3,SOUTH KOREA - K LEAGUE 1,20/10/2023,07:30,Pohang,Incheon,1.91,3.6,3.8,2.03,1.83,1.83,1.83,2.5,1.024695,0.475,2.3,1.1,0.556,0.5235602,0.2777778,0.2631579,0.49261084,0.5464481,0.336661,0.2,2.125,1,0.5127
4,CHINA - SUPER LEAGUE,20/10/2023,08:35,Shanghai Port,Beijing Guoan,1.44,4.75,6.5,1.48,2.6,1.67,2.1,2.0,1.264911,0.862,1.5,1.2845232,0.921,0.6944444,0.21052632,0.15384616,0.6756757,0.3846154,0.687334,0.5,2.549,1,0.9323
5,BULGARIA - PARVA LIGA,20/10/2023,10:45,Krumovgrad,Etar,2.05,3.5,3.6,2.1,1.7,1.91,1.8,1.6666666,1.3743685,0.656,0.5,1.118034,1.058,0.4878049,0.2857143,0.2777778,0.47619048,0.5882353,0.27734625,1.167,2.492,1,0.5103
6,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,20/10/2023,12:00,Al Taawon,Al Ittihad,5.0,4.2,1.55,1.57,2.35,1.67,2.1,3.0,0.0,0.709,1.4,1.356466,0.681,0.2,0.23809524,0.6451613,0.6369427,0.42553192,0.557965,1.6,1.356,1,0.553
7,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,20/10/2023,12:00,Al Akhdoud,Al Feiha,2.63,3.1,2.55,2.03,1.78,1.8,1.91,0.0,0.0,1.732,1.0,1.0954452,0.79,0.38022813,0.32258064,0.39215687,0.49261084,0.56179774,0.08323488,-1.0,1.095,1,0.7148
8,POLAND - DIVISION 1,20/10/2023,13:00,Chrobry Glogow,Motor Lublin,3.75,3.4,1.91,1.95,1.9,1.8,1.91,1.2,1.2489996,1.133,2.25,1.299038,0.798,0.26666668,0.29411766,0.5235602,0.51282054,0.5263158,0.31865436,-1.05,2.548,1,0.5113
9,CROATIA - HNL,20/10/2023,13:00,Rudes,Slaven Belupo,2.3,3.1,2.9,1.95,1.9,1.67,2.1,1.0,1.3416408,1.119,0.4,0.48989794,1.116,0.4347826,0.32258064,0.3448276,0.51282054,0.5263158,0.13202809,0.6,1.832,1,0.5016
10,NETHERLANDS - EERSTE DIVISIE,20/10/2023,15:00,Den Bosch,Venlo,2.63,3.75,2.45,1.57,2.35,1.5,2.5,1.1,1.3,0.931,1.1,1.0440307,0.775,0.38022813,0.26666668,0.40816328,0.6369427,0.42553192,0.17399022,0.0,2.344,1,0.6366
