,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,INDONESIA - LIGA 1,18/08/2023,05:00,Persebaya,PSM Makassar,2.72,3.55,2.32,1.65,2.21,1.52,2.46,1.5,1.2845232,0.779,1.9,1.1357816,0.77,0.36764705,0.28169015,0.43103448,0.6060606,0.4524887,0.16994487,-0.4,2.42,1,0.5035
2,SOUTH KOREA - K LEAGUE 1,18/08/2023,07:30,Incheon,Gwangju FC,2.25,3.0,3.0,2.25,1.62,1.91,1.8,1.9,1.3747727,0.803,1.6,0.9165151,0.661,0.44444445,0.33333334,0.33333334,0.44444445,0.61728394,0.14142136,0.3,2.291,1,0.6699
3,SOUTH KOREA - K LEAGUE 1,18/08/2023,07:30,Suwon Bluewings,Jeju Utd,3.0,3.3,2.1,1.93,1.93,1.73,2.0,1.3,1.1874342,1.068,0.0,4.2014932e-08,0.76,0.33333334,0.3030303,0.47619048,0.5181347,0.5181347,0.20360273,1.3,1.187,1,0.5182
4,INDONESIA - LIGA 1,18/08/2023,09:00,Persita,PSS Sleman,1.75,3.72,4.2,1.8,1.99,1.71,2.08,2.0,1.264911,1.282,0.4,0.9165151,0.84,0.5714286,0.26881722,0.23809524,0.5555556,0.5025126,0.41846895,1.6,2.181,1,0.5014
5,INDONESIA - LIGA 1,18/08/2023,09:00,FC Bhayangkara,Borneo,2.75,3.5,2.32,1.69,2.14,1.54,2.41,2.0,1.264911,0.695,0.8,0.8717798,0.849,0.36363637,0.2857143,0.43103448,0.591716,0.46728972,0.16488163,1.2,2.137,1,0.5057
6,ARMENIA - PREMIER LEAGUE,18/08/2023,12:00,Noah,Shirak Gyumri,2.06,3.25,3.49,2.19,1.66,1.9,1.86,1.9,1.3747727,0.725,1.3,1.4177446,1.002,0.4854369,0.30769232,0.28653294,0.456621,0.60240966,0.24784471,0.6,2.793,1,0.5181
7,FINLAND - VEIKKAUSLIIGA,18/08/2023,12:00,Lahti,VPS,3.3,3.3,2.0,1.93,1.93,1.75,2.0,1.1,1.3,0.971,1.3,1.4177446,0.796,0.3030303,0.3030303,0.5,0.5181347,0.5181347,0.25184625,-0.2,2.718,1,0.7134
8,ROMANIA - LIGA 1,18/08/2023,12:30,Petrolul,U Craiova 1948,2.3,3.25,3.0,2.08,1.73,1.83,1.83,1.3,1.4177446,1.052,1.0,1.0954452,1.668,0.4347826,0.30769232,0.33333334,0.48076922,0.5780347,0.1530244,0.3,2.513,1,0.5276
9,SLOVENIA - PRVA LIGA,18/08/2023,12:30,Bravo,Koper,3.24,3.34,2.23,2.11,1.73,1.83,1.93,0.9,1.1357816,1.286,1.3,1.1874342,0.603,0.30864197,0.2994012,0.44843048,0.47393364,0.5780347,0.19360481,-0.4,2.323,1,0.8068
10,FINLAND - VEIKKAUSLIIGA,18/08/2023,12:30,Mariehamn,Honka,3.5,3.3,1.95,2.05,1.75,1.91,1.91,0.7,0.9,0.922,1.0,1.0954452,1.235,0.2857143,0.3030303,0.51282054,0.4878049,0.5714286,0.28110868,-0.3,1.995,1,0.758
