Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,04/08/2023,08:35,CHINA - SUPER LEAGUE,Zhejiang Professional,Wuhan Three Towns,3.3,3.8,2.0,1.57,1.57,1.53,2.38
2,04/08/2023,12:00,UZBEKISTAN - SUPER LEAGUE,Metallurg Bekabad,Navbahor Namangan,5.68,3.55,1.63,2.4,2.4,2.28,1.6
3,04/08/2023,13:10,AUSTRIA - 2. LIGA,Dornbirn,Grazer AK,4.11,4.05,1.77,1.59,1.59,1.56,2.36
4,04/08/2023,13:10,AUSTRIA - 2. LIGA,Kapfenberg,Floridsdorfer AC,3.65,3.66,1.97,1.83,1.83,1.68,2.13
5,04/08/2023,14:00,NORWAY - OBOS-LIGAEN,Skeid,Fredrikstad,4.0,3.5,1.95,1.88,1.88,1.73,2.0
