Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,04/02/2024,05:00,INDONESIA - LIGA 1,PSM Makassar,Persita,1.6,3.75,5.1,1.8,1.78,1.83,1.01,1.34,1.25,5.3,1.11
16,04/02/2024,08:00,SPAIN - PRIMERA RFEF,Barcelona B,SD Logrones,1.4,3.8,6.5,2.08,2.25,1.57,1.06,1.44,1.33,7.0,1.08
15,04/02/2024,08:00,SPAIN - PRIMERA RFEF,UD Ibiza,Granada CF B,1.25,4.75,12.0,2.0,2.75,1.4,1.05,1.4,1.3,6.5,1.1
14,04/02/2024,10:00,ITALY - SERIE C,Triestina,Pro Patria,1.57,3.6,6.0,2.15,2.15,1.62,1.08,1.5,1.39,6.4,1.08
13,04/02/2024,10:00,ITALY - SERIE C,Benevento,Brindisi,1.31,4.85,9.0,1.78,2.25,1.57,1.05,1.37,1.25,4.85,1.15
12,04/02/2024,10:30,NETHERLANDS - EREDIVISIE,Utrecht,FC Volendam,1.33,5.0,10.0,1.57,1.95,1.8,1.03,1.29,1.17,4.0,1.22
10,04/02/2024,11:00,ENGLAND - PREMIER LEAGUE,Chelsea,Wolves,1.57,4.2,5.5,1.67,1.75,2.0,1.04,1.3,1.2,5.0,1.17
11,04/02/2024,11:00,CROATIA - HNL,Rijeka,Istra 1961,1.36,5.5,6.5,1.62,1.91,1.8,1.03,1.29,1.18,4.5,1.18
8,04/02/2024,11:00,INDIA - ISL,Mumbai City,Jamshedpur,1.45,4.0,5.5,1.57,1.73,2.0,1.03,1.29,1.17,4.33,1.2
9,04/02/2024,11:00,ENGLAND - PREMIER LEAGUE,Manchester Utd,West Ham,1.62,4.2,5.0,1.62,1.67,2.1,1.03,1.3,1.2,4.5,1.2
7,04/02/2024,12:15,ITALY - SERIE C,Carrarese,Olbia,1.42,4.05,8.0,2.07,2.4,1.5,1.08,1.47,1.37,6.3,1.09
6,04/02/2024,12:30,SWITZERLAND - SUPER LEAGUE,Servette,Lausanne Ouchy,1.44,4.5,7.0,1.6,1.73,2.0,1.03,1.29,1.18,4.33,1.2
5,04/02/2024,13:15,CROATIA - HNL,D. Zagreb,Gorica,1.25,6.0,11.0,1.75,2.5,1.5,1.04,1.33,1.22,5.5,1.14
4,04/02/2024,15:00,SPAIN - PRIMERA RFEF,Dep. La Coruna,Fuenlabrada,1.4,4.2,6.0,2.25,2.63,1.44,1.06,1.5,1.4,8.0,1.06
3,04/02/2024,15:00,PORTUGAL - LIGA PORTUGAL,Benfica,Gil Vicente,1.17,7.5,17.0,1.4,2.05,1.7,1.02,1.22,1.11,3.4,1.3
2,04/02/2024,17:30,JAMAICA - PREMIER LEAGUE,Mount Pleasant,Molynes,1.45,4.0,6.6,1.85,1.98,1.65,1.02,1.38,1.27,6.0,1.09
17,04/02/2024,19:00,ARGENTINA - PRIMERA NACIONAL,San Martin S.J.,Alvarado,1.65,3.4,5.0,2.4,2.38,1.53,1.08,1.53,1.44,11.0,1.05
18,04/02/2024,20:45,PARAGUAY - PRIMERA DIVISION,Libertad Asuncion,2 de Mayo,1.25,5.0,9.0,1.67,2.2,1.62,1.04,1.3,1.2,5.0,1.17
