,League,Date,Time,Home,Away,Goals_H,Goals_A,Odd_H,Odd_D,Odd_A,Odd_CS_0x1_Lay_x,IDMercado_Correct_Score,Lay_0x1,Predictions,Profit,Profit_acu
1,JAPAN - J1 LEAGUE,2024-06-15,04:00:00,Yokohama F. Marinos,Machida,1.0,3.0,2.76,3.8,2.62,15.0,1.2295939,1,1,0.94,0.94
2,SOUTH KOREA - K LEAGUE 1,2024-06-15,06:00:00,Pohang,Daejeon,1.0,1.0,1.77,3.8,5.1,19.0,1.2297404,1,1,0.94,1.88
3,JAPAN - J1 LEAGUE,2024-06-15,06:30:00,Sanfrecce Hiroshima,Verdy,4.0,1.0,1.6,4.4,6.2,23.0,1.2295938,1,1,0.94,2.82
4,SOUTH KOREA - K LEAGUE 2,2024-06-15,07:00:00,Gyeongnam,Suwon Bluewings,0.0,0.0,4.4,3.5,1.93,9.2,1.2297401,1,1,0.94,3.76
5,SOUTH KOREA - K LEAGUE 2,2024-06-15,07:00:00,Jeonnam,Bucheon FC 1995,1.0,1.0,2.26,3.15,3.5,14.0,1.2297401,1,1,0.94,4.699999999999999
6,SOUTH KOREA - K LEAGUE 1,2024-06-15,07:00:00,Gwangju FC,Gimcheon Sangmu,2.0,0.0,2.2,3.55,3.45,15.0,1.2297403,1,1,0.94,5.639999999999999
7,JAPAN - J2 LEAGUE,2024-06-15,07:00:00,Kagoshima Utd,Montedio Yamagata,2.0,1.0,2.78,3.4,2.82,11.0,1.229753,1,1,0.94,6.579999999999998
8,JAPAN - J1 LEAGUE,2024-06-15,07:00:00,Cerezo Osaka,Urawa Reds,2.0,1.0,2.94,3.45,2.62,11.0,1.2295936,1,1,0.94,7.519999999999998
9,JAPAN - J1 LEAGUE,2024-06-15,07:00:00,Kyoto,Hokkaido Consadole Sapporo,2.0,0.0,2.48,3.55,3.0,14.5,1.2295936,1,1,0.94,8.459999999999997
10,CHINA - SUPER LEAGUE,2024-06-15,08:35:00,Zhejiang Professional,Changchun Yatai,3.0,1.0,1.49,5.2,6.2,48.0,1.2296177,1,1,0.94,9.399999999999997
11,CHINA - SUPER LEAGUE,2024-06-15,09:00:00,Henan Songshan Longmen,Beijing Guoan,2.0,1.0,2.84,3.6,2.54,14.5,1.2296176,1,1,0.94,10.339999999999996
12,SWEDEN - SUPERETTAN,2024-06-15,10:00:00,Skovde AIK,Degerfors,0.0,2.0,4.7,3.7,1.85,8.2,1.2297447,1,1,0.94,11.279999999999996
13,SWEDEN - SUPERETTAN,2024-06-15,10:00:00,Gefle,Landskrona,1.0,2.0,3.4,3.7,2.18,11.5,1.2297448,1,1,0.94,12.219999999999995
14,URUGUAY - PRIMERA DIVISION,2024-06-15,15:00:00,River Plate,Maldonado,1.0,1.0,2.52,3.15,3.15,11.5,1.2298043,1,1,0.94,13.159999999999995
15,BRAZIL - SERIE B,2024-06-15,15:30:00,America MG,CRB,2.0,1.0,1.65,3.95,6.8,980.0,1.2297958,1,1,0.94,14.099999999999994
16,ARGENTINA - LIGA PROFESIONAL,2024-06-15,16:00:00,Union de Santa Fe,San Lorenzo,2.0,1.0,2.38,2.9,4.1,8.8,1.2296056,1,1,0.94,15.039999999999994
17,BRAZIL - SERIE B,2024-06-15,17:00:00,Ponte Preta,Novorizontino,1.0,0.0,3.0,2.98,2.88,8.6,1.2297959,1,1,0.94,15.979999999999993
18,ARGENTINA - LIGA PROFESIONAL,2024-06-15,18:00:00,Huracan,Ind. Rivadavia,1.0,0.0,1.67,3.7,7.2,17.5,1.2296056,1,1,0.94,16.919999999999995
19,BRAZIL - SERIE B,2024-06-15,18:00:00,Ituano,Paysandu PA,3.0,5.0,3.1,3.05,2.76,9.6,1.2297957,1,1,0.94,17.859999999999996
20,BRAZIL - SERIE A,2024-06-15,18:30:00,Bragantino,Juventude,2.0,1.0,1.65,4.1,6.4,18.5,1.2297735,1,1,0.94,18.799999999999997
21,URUGUAY - PRIMERA DIVISION,2024-06-15,20:00:00,Defensor Sp.,Progreso,1.0,1.0,1.7,3.9,5.2,980.0,1.2298044,1,1,0.94,19.74
22,ARGENTINA - LIGA PROFESIONAL,2024-06-15,20:30:00,Atl. Tucuman,Defensa y Justicia,1.0,1.0,2.0,3.35,4.6,13.0,1.229606,1,1,0.94,20.68
23,BRAZIL - SERIE A,2024-06-15,21:00:00,Fluminense,Atletico GO,1.0,2.0,1.93,3.65,4.7,14.5,1.229774,1,1,0.94,21.62
24,COLOMBIA - PRIMERA A,2024-06-15,21:30:00,Santa Fe,Bucaramanga,3.0,3.0,1.66,3.45,6.8,17.5,1.2297894,1,1,0.94,22.560000000000002
