Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,INDONESIA - LIGA 1,04/02/2024,05:00,PSM Makassar,Persita,1.6,3.75,5.1
2,SPAIN - PRIMERA RFEF,04/02/2024,08:00,Recreativo Huelva,Melilla,1.73,3.1,4.75
3,ALBANIA - SUPERLIGA,04/02/2024,09:30,Erzeni,Dinamo Tirana,2.37,3.05,2.75
4,ITALY - SERIE C,04/02/2024,10:00,Triestina,Pro Patria,1.57,3.6,6.0
5,MALTA - PREMIER LEAGUE,04/02/2024,10:00,Hamrun,Naxxar,1.4,4.4,6.6
6,CROATIA - HNL,04/02/2024,11:00,Rijeka,Istra 1961,1.36,5.5,6.5
7,INDIA - ISL,04/02/2024,11:00,Mumbai City,Jamshedpur,1.45,4.0,5.5
8,NIGERIA - NPFL,04/02/2024,12:00,Enyimba,Shooting,1.4,3.65,10.0
9,SPAIN - PRIMERA RFEF,04/02/2024,12:00,Cultural Leonesa,Unionistas,1.73,3.25,4.5
10,SWITZERLAND - SUPER LEAGUE,04/02/2024,12:30,Servette,Lausanne Ouchy,1.44,4.5,7.0
11,CROATIA - HNL,04/02/2024,13:15,D. Zagreb,Gorica,1.25,6.0,11.0
12,JAMAICA - PREMIER LEAGUE,04/02/2024,15:00,Lime Hall Academy,Treasure Beach,2.55,3.2,2.57
13,JAMAICA - PREMIER LEAGUE,04/02/2024,17:00,Montego Bay,Vere United,2.15,3.3,3.1
14,JAMAICA - PREMIER LEAGUE,04/02/2024,17:00,Portmore,Dunbeholden,2.18,3.15,3.2
15,ARGENTINA - PRIMERA NACIONAL,04/02/2024,17:00,Guillermo Brown,Racing Cordoba,2.63,2.8,3.2
16,ARGENTINA - PRIMERA NACIONAL,04/02/2024,17:00,Arsenal Sarandi,Club A. Guemes,1.73,3.2,4.5
17,JAMAICA - PREMIER LEAGUE,04/02/2024,17:30,Mount Pleasant,Molynes,1.45,4.0,6.6
18,ARGENTINA - COPA DE LA LIGA PROFESIONAL,04/02/2024,19:15,River Plate,Velez Sarsfield,1.57,3.8,6.0
19,VENEZUELA - LIGA FUTVE,04/02/2024,20:00,Angostura,Universidad Central,2.6,2.92,2.75
20,ARGENTINA - COPA DE LA LIGA PROFESIONAL,04/02/2024,20:30,Platense,Central Cordoba,2.1,3.0,4.2
21,NICARAGUA - LIGA PRIMERA,04/02/2024,21:00,Diriangen,Matagalpa,1.62,3.6,4.5
22,ARGENTINA - COPA DE LA LIGA PROFESIONAL,04/02/2024,21:30,Newells Old Boys,Belgrano,1.95,3.1,4.5
