Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,veHa2vz2,19/08/2023,07:30,SOUTH KOREA - K LEAGUE 1,Seoul,Daegu,ROUND 27,2.0,3.25,3.4,1.44,2.63,1.06,10.0,1.33,3.25,2.1,1.7,3.75,1.25,8.0,1.08,1.83,1.83,2.05,1.8,1.3,3.45,9.0,9.5,17.0,41.0,7.0,6.5,13.0,29.0,9.0,9.0,17.0,41.0,17.0,17.0,29.0,51.0,351.0
2,C64L9nwm,19/08/2023,10:00,BELARUS - VYSSHAYA LIGA,Isloch,Smorgon,ROUND 18,1.46,4.6,6.44,1.3,3.34,1.01,13.0,1.17,4.25,1.65,2.24,2.48,1.45,4.35,1.16,1.77,2.0,,,,,,,,,,,,,,,,,,,,,
3,fuJXBwv3,19/08/2023,11:00,UZBEKISTAN - SUPER LEAGUE,Pakhtakor,Metallurg Bekabad,ROUND 17,1.24,5.34,13.1,1.3,3.2,1.02,10.5,1.22,3.85,1.74,2.02,2.7,1.4,4.6,1.16,2.45,1.52,,,,,,,,,,,,,,,,,,,,,
4,dKsKy8Em,19/08/2023,11:00,SCOTLAND - LEAGUE TWO,Spartans,Elgin City,ROUND 3,1.57,3.8,4.5,1.33,3.25,1.01,13.0,1.22,4.0,1.73,2.08,2.75,1.4,4.5,1.17,1.8,1.91,1.63,2.25,1.2,4.4,13.0,15.0,26.0,51.0,8.0,8.0,15.0,34.0,8.0,8.5,17.0,41.0,12.0,13.0,23.0,51.0,201.0
5,lM8wALrQ,19/08/2023,11:00,ROMANIA - LIGA 1,FC Botosani,Otelul,ROUND 6,2.05,3.2,3.75,1.53,2.38,1.08,8.0,1.44,2.63,2.35,1.57,4.33,1.2,10.0,1.06,2.1,1.67,2.05,1.75,1.28,3.55,7.0,9.0,17.0,41.0,6.0,6.0,13.0,34.0,8.5,9.5,19.0,41.0,19.0,19.0,34.0,67.0,201.0
6,xOrEfRHs,19/08/2023,11:30,PORTUGAL - LIGA PORTUGAL,Vitoria Guimaraes,Gil Vicente,ROUND 2,2.05,3.3,3.5,1.44,2.63,1.06,10.0,1.33,3.25,2.1,1.7,3.75,1.25,8.0,1.08,1.91,1.91,2.08,1.73,1.33,3.3,9.0,9.5,17.0,41.0,7.0,6.5,12.0,29.0,9.5,9.0,15.0,41.0,19.0,19.0,29.0,51.0,301.0
7,EsZY9H8F,19/08/2023,12:00,UZBEKISTAN - SUPER LEAGUE,Nasaf Qarshi,Qizilqum,ROUND 17,1.25,5.21,12.5,1.35,2.95,1.03,9.5,1.28,3.35,1.89,1.85,2.85,1.37,5.3,1.12,2.7,1.4,,,,,,,,,,,,,,,,,,,,,
8,xWMwQbn1,19/08/2023,12:00,SPAIN - LALIGA2,Eibar,Elche,ROUND 2,2.2,3.1,3.6,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,4.5,1.18,11.0,1.05,2.1,1.67,2.15,1.68,1.3,3.45,7.0,8.5,17.0,41.0,6.0,6.0,13.0,34.0,9.5,10.0,17.0,41.0,21.0,21.0,41.0,67.0,201.0
9,4UdoSbKC,19/08/2023,12:30,POLAND - EKSTRAKLASA,Rakow,Stal Mielec,ROUND 5,1.44,4.5,6.5,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,2.75,1.4,5.5,1.14,1.95,1.8,1.43,2.75,1.12,6.25,13.0,17.0,34.0,67.0,7.5,8.5,19.0,51.0,7.0,8.5,19.0,41.0,10.0,12.0,26.0,51.0,301.0
10,C2hkJo5B,19/08/2023,15:00,ARGENTINA - PRIMERA NACIONAL,Brown Adrogue,Deportivo Madryn,ROUND 26,2.1,2.8,4.5,1.57,2.25,1.14,5.5,1.53,2.38,2.7,1.44,5.5,1.14,13.0,1.04,2.25,1.57,2.1,1.78,1.22,4.15,5.5,9.0,21.0,51.0,5.5,6.0,17.0,41.0,8.0,10.0,19.0,51.0,17.0,21.0,41.0,81.0,201.0
