,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SOUTH KOREA - K LEAGUE 2,27/08/2023,07:00,Anyang,Jeonnam,1.83,3.6,3.5,1.8,2.0,1.73,1.13,2.0,1.6,1.3,1.5,2.0,0.546,0.278,0.286,0.556,0.885,0.336,0.1,-0.7,1,0.5721
2,SOUTH KOREA - K LEAGUE 2,27/08/2023,07:30,Cheonan City,Cheongju,2.88,3.1,2.38,2.15,1.67,1.83,1.07,1.83,0.9,2.1,1.2,1.5,0.347,0.323,0.42,0.465,0.935,0.114,-0.3,0.6,1,0.819
3,BELGIUM - CHALLENGER PRO LEAGUE,27/08/2023,08:30,Dender,Lierse K.,2.05,3.4,3.2,1.67,2.15,1.57,1.17,2.25,1.3,1.2,1.6,1.6,0.488,0.294,0.312,0.599,0.855,0.24,-0.3,-0.4,1,0.6149
4,URUGUAY - PRIMERA DIVISION,27/08/2023,10:00,CA Cerro,Boston River,2.63,3.0,2.63,2.25,1.62,1.91,1.06,1.8,0.8,0.7,1.1,1.5,0.38,0.333,0.38,0.444,0.943,0.061,-0.3,-0.8,1,0.5121
5,SWEDEN - ALLSVENSKAN,27/08/2023,10:00,Varnamo,Halmstad,1.95,3.6,3.75,2.0,1.85,1.8,1.1,1.95,0.9,1.4,1.0,1.9,0.513,0.278,0.267,0.5,0.909,0.322,-0.1,-0.5,1,0.5117
6,SCOTLAND - PREMIERSHIP,27/08/2023,11:00,Dundee FC,Hearts,2.9,3.4,2.4,1.95,1.9,1.7,1.13,2.05,2.6,1.3,1.0,1.8,0.345,0.294,0.417,0.513,0.885,0.143,1.6,-0.5,1,0.7383
7,SWITZERLAND - SUPER LEAGUE,27/08/2023,11:30,Lausanne,Winterthur,1.73,4.0,4.5,1.6,2.3,1.57,1.2,2.25,1.6,0.9,1.2,2.0,0.578,0.25,0.222,0.625,0.833,0.462,0.4,-1.1,1,0.8895
8,SWITZERLAND - SUPER LEAGUE,27/08/2023,11:30,Grasshoppers,Luzern,3.25,3.6,2.1,1.6,2.3,1.53,1.2,2.38,1.8,1.6,1.4,1.4,0.308,0.278,0.476,0.625,0.833,0.246,0.4,0.2,1,0.8395
9,AUSTRIA - BUNDESLIGA,27/08/2023,12:00,Rapid Vienna,Tirol,1.62,4.5,4.75,1.53,2.4,1.67,1.22,2.1,2.3,1.2,1.0,1.9,0.617,0.222,0.211,0.654,0.82,0.54,1.3,-0.7,1,0.6572
10,AUSTRIA - BUNDESLIGA,27/08/2023,12:00,Hartberg,A. Klagenfurt,2.55,3.5,2.63,1.65,2.2,1.53,1.18,2.38,1.7,1.4,1.6,2.6,0.392,0.286,0.38,0.606,0.847,0.134,0.1,-1.2,1,0.6995
11,AUSTRIA - BUNDESLIGA,27/08/2023,12:00,LASK,Austria Vienna,1.95,3.75,3.6,1.57,2.35,1.5,1.22,2.5,1.9,0.9,1.7,1.9,0.513,0.267,0.278,0.637,0.82,0.322,0.2,-1.0,1,0.7592
12,SWEDEN - ALLSVENSKAN,27/08/2023,12:30,Goteborg,Hacken,3.4,3.6,2.1,1.62,2.25,1.53,1.2,2.38,1.1,1.1,2.0,0.9,0.294,0.278,0.476,0.617,0.833,0.257,-0.9,0.2,1,0.7746
13,BELGIUM - JUPILER PRO LEAGUE,27/08/2023,13:30,Anderlecht,Charleroi,1.7,3.8,4.75,1.73,2.08,1.75,1.14,2.0,1.6,0.8,1.2,1.2,0.588,0.263,0.211,0.578,0.877,0.471,0.4,-0.4,1,0.5782
14,ARGENTINA - COPA DE LA LIGA PROFESIONAL,27/08/2023,14:30,Platense,Defensa y Justicia,2.3,3.0,3.5,2.5,1.5,2.1,1.05,1.67,1.0,0.4,1.1,1.0,0.435,0.333,0.286,0.4,0.952,0.177,-0.1,-0.6,1,0.824
15,SPAIN - LALIGA2,27/08/2023,14:30,Amorebieta,Andorra,3.3,3.0,2.38,2.4,1.53,2.1,1.05,1.67,1.8,0.6,1.2,1.1,0.303,0.333,0.42,0.417,0.952,0.141,0.6,-0.5,1,0.5034
16,SPAIN - PRIMERA RFEF,27/08/2023,15:30,Lugo,Teruel,1.75,3.2,4.33,2.25,1.62,2.1,1.07,1.67,0.5,0.9,0.8,0.4,0.571,0.312,0.231,0.444,0.935,0.391,-0.3,0.5,1,0.505
17,SPAIN - PRIMERA RFEF,27/08/2023,15:30,San Fernando,Ceuta,2.15,3.1,3.0,2.4,1.53,2.2,1.05,1.62,1.9,1.6,1.5,1.2,0.465,0.323,0.333,0.417,0.952,0.173,0.4,0.4,1,0.519
18,SPAIN - PRIMERA RFEF,27/08/2023,16:30,Granada CF B,Murcia,3.0,3.0,2.2,2.4,1.53,2.1,1.05,1.67,2.1,1.1,1.4,0.9,0.333,0.333,0.455,0.417,0.952,0.154,0.7,0.2,1,0.5236
19,USA - MLS,27/08/2023,17:30,Minnesota United,Seattle Sounders,2.05,3.3,3.6,1.83,2.03,1.67,1.14,2.1,1.3,1.1,1.4,1.5,0.488,0.303,0.278,0.546,0.877,0.263,-0.1,-0.4,1,0.5644
