Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,27/04/2024,04:15,AUSTRALIA - A-LEAGUE,Newcastle Jets,Central Coast Mariners,3.75,4.0,1.91,1.5,1.5,2.5,1.03,1.25,1.17,4.0,1.25
20,27/04/2024,08:30,ENGLAND - LEAGUE ONE,Exeter,Oxford Utd,5.25,4.0,1.65,1.65,1.67,2.1,1.03,1.3,1.18,4.5,1.18
19,27/04/2024,08:30,ENGLAND - LEAGUE ONE,Reading,Blackpool,3.6,3.8,1.95,1.7,1.67,2.1,1.04,1.33,1.22,5.0,1.17
18,27/04/2024,08:30,ESTONIA - MEISTRILIIGA,Tallinna Kalev,Kalju,3.9,3.65,1.72,1.78,1.73,2.06,1.01,1.36,1.25,5.6,1.11
17,27/04/2024,09:00,FINLAND - VEIKKAUSLIIGA,Haka,HJK,4.2,3.75,1.7,1.75,1.7,2.05,1.04,1.33,1.22,5.5,1.14
16,27/04/2024,09:30,AUSTRIA - 2. LIGA,Bregenz,Grazer AK,5.7,3.95,1.53,1.75,1.82,1.9,1.05,1.37,1.24,4.65,1.15
15,27/04/2024,10:00,BELARUS - VYSSHAYA LIGA,Isloch,Neman,3.88,3.52,1.96,2.06,1.87,1.89,1.03,1.42,1.31,6.65,1.06
14,27/04/2024,11:00,FINLAND - VEIKKAUSLIIGA,Lahti,KuPS,4.0,3.6,1.75,2.05,1.95,1.8,1.05,1.4,1.33,8.0,1.08
13,27/04/2024,11:00,SCOTLAND - LEAGUE ONE,Alloa,Hamilton,3.5,3.8,1.75,1.57,1.57,2.25,1.01,1.29,1.17,4.33,1.2
12,27/04/2024,11:00,SCOTLAND - CHAMPIONSHIP,Arbroath,Queen's Park,4.0,4.2,1.6,1.57,1.67,2.1,1.03,1.29,1.17,4.33,1.2
11,27/04/2024,11:00,SCOTLAND - PREMIERSHIP,St Johnstone,Hibernian,3.8,3.6,1.95,2.03,1.8,1.95,1.06,1.4,1.33,7.0,1.1
10,27/04/2024,11:00,SERBIA - SUPER LIGA,Radnik,Novi Pazar,4.55,3.3,1.8,2.07,1.93,1.78,1.08,1.5,1.37,6.2,1.09
9,27/04/2024,11:00,ENGLAND - CHAMPIONSHIP,Cardiff,Middlesbrough,3.6,3.6,2.0,1.93,1.73,2.0,1.05,1.4,1.29,6.0,1.13
8,27/04/2024,11:00,EGYPT - PREMIER LEAGUE,Baladiyat El Mahalla,ZED,4.05,3.0,1.95,2.15,1.91,1.7,1.06,1.52,1.4,8.75,1.02
7,27/04/2024,12:00,ARMENIA - PREMIER LEAGUE,Shirak Gyumri,Noah,5.1,3.65,1.57,1.98,2.04,1.74,1.02,1.4,1.32,7.18,1.06
6,27/04/2024,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Raed,Al Ettifaq,3.75,3.5,1.91,1.98,1.83,1.83,1.05,1.4,1.3,6.0,1.11
5,27/04/2024,12:30,POLAND - DIVISION 1,S. Rzeszow,Lechia Gdansk,3.6,3.5,1.95,1.8,1.67,2.1,1.04,1.33,1.22,5.5,1.14
4,27/04/2024,13:00,SWITZERLAND - CHALLENGE LEAGUE,Stade Nyonnais,Thun,3.95,3.9,1.75,1.55,1.55,2.3,1.03,1.3,1.18,3.8,1.22
3,27/04/2024,15:00,POLAND - EKSTRAKLASA,Widzew Lodz,Rakow,3.75,3.6,1.95,1.95,1.75,2.0,1.05,1.4,1.29,6.5,1.11
2,27/04/2024,15:00,MOROCCO - BOTOLA PRO,Hassania Agadir,FAR Rabat,5.5,3.2,1.62,2.1,1.9,1.72,1.04,1.47,1.34,7.45,1.06
21,27/04/2024,15:15,SLOVENIA - PRVA LIGA,Domzale,Maribor,4.6,3.7,1.7,1.8,1.78,1.93,1.05,1.39,1.27,4.9,1.14
22,27/04/2024,20:00,USA - USL CHAMPIONSHIP,Miami FC,San Antonio,4.5,4.0,1.65,1.72,1.75,1.98,1.04,1.35,1.23,4.55,1.16
