,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A
1,ROMANIA - LIGA 1,27/02/2024,11:15,U Craiova 1948,Poli Iasi,1.909999966621399,3.5,3.299999952316284
2,ARMENIA - PREMIER LEAGUE,27/02/2024,12:00,Urartu,Pyunik Yerevan,3.6,3.45,1.85
3,ROMANIA - LIGA 1,27/02/2024,13:30,Din. Bucuresti,FC Hermannstadt,2.5,2.9,2.9
4,EGYPT - PREMIER LEAGUE,27/02/2024,14:00,Al Ahly,Baladiyat El Mahalla,1.23,5.6,11.5
5,ROMANIA - LIGA 1,27/02/2024,16:00,Otelul,CFR Cluj,4.5,3.4,1.75
6,SCOTLAND - PREMIERSHIP,27/02/2024,17:00,Ross County,St. Mirren,3.1,3.2,2.4
7,MEXICO - LIGA MX,27/02/2024,22:00,Queretaro,Atl. San Luis,2.7,3.3,2.7
