,League,Date,Home,Away,Goals_H,Goals_A,Odd_H,Odd_D,Odd_A,Odd_CS_0x1_Lay_x,Lay_0x1,Predictions,Profit,Profit_acu
1,BRAZIL - SERIE B,2024-05-06,Ponte Preta,Amazonas,3.0,0.0,2.18,3.2,4.2,11.5,1,1,0.94,0.94
2,BRAZIL - SERIE B,2024-05-06,Santos,Guarani,4.0,1.0,1.56,3.95,9.0,27.0,1,1,0.94,1.88
