,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_Under,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SWEDEN - SUPERETTAN,27/08/2023,08:00,Brage,Utsikten,3.0,3.3,2.2,1.93,1.93,1.7,1.11,2.05,1.4,1.0,1.3,0.8,0.33333334,0.3030303,0.45454547,0.5181347,0.5181347,0.901,0.18002057,0.1,0.2,0,0.672
2,SWEDEN - SUPERETTAN,27/08/2023,10:00,Ostersund,Trelleborg,1.85,3.6,3.6,1.88,1.98,1.75,1.13,2.0,1.8,1.2,1.2,1.7,0.5405405,0.2777778,0.2777778,0.5319149,0.5050505,0.885,0.3390238,0.6,-0.5,0,0.7333
3,SWEDEN - ALLSVENSKAN,27/08/2023,10:00,Brommapojkarna,Kalmar,2.15,3.4,3.5,1.93,1.93,1.7,1.11,2.05,1.1,1.2,1.0,1.6,0.4651163,0.29411766,0.2857143,0.5181347,0.5181347,0.901,0.23731734,0.1,-0.4,0,0.5631
4,SWEDEN - ALLSVENSKAN,27/08/2023,10:00,Mjallby,Hammarby,2.88,3.2,2.6,2.25,1.62,1.95,1.06,1.8,1.0,1.1,0.8,1.8,0.3472222,0.3125,0.3846154,0.44444445,0.61728394,0.943,0.08459251,0.2,-0.7,0,0.5375
5,SWEDEN - SUPERETTAN,27/08/2023,10:00,Oster,Orgryte,1.6,3.8,5.5,1.62,2.25,1.67,1.2,2.1,1.8,1.1,0.7,1.5,0.625,0.2631579,0.18181819,0.61728394,0.44444445,0.833,0.5400955,1.1,-0.4,0,0.656
6,BELGIUM - JUPILER PRO LEAGUE,27/08/2023,11:00,St. Truiden,Cercle Brugge KSV,3.1,3.25,2.3,1.98,1.88,1.75,1.11,2.0,1.4,0.9,1.9,1.5,0.32258064,0.30769232,0.4347826,0.5050505,0.5319149,0.901,0.15978965,-0.5,-0.6,0,0.5469
7,SCOTLAND - PREMIERSHIP,27/08/2023,11:00,St. Mirren,Aberdeen,2.25,3.2,3.4,2.1,1.73,1.8,1.1,1.95,1.2,1.5,0.7,2.6,0.44444445,0.3125,0.29411766,0.47619048,0.5780347,0.909,0.19110349,0.5,-1.1,0,0.9022
8,SPAIN - LALIGA2,27/08/2023,12:00,Ferrol,Gijon,2.6,3.0,3.0,2.5,1.5,2.1,1.05,1.67,2.0,0.5,0.8,1.4,0.3846154,0.33333334,0.33333334,0.4,0.6666667,0.952,0.06898603,1.2,-0.9,0,0.7424
9,ARGENTINA - PRIMERA NACIONAL,27/08/2023,13:10,Almirante Brown,Deportivo Moron,2.25,3.0,3.6,2.5,1.5,2.1,1.05,1.67,1.2,0.4,1.1,1.0,0.44444445,0.33333334,0.2777778,0.4,0.6666667,0.952,0.19692934,0.1,-0.6,0,0.5534
10,SPAIN - LALIGA2,27/08/2023,14:30,Mirandes,Espanyol,3.6,3.1,2.25,2.2,1.65,1.91,1.07,1.8,1.4,1.4,1.4,2.3,0.2777778,0.32258064,0.44444445,0.45454547,0.6060606,0.935,0.20221232,0.0,-0.9,0,0.5002
11,ARGENTINA - COPA DE LA LIGA PROFESIONAL,27/08/2023,14:30,Godoy Cruz,Central Cordoba,1.83,3.5,4.5,2.4,1.53,2.2,1.05,1.62,2.2,1.0,1.0,1.6,0.5464481,0.2857143,0.22222222,0.41666666,0.6535948,0.952,0.3991665,1.2,-0.6,0,0.5972
12,ARGENTINA - PRIMERA NACIONAL,27/08/2023,15:00,Almagro,Guillermo Brown,1.85,3.2,5.0,2.7,1.44,2.5,1.03,1.5,0.9,0.5,0.8,1.2,0.5405405,0.3125,0.2,0.37037036,0.6944444,0.971,0.40359497,0.1,-0.7,0,0.6427
13,SPAIN - PRIMERA RFEF,27/08/2023,15:30,Baleares,Algeciras,2.0,3.0,3.5,2.5,1.5,2.2,1.05,1.62,1.4,1.6,0.7,1.0,0.5,0.33333334,0.2857143,0.4,0.6666667,0.952,0.24629441,0.7,0.6,0,0.5328
14,ARGENTINA - PRIMERA NACIONAL,27/08/2023,15:30,Deportivo Maipu,Quilmes,1.7,3.6,5.25,2.35,1.57,2.25,1.05,1.57,1.9,1.1,0.6,0.7,0.5882353,0.2777778,0.1904762,0.42553192,0.6369427,0.952,0.4846921,1.3,0.4,0,0.525
15,SPAIN - PRIMERA RFEF,27/08/2023,15:30,R. Sociedad B,Tarazona,1.75,3.3,4.2,2.4,1.53,2.25,1.05,1.57,1.3,0.5,1.2,1.2,0.5714286,0.3030303,0.23809524,0.41666666,0.6535948,0.952,0.38906616,0.1,-0.7,0,0.5259
16,SPAIN - PRIMERA RFEF,27/08/2023,15:30,Real Madrid B,Melilla,1.55,3.4,5.5,2.15,1.67,2.2,1.07,1.62,1.1,0.6,1.0,0.5,0.6451613,0.29411766,0.18181819,0.4651163,0.5988024,0.935,0.5281036,0.1,0.1,0,0.6906
17,SPAIN - PRIMERA RFEF,27/08/2023,15:30,R. Union,Sabadell,2.15,3.0,3.2,2.4,1.53,2.1,1.05,1.67,1.0,1.2,1.0,1.0,0.4651163,0.33333334,0.3125,0.41666666,0.6535948,0.952,0.18246809,0.0,0.2,0,0.577
18,SPAIN - PRIMERA RFEF,27/08/2023,15:30,Alcoyano,Sanluqueno,1.83,3.1,4.2,2.5,1.5,2.25,1.05,1.57,0.9,0.6,1.1,1.2,0.5464481,0.32258064,0.23809524,0.4,0.6666667,0.952,0.35253713,-0.2,-0.6,0,0.5513
19,ARGENTINA - PRIMERA NACIONAL,27/08/2023,16:00,CA Mitre,Dep. Riestra,2.63,3.0,2.9,2.6,1.48,2.1,1.04,1.67,1.2,1.0,1.5,1.3,0.38022813,0.33333334,0.3448276,0.3846154,0.6756757,0.962,0.056567278,-0.3,-0.3,0,0.5261
20,ARGENTINA - PRIMERA NACIONAL,27/08/2023,16:30,Chaco For Ever,Ferro,2.38,3.25,3.0,2.6,1.48,2.2,1.04,1.62,1.1,0.6,1.4,1.2,0.42016807,0.30769232,0.33333334,0.3846154,0.6756757,0.962,0.13606395,-0.3,-0.6,0,0.5715
21,SPAIN - PRIMERA RFEF,27/08/2023,16:30,Cordoba,UD Ibiza,2.45,3.0,2.75,2.5,1.5,2.1,1.05,1.67,0.9,1.3,0.7,1.6,0.40816328,0.33333334,0.36363637,0.4,0.6666667,0.952,0.0834269,0.2,-0.3,0,0.5288
22,SPAIN - PRIMERA RFEF,27/08/2023,16:30,Ponferradina,Celta Vigo B,1.83,3.1,4.0,2.4,1.53,2.2,1.05,1.62,0.7,1.1,0.8,1.0,0.5464481,0.32258064,0.25,0.41666666,0.6535948,0.952,0.33824423,-0.1,0.1,0,0.535
23,SPAIN - PRIMERA RFEF,27/08/2023,16:30,Recreativo Huelva,CF Intercity,2.25,2.88,3.1,2.5,1.5,2.1,1.05,1.67,1.1,0.5,0.9,1.3,0.44444445,0.3472222,0.32258064,0.4,0.6666667,0.952,0.14164674,0.2,-0.8,0,0.5193
24,SPAIN - LALIGA2,27/08/2023,16:30,Leganes,Albacete,2.4,3.0,3.3,2.6,1.48,2.1,1.04,1.67,0.9,0.9,1.3,1.0,0.41666666,0.33333334,0.3030303,0.3846154,0.6756757,0.962,0.13687983,-0.4,-0.1,0,0.5608
25,SPAIN - PRIMERA RFEF,27/08/2023,16:30,Fuenlabrada,Leonesa,2.4,3.0,2.7,2.35,1.57,2.0,1.06,1.73,1.0,0.9,0.7,1.2,0.41666666,0.33333334,0.37037036,0.42553192,0.6369427,0.943,0.09128398,0.3,-0.3,0,0.5282
