,Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_CS_0x1_Lay,IDMercado_Correct_Score
1,2024-08-30,09:30:00,UKRAINE - PREMIER LEAGUE,Obolon,FK Zorya Luhansk,3.05,2.54,3.05,980.0,1.2322674
2,2024-08-30,10:00:00,ARMENIA - PREMIER LEAGUE,Ararat Yerevan,BKMA,1.46,4.0,3.15,1000.0,1.2324276
3,2024-08-30,11:00:00,BULGARIA - PARVA LIGA,CSKA 1948 Sofia,Arda,1.79,5.4,3.4,60.0,1.2322553
4,2024-08-30,12:00:00,CROATIA - PRVA NL,Sesvete,Croatia Zmijavci,1.84,3.35,3.0,1000.0,1.2324281
5,2024-08-30,12:00:00,UKRAINE - PREMIER LEAGUE,Rukh Lviv,Inhulets Petrove,1.68,5.7,3.75,22.0,1.2323791
6,2024-08-30,12:00:00,ROMANIA - LIGA 2,Bihor Oradea,CSM Resita,1.85,2.16,2.88,980.0,1.2323625
7,2024-08-30,12:00:00,ARMENIA - PREMIER LEAGUE,Ararat-Armenia,Alashkert,1.41,2.88,3.0,1000.0,1.2324277
8,2024-08-30,12:00:00,CROATIA - PRVA NL,Opatija,Rudes,2.34,2.18,2.42,1000.0,1.232428
9,2024-08-30,13:00:00,AUSTRIA - BUNDESLIGA,A. Lustenau,Floridsdorfer AC,2.26,3.35,3.4,14.0,1.2323093
10,2024-08-30,13:00:00,AUSTRIA - BUNDESLIGA,Amstetten,Bregenz,2.14,3.4,3.8,17.5,1.2322038
11,2024-08-30,13:00:00,AUSTRIA - BUNDESLIGA,Admira,Rapid Vienna (Am),1.93,4.0,3.85,980.0,1.2323092
12,2024-08-30,13:00:00,AUSTRIA - BUNDESLIGA,Liefering,Sturm Graz (Am),1.47,6.4,5.6,980.0,1.232228
13,2024-08-30,13:15:00,BULGARIA - PARVA LIGA,Botev Vratsa,CSKA 1948 Sofia,3.75,2.18,3.25,34.0,1.2322555
14,2024-08-30,13:30:00,SERBIA - SUPER LIGA,IMT Novi Beograd,Radnicki Nis,2.24,3.5,3.3,980.0,1.2323864
15,2024-08-30,13:30:00,GERMANY - 2. BUNDESLIGA,Regensburg,Greuther Furth,3.0,2.46,3.65,12.5,1.232344
16,2024-08-30,13:30:00,GERMANY - 2. BUNDESLIGA,Dusseldorf,Hannover,2.34,3.25,3.6,14.5,1.2322648
17,2024-08-30,13:30:00,ESTONIA - MEISTRILIIGA,Flora,Levadia,5.0,1.71,3.85,9.8,1.2323096
18,2024-08-30,14:00:00,PORTUGAL - LIGA PORTUGAL 2,Alverca,Academico Viseu,3.35,2.38,3.3,9.6,1.2323623
19,2024-08-30,14:00:00,DENMARK - SUPERLIGA,Lyngby,Vejle,2.54,2.94,3.55,14.0,1.2322774
20,2024-08-30,14:00:00,SPAIN - LALIGA2,Granada CF,Huesca,1.89,5.2,3.45,14.5,1.2323092
21,2024-08-30,14:00:00,NORWAY - ELITESERIEN,KFUM Oslo,Lillestrom,2.32,3.35,3.6,13.5,1.2323413
22,2024-08-30,14:00:00,DENMARK - 1ST DIVISION,Hvidovre IF,Horsens,2.36,3.1,3.55,14.0,1.2323323
23,2024-08-30,14:00:00,DENMARK - 1ST DIVISION,Odense,Vendsyssel,1.26,10.5,7.0,980.0,1.2322986
24,2024-08-30,14:00:00,DENMARK - 1ST DIVISION,Roskilde,Esbjerg,3.2,2.16,4.0,14.5,1.2323132
25,2024-08-30,14:00:00,GERMANY - 3. LIGA,Viktoria Koln,Hansa Rostock,2.98,2.36,3.7,15.5,1.2323477
26,2024-08-30,14:00:00,DENMARK - 1ST DIVISION,Hillerod,Kolding IF,2.84,2.64,3.35,12.5,1.2323095
27,2024-08-30,14:30:00,FRANCE - NATIONAL,Boulogne,Quevilly Rouen,2.24,3.2,3.05,980.0,1.23242
28,2024-08-30,14:30:00,FRANCE - NATIONAL,Valenciennes,Nimes,2.12,3.7,3.15,980.0,1.2324201
29,2024-08-30,14:30:00,FRANCE - NATIONAL,Villefranche,Gobelins F.C.,2.08,3.65,3.2,980.0,1.2324202
30,2024-08-30,14:30:00,FRANCE - NATIONAL,Concarneau,Aubagne FC,1.92,4.3,3.3,980.0,1.2324203
31,2024-08-30,14:30:00,FRANCE - NATIONAL,Chateauroux,Bourg-en-Bresse,2.32,3.2,3.05,980.0,1.2324202
32,2024-08-30,14:30:00,SWITZERLAND - CHALLENGE LEAGUE,Stade Nyonnais,Lausanne Ouchy,2.46,2.8,3.85,980.0,1.2323792
33,2024-08-30,14:30:00,FRANCE - NATIONAL,Rouen,Orleans,2.68,2.88,2.98,11.5,1.2322065
34,2024-08-30,14:30:00,SWITZERLAND - CHALLENGE LEAGUE,Xamax,Vaduz,2.12,3.3,4.0,980.0,1.2322676
35,2024-08-30,15:00:00,TURKEY - 1. LIG,Erokspor A.S,Genclerbirligi,2.4,2.98,3.15,980.0,1.232425
36,2024-08-30,15:00:00,NETHERLANDS - EERSTE DIVISIE,Den Haag,Excelsior,2.1,3.25,4.0,980.0,1.2323353
37,2024-08-30,15:00:00,NETHERLANDS - EERSTE DIVISIE,Maastricht,Eindhoven FC,2.18,3.0,4.2,980.0,1.2323217
38,2024-08-30,15:00:00,BELGIUM - CHALLENGER PRO LEAGUE,Waregem,SC Lokeren-Temse,1.55,5.6,4.7,980.0,1.2323515
39,2024-08-30,15:00:00,NETHERLANDS - EERSTE DIVISIE,Telstar,Jong AZ,1.91,3.8,4.2,27.0,1.2323215
40,2024-08-30,15:00:00,NETHERLANDS - EERSTE DIVISIE,Jong Utrecht,FC Emmen,3.4,2.16,3.8,12.5,1.2322186
41,2024-08-30,15:00:00,NETHERLANDS - EERSTE DIVISIE,Jong Ajax,Den Bosch,2.02,3.45,4.1,23.0,1.2322376
42,2024-08-30,15:00:00,HUNGARY - OTP BANK LIGA,Fehervar FC,MTK Budapest,2.02,3.55,3.8,980.0,1.2320939
43,2024-08-30,15:00:00,FRANCE - LIGUE 2,Caen,Annecy,2.08,3.8,3.7,16.0,1.2322196
44,2024-08-30,15:00:00,NETHERLANDS - EREDIVISIE,Waalwijk,AZ Alkmaar,6.4,1.58,4.5,9.6,1.2320898
45,2024-08-30,15:00:00,TURKEY - SUPER LIG,Fenerbahce,Alanyaspor,1.31,11.0,6.4,48.0,1.2322806
46,2024-08-30,15:00:00,ROMANIA - LIGA 1,Otelul,Sepsi Sf. Gheorghe,2.6,3.35,2.88,10.5,1.2322907
47,2024-08-30,15:00:00,FRANCE - LIGUE 2,Grenoble,Pau FC,2.24,3.45,3.55,15.5,1.2322503
48,2024-08-30,15:00:00,NETHERLANDS - EERSTE DIVISIE,Helmond,Venlo,2.56,2.94,3.35,12.5,1.2322726
49,2024-08-30,15:00:00,FRANCE - LIGUE 2,Dunkerque,Rodez,2.86,2.68,3.4,11.5,1.2322505
50,2024-08-30,15:00:00,FRANCE - LIGUE 2,Guingamp,Red Star,1.89,4.8,3.6,16.5,1.232337
51,2024-08-30,15:00:00,CROATIA - HNL,Gorica,Sibenik,2.54,2.94,3.2,980.0,1.232348
52,2024-08-30,15:00:00,TURKEY - 1. LIG,Manisa FK,Adanaspor AS,1.79,4.9,3.55,19.5,1.2322813
53,2024-08-30,15:00:00,BELGIUM - CHALLENGER PRO LEAGUE,RWDM,Eupen,2.26,3.1,3.5,980.0,1.2323407
54,2024-08-30,15:00:00,NETHERLANDS - EERSTE DIVISIE,Vitesse,Eindhoven FC,2.22,3.2,3.75,17.5,1.2323354
55,2024-08-30,15:00:00,NETHERLANDS - EERSTE DIVISIE,Dordrecht,Cambuur,2.48,2.5,4.3,980.0,1.2323216
56,2024-08-30,15:00:00,FRANCE - LIGUE 2,AC Ajaccio,Troyes,2.08,4.5,3.25,12.5,1.2323223
57,2024-08-30,15:15:00,SWITZERLAND - CHALLENGE LEAGUE,Etoile Carouge,Wil,2.46,2.68,3.55,15.0,1.2323793
58,2024-08-30,15:15:00,SLOVENIA - PRVA LIGA,Nafta Lendava,Domzale,3.1,2.26,3.4,980.0,1.2323102
59,2024-08-30,15:15:00,SWITZERLAND - CHALLENGE LEAGUE,Schaffhausen,Thun,3.55,2.02,3.75,32.0,1.2322751
60,2024-08-30,15:30:00,SERBIA - SUPER LIGA,Cukaricki,Tekstilac Odzaci,1.31,7.0,3.65,1000.0,1.2323865
61,2024-08-30,15:30:00,POLAND - DIVISION 1,Chrobry Glogow,Polonia Warszawa,2.6,2.86,3.1,1000.0,1.232299
62,2024-08-30,15:30:00,GERMANY - BUNDESLIGA,Union Berlin,St. Pauli,1.98,4.5,3.6,15.5,1.2319579
63,2024-08-30,15:30:00,AUSTRIA - BUNDESLIGA,First Vienna,St. Polten,2.24,3.3,3.55,980.0,1.2322071
64,2024-08-30,15:30:00,POLAND - EKSTRAKLASA,Stal Mielec,Lech Poznan,4.4,1.99,3.55,9.8,1.2323191
65,2024-08-30,15:45:00,ITALY - SERIE A,Inter,Atalanta,1.59,6.4,4.5,27.0,1.2319877
66,2024-08-30,15:45:00,WALES - CYMRU PREMIER,Haverfordwest,Newtown,2.32,3.1,3.2,980.0,1.2323325
67,2024-08-30,15:45:00,ITALY - SERIE C,Audace Cerignola,ACR Messina,1.61,4.0,3.25,1000.0,1.2323526
68,2024-08-30,15:45:00,ITALY - SERIE C,Perugia,Spal,2.1,3.2,2.7,1000.0,1.232353
69,2024-08-30,15:45:00,ITALY - SERIE C,Pontedera,Ternana,2.22,3.15,3.15,980.0,1.2323527
70,2024-08-30,15:45:00,ITALY - SERIE C,Alcione Milano,Virtus Francavilla,2.36,3.0,2.8,1000.0,1.2323481
71,2024-08-30,15:45:00,IRELAND - DIVISION 1,Finn Harps,Cobh Ramblers,2.26,3.4,3.35,980.0,1.2322074
72,2024-08-30,15:45:00,BELGIUM - JUPILER PRO LEAGUE,Genk,Westerlo,1.7,4.9,4.6,28.0,1.2322382
73,2024-08-30,15:45:00,IRELAND - DIVISION 1,Cork City,Longford,1.14,19.5,8.6,980.0,1.2322422
74,2024-08-30,15:45:00,FRANCE - LIGUE 1,Lyon,Strasbourg,1.93,4.3,3.9,19.0,1.2319881
75,2024-08-30,15:45:00,IRELAND - DIVISION 1,Bray,Treaty United,2.34,3.2,3.5,1000.0,1.2322075
76,2024-08-30,15:45:00,IRELAND - DIVISION 1,Wexford,Athlone,2.06,3.75,3.65,980.0,1.2322077
77,2024-08-30,15:45:00,IRELAND - PREMIER DIVISION,Galway,Derry City,3.45,2.56,2.98,980.0,1.2322782
78,2024-08-30,15:45:00,ITALY - SERIE C,Taranto,Latina,2.7,2.66,2.88,1000.0,1.2323525
79,2024-08-30,15:45:00,IRELAND - DIVISION 1,Kerry,UC Dublin,4.2,1.93,3.7,32.0,1.2322421
80,2024-08-30,15:45:00,ITALY - SERIE C,Casertana,Juventus U23,2.14,2.76,2.94,1000.0,1.2323527
81,2024-08-30,16:00:00,ENGLAND - CHAMPIONSHIP,Luton,QPR,2.02,4.0,3.75,17.0,1.2322326
82,2024-08-30,16:00:00,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Sarajevo,Radnik Bijeljina,1.17,2.26,3.05,1000.0,1.2324282
83,2024-08-30,16:15:00,PORTUGAL - LIGA PORTUGAL,Moreirense,Benfica,8.2,1.48,4.9,7.8,1.2322814
84,2024-08-30,16:30:00,SPAIN - LALIGA2,R. Oviedo,Racing Santander,2.22,3.75,3.4,980.0,1.2322817
85,2024-08-30,19:00:00,ARGENTINA - LIGA PROFESIONAL,Sarmiento Junin,Lanus,3.7,2.42,3.05,7.4,1.2320493
86,2024-08-30,21:00:00,ARGENTINA - LIGA PROFESIONAL,Union de Santa Fe,Dep. Riestra,1.78,6.6,3.4,15.0,1.2320491
87,2024-08-30,21:00:00,ECUADOR - LIGA PRO,U. Catolica,Mushuc Runa,1.46,7.8,4.8,36.0,1.2322857
88,2024-08-30,21:30:00,BRAZIL - SERIE B,Santos,Ponte Preta,1.45,9.8,4.4,27.0,1.2322443
89,2024-08-30,22:00:00,MEXICO - LIGA MX,Atl. San Luis,Atlas,2.68,2.84,3.35,12.0,1.2320325
90,2024-08-30,23:00:00,MEXICO - LIGA MX,Mazatlan FC,Puebla,1.76,5.0,4.0,20.0,1.2320344
