,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,05/08/2023,02:00,MONGOLIA - PREMIER LEAGUE,Deren,Tuv Buganuud,1.21,6.0,11.0,1.2,1.4,2.75
2,05/08/2023,05:00,INDONESIA - LIGA 1,Arema FC,Barito Putera,2.47,3.48,2.54,1.74,1.57,2.34
3,05/08/2023,05:00,MONGOLIA - PREMIER LEAGUE,Khaan Khuns-Erchim,Khovd,2.19,4.05,2.66,1.2,1.26,3.69
4,05/08/2023,10:00,NORWAY - OBOS-LIGAEN,Mjondalen,Hodd,2.0,3.5,3.75,1.83,1.67,2.1
5,05/08/2023,10:00,NORWAY - OBOS-LIGAEN,Jerv,Moss,2.25,3.5,3.1,1.7,1.62,2.2
6,05/08/2023,10:00,FINLAND - YKKONEN,SalPa,TPS,3.5,3.5,1.91,1.7,1.62,2.2
7,05/08/2023,10:00,NORWAY - OBOS-LIGAEN,Kristiansund,Start,1.8,3.8,4.33,1.44,1.44,2.63
13,05/08/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Dergview,Portadown,3.3,3.72,1.97,1.58,1.49,2.54
15,05/08/2023,11:00,SCOTLAND - LEAGUE ONE,Montrose,Kelty Hearts,2.0,3.5,3.1,1.85,1.73,2.0
12,05/08/2023,11:00,SCOTLAND - LEAGUE ONE,Stirling,Edinburgh City,1.75,3.8,3.75,1.7,1.73,2.0
14,05/08/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,H&W Welders,Ballinamallard,2.21,3.58,2.87,1.63,1.51,2.48
10,05/08/2023,11:00,ARMENIA - PREMIER LEAGUE,Van,Shirak Gyumri,2.64,3.2,2.53,2.11,1.81,1.95
8,05/08/2023,11:00,SCOTLAND - LEAGUE ONE,Falkirk,Annan,1.44,3.8,7.0,1.57,1.73,2.0
11,05/08/2023,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Glenavon,Glentoran,6.42,4.45,1.45,1.72,1.83,1.93
9,05/08/2023,11:00,BELGIUM - JUPILER PRO LEAGUE,Genk,Eupen,1.33,5.25,8.5,1.44,1.75,2.0
16,05/08/2023,12:00,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Tuzla City,Zrinjski,3.56,3.25,1.97,2.1,1.8,1.91
17,05/08/2023,13:00,SWITZERLAND - SUPER LEAGUE,Young Boys,Winterthur,1.25,6.5,10.0,1.44,1.83,1.83
18,05/08/2023,13:00,ITALY - COPPA ITALIA,Catanzaro,Foggia,1.11,8.5,23.0,1.33,2.2,1.62
19,05/08/2023,13:00,SWITZERLAND - SUPER LEAGUE,Lausanne Ouchy,Servette,3.4,3.6,2.1,1.57,1.5,2.5
20,05/08/2023,13:00,SLOVAKIA - NIKE LIGA,Slovan Bratislava,Banska Bystrica,1.3,5.55,9.55,1.54,1.96,1.8
21,05/08/2023,13:00,SLOVAKIA - NIKE LIGA,Trencin,Michalovce,1.73,3.9,4.48,1.8,1.73,2.05
22,05/08/2023,14:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Dinamo Batumi,Shukura,1.14,7.2,15.0,1.38,2.01,1.76
23,05/08/2023,14:00,RUSSIA - PREMIER LEAGUE,CSKA Moscow,Lokomotiv Moscow,2.16,3.79,3.47,1.81,1.62,2.23
24,05/08/2023,16:00,BOLIVIA - DIVISION PROFESIONAL,Nacional Potosi,Vaca Diez,1.22,6.0,17.0,1.36,1.83,1.83
25,05/08/2023,23:00,USA - USL CHAMPIONSHIP,San Diego Loyal,Orange County SC,1.96,3.6,3.44,1.72,1.59,2.29
