,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,AUSTRIA - BUNDESLIGA,05/12/2023,15:00,Altach,A. Lustenau,1.62,4.0,5.5,1.88,1.98,1.91,1.91,0.9,1.1357816,1.144,0.8,0.8717798,1.112,0.61728394,0.25,0.18181819,0.5319149,0.5050505,0.54688597,0.1,2.008,1,0.51
2,ENGLAND - PREMIER LEAGUE,05/12/2023,16:30,Wolves,Burnley,1.83,3.75,4.33,2.02,1.88,1.91,1.91,1.8,1.2489996,0.445,1.6,1.4282857,0.72,0.5464481,0.26666668,0.23094688,0.4950495,0.5319149,0.40533587,0.2,2.677,1,0.7227
3,BELGIUM - CHALLENGER PRO LEAGUE,05/12/2023,17:00,Dender,Francs Borains,1.57,3.8,4.75,1.7,2.1,1.73,2.0,1.8,1.2489996,0.544,0.6,1.2,1.475,0.6369427,0.2631579,0.21052632,0.5882353,0.47619048,0.51276225,1.2,2.449,1,0.5083
4,ITALY - COPPA ITALIA,05/12/2023,17:00,Lazio,Genoa,1.67,3.5,5.75,2.08,1.73,2.0,1.75,2.1,1.1357816,0.869,0.9,1.1357816,0.965,0.5988024,0.2857143,0.17391305,0.48076922,0.5780347,0.50971246,1.2,2.272,1,0.9671
5,BOLIVIA - DIVISION PROFESIONAL,05/12/2023,21:00,Oriente Petrolero,Wilstermann,2.2,2.55,4.75,2.35,1.57,1.83,1.83,1.7,1.1,0.63,1.0,1.0954452,1.175,0.45454547,0.39215687,0.21052632,0.42553192,0.6369427,0.2937184,0.7,2.195,1,1.0
