Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,24/11/2023,08:00,UZBEKISTAN - SUPER LEAGUE,Olympic,Navbahor Namangan,5.1,3.45,1.65,2.02,1.98,1.65,1.03,1.45,1.35,7.2,1.05
2,24/11/2023,09:30,ROMANIA - LIGA 2,CSC Dumbravita,Gloria Buzau,3.9,3.3,1.93,2.07,1.88,1.83,1.08,1.47,1.36,6.1,1.09
3,24/11/2023,10:15,UZBEKISTAN - SUPER LEAGUE,Termez Surkhon,Pakhtakor,4.9,3.6,1.65,1.98,1.98,1.65,1.03,1.42,1.33,6.65,1.06
4,24/11/2023,13:00,AZERBAIJAN - PREMIER LEAGUE,Sabah Baku,Qarabag,3.7,3.3,1.93,1.8,1.62,2.02,1.01,1.42,1.26,5.5,1.1
5,24/11/2023,15:30,SWITZERLAND - CHALLENGE LEAGUE,Schaffhausen,Xamax,3.5,3.75,1.9,1.75,1.7,2.05,1.05,1.35,1.25,4.75,1.15
6,24/11/2023,15:30,SWITZERLAND - CHALLENGE LEAGUE,Stade Nyonnais,Thun,3.7,3.6,1.88,1.65,1.6,2.22,1.04,1.34,1.22,4.25,1.18
7,24/11/2023,16:00,NETHERLANDS - EERSTE DIVISIE,Jong Utrecht,De Graafschap,4.75,4.2,1.65,1.57,1.62,2.2,1.03,1.29,1.17,4.33,1.2
8,24/11/2023,16:00,NETHERLANDS - EERSTE DIVISIE,Telstar,Willem II,3.6,3.5,2.0,1.88,1.73,2.0,1.05,1.36,1.25,6.0,1.13
9,24/11/2023,16:30,AUSTRIA - 2. LIGA,Kapfenberg,Grazer AK,3.8,3.55,1.87,1.8,1.7,2.02,1.05,1.38,1.26,4.9,1.14
10,24/11/2023,16:45,NORTHERN IRELAND - NIFL PREMIERSHIP,Newry City,Glenavon,3.2,3.7,2.0,1.72,1.65,2.12,1.04,1.34,1.24,4.6,1.16
11,24/11/2023,16:45,BELGIUM - JUPILER PRO LEAGUE,St. Truiden,Antwerp,3.75,3.6,1.91,1.83,1.75,2.0,1.04,1.36,1.25,6.0,1.13
12,24/11/2023,19:00,URUGUAY - PRIMERA DIVISION,CA Cerro,Liverpool M.,4.0,3.3,1.95,2.1,1.83,1.83,1.07,1.44,1.36,8.0,1.08
